case_id	replicate	aa_funnel	component_attribution	ao_transfer	oa_transfer	oo_transfer	AA_funnel	AA_top2	AA_rank	AA_ranking	AA_champion_ids	AO_funnel	AO_top2	AO_rank	AO_ranking	AO_champion_ids	OA_funnel	OA_top2	OA_rank	OA_ranking	OA_champion_ids	OO_funnel	OO_top2	OO_rank	OO_ranking	OO_champion_ids
mxh068	2	gold_absent	gold_absent	stable_miss	stable_miss	stable_miss	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]
mxh075	2	intergroup_rank_loss	local_and_L1_each_sufficient	gain	gain	gain	intergroup_rank_loss	False	3	"[""B1.1"", ""B2.1"", ""B4.2"", ""B3.4"", ""B5.1""]"	"[""B1.1"", ""B2.1"", ""B3.4"", ""B4.2"", ""B5.1""]"	success	True	2	"[""B1.1"", ""B4.2"", ""B2.1"", ""B3.4"", ""B5.1""]"	"[""B1.1"", ""B2.1"", ""B3.4"", ""B4.2"", ""B5.1""]"	success	True	1	"[""B4.2""]"	"[""B4.2""]"	success	True	1	"[""B4.2""]"	"[""B4.2""]"
mb11_pancoast	3	intergroup_rank_loss	L1_scope_or_prior	stable_miss	gain	gain	intergroup_rank_loss	False	3	"[""B3.3"", ""B4.1"", ""B1.1"", ""B2.1""]"	"[""B1.1"", ""B2.1"", ""B3.3"", ""B4.1""]"	intergroup_rank_loss	False	3	"[""B4.1"", ""B2.1"", ""B1.1"", ""B3.3""]"	"[""B1.1"", ""B2.1"", ""B3.3"", ""B4.1""]"	success	True	1	"[""B1.1""]"	"[""B1.1""]"	success	True	1	"[""B1.1""]"	"[""B1.1""]"
mb55_glucagonoma	3	intergroup_rank_loss	local_and_L1_each_sufficient	gain	gain	gain	intergroup_rank_loss	False	3	"[""B2.3"", ""B5.1"", ""B1.1"", ""B3.3"", ""B4.1""]"	"[""B1.1"", ""B2.3"", ""B3.3"", ""B4.1"", ""B5.1""]"	success	True	2	"[""B2.3"", ""B1.1"", ""B5.1"", ""B4.1"", ""B3.3""]"	"[""B1.1"", ""B2.3"", ""B3.3"", ""B4.1"", ""B5.1""]"	success	True	1	"[""B1.1""]"	"[""B1.1""]"	success	True	1	"[""B1.1""]"	"[""B1.1""]"
mb65_cml	3	intergroup_rank_loss	local	gain	stable_miss	gain	intergroup_rank_loss	False	4	"[""B1.1"", ""B5.3"", ""B2.1"", ""B3.1"", ""B4.1""]"	"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.3""]"	success	True	1	"[""B1.2"", ""B5.2"", ""B2.1"", ""B3.1"", ""B4.1""]"	"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.2""]"	intergroup_rank_loss	False	3	"[""B1.1"", ""B5.3"", ""B3.1""]"	"[""B1.1"", ""B3.1"", ""B5.3""]"	success	True	1	"[""B1.2"", ""B5.2"", ""B3.1""]"	"[""B1.2"", ""B3.1"", ""B5.2""]"
mb66_peliosis	3	technical_failure	technical_failure	stable_miss	stable_miss	stable_miss	technical_failure	False		[]	"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]"	technical_failure	False		[]	"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.1"", ""B5.1""]"	technical_failure	False		[]	"[""B5.1""]"	technical_failure	False		[]	"[""B5.1""]"
mb82_adhesions	3	local_champion_miss	local	gain	stable_miss	gain	local_champion_miss	False		"[""B4.5"", ""B1.1"", ""B2.1"", ""B5.3"", ""B3.1""]"	"[""B1.1"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.3""]"	success	True	2	"[""B4.5"", ""B1.2"", ""B2.1"", ""B5.3"", ""B3.1""]"	"[""B1.2"", ""B2.1"", ""B3.1"", ""B4.5"", ""B5.3""]"	local_champion_miss	False		"[""B1.1""]"	"[""B1.1""]"	success	True	1	"[""B1.2""]"	"[""B1.2""]"
mxh045	3	gold_absent	gold_absent	stable_miss	stable_miss	stable_miss	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]
mxh046	3	local_champion_miss	local	gain	stable_miss	gain	local_champion_miss	False		"[""B1.1"", ""B2.2"", ""B4.4"", ""B3.4""]"	"[""B1.1"", ""B2.2"", ""B3.4"", ""B4.4""]"	success	True	1	"[""B1.2"", ""B2.2"", ""B3.4"", ""B4.4""]"	"[""B1.2"", ""B2.2"", ""B3.4"", ""B4.4""]"	local_champion_miss	False		"[""B1.1""]"	"[""B1.1""]"	success	True	1	"[""B1.2""]"	"[""B1.2""]"
mxh068	3	gold_absent	gold_absent	stable_miss	stable_miss	stable_miss	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]	gold_absent	False		[]	[]
mxh075	3	intergroup_rank_loss	local_and_L1_each_sufficient	gain	gain	gain	intergroup_rank_loss	False	3	"[""B1.2"", ""B2.1"", ""B4.2"", ""B3.4"", ""B5.1""]"	"[""B1.2"", ""B2.1"", ""B3.4"", ""B4.2"", ""B5.1""]"	success	True	2	"[""B1.2"", ""B4.2"", ""B2.1"", ""B3.4"", ""B5.1""]"	"[""B1.2"", ""B2.1"", ""B3.4"", ""B4.2"", ""B5.1""]"	success	True	1	"[""B4.2""]"	"[""B4.2""]"	success	True	1	"[""B4.2""]"	"[""B4.2""]"
