case_id	cohort	arm	protocol	parent_source	acceptable_parents	gold_leaf_ids	family_coverage	tree_parent_present	l1_candidate_recall	family_top1	family_top2	family_rr	mapper_opt1	mapper_opt2	mapper_rr	funnel_bucket	bind_repair_applied	n_leaves_injected_extra	n_leaves_catalogue
19	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2	B1.2|B2.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	13	18
21	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B4	B4.2	1	1	1	0	0	0.25	1	1	1.0	L1_PRESENT_OK	0	0	20
21	pilot24	R1	v2_leaf_parent	leaf_synonym	B4|B5	B4.2|B5.3	1	1	1	0	0	0.333333	1	1	1.0	L1_PRESENT_OK	0	0	20
21	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B4	B4.2	1	1	1	0	0	0.25	1	1	1.0	L1_PRESENT_OK	0	15	20
22	pilot24	R0	v1_auto_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	0	20
22	pilot24	R1	v2_leaf_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	0	20
22	pilot24	R2	v1_auto_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	16	20
27	pilot24	R0	v1_auto_parent	none			0	1	1	0	0	0.0	0	0	0.0	MAPPER_UNBIND	0	0	15
27	pilot24	R1	v2_leaf_parent	leaf_synonym	B2	B2.1|B2.3	1	1	1	1	1	1.0	0	0	0.0	L1_PRESENT_OK	0	0	15
27	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B2	B2.3	1	1	1	1	1	1.0	0	0	0.333333	L1_PRESENT_OK	1	11	15
28	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B5	B1.2|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	22
28	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.4|B2.20|B3.1|B4.17|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	22
28	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B5	B1.2|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	17	22
29	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B2|B4|B5	B2.1|B4.1|B5.1	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	20
29	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B2.1|B2.2|B2.3|B3.1|B4.1|B5.1|B5.2	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	20
29	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B2|B4|B5	B2.1|B4.1|B5.1	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	1	15	20
3	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	19
3	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	19
3	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	14	19
33	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B4	B1.1|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
33	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B4	B1.1|B1.2|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
33	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B4	B4.2	1	1	1	0	0	0.2	0	1	0.5	L1_PRESENT_OK	0	15	20
36	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B3|B5	B3.1|B5.1	1	1	1	0	1	0.5	1	1	1.0	L1_PRESENT_OK	0	0	20
36	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B1.2|B2.1|B3.1|B4.2|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
36	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B3|B5	B3.1|B5.1	1	1	1	0	1	0.5	1	1	1.0	L1_PRESENT_OK	0	15	20
39	pilot24	R0	v1_auto_parent	none			0	1	1	0	0	0.0	0	0	0.0	MAPPER_UNBIND	0	0	16
39	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B4	B1.1|B4.1	1	1	1	1	1	1.0	0	0	0.0	L1_PRESENT_OK	0	0	16
39	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B4	B1.1|B4.1	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	1	12	16
4	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B2	B2.2	1	1	1	0	0	0.2	0	1	0.5	L1_PRESENT_OK	0	0	19
4	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B1.3|B2.2|B3.2|B4.2|B5.2	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	19
4	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B2	B2.2	1	1	1	0	0	0.2	0	1	0.5	L1_PRESENT_OK	0	14	19
40	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B2|B3|B5	B2.4|B3.3|B5.4	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	20
40	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B1.2|B2.2|B2.3|B2.4|B3.1|B3.2|B3.3|B4.1|B5.1|B5.2|B5.4	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	20
40	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B2|B3|B5	B2.4|B3.3|B5.4	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	1	15	20
45	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
45	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B1.2|B2.1|B3.1|B4.1|B5.1|B5.2|B5.3	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
45	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	15	20
5	pilot24	R0	v1_auto_parent	none			0	1	1	0	0	0.0	0	0	0.0	MAPPER_UNBIND	0	0	14
5	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.1|B1.3|B1.4|B2.1|B3.1|B4.2	1	1	1	1	1	1.0	0	0	0.0	L1_PRESENT_OK	0	0	14
5	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1	B1.4	1	1	1	0	1	0.5	0	0	0.333333	L1_PRESENT_OK	1	10	14
57	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
57	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	20
57	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.1|B2.1|B3.1|B4.1|B5.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	15	20
59	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B2	B2.1	1	1	1	0	1	0.5	0	1	0.5	L1_PRESENT_OK	0	0	16
59	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.1|B1.2|B1.3|B2.1|B3.2|B4.1|B4.2|B4.3	1	1	1	1	1	1.0	0	1	0.5	L1_PRESENT_OK	0	0	16
59	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B2	B2.1	1	1	1	0	1	0.5	0	1	0.5	L1_PRESENT_OK	0	12	16
60	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.1|B2.2|B3.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	16
60	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.1|B1.2|B1.3|B1.4|B2.2|B3.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	16
60	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.1|B2.2|B3.1|B4.1	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	12	16
62	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.2|B2.1|B3.1|B4.2|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	18
62	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.2|B2.1|B3.1|B3.3|B3.4|B4.2|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	18
62	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4|B5	B1.2|B2.1|B3.1|B4.2|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	13	18
63	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B3	B3.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	19
63	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4|B5	B1.1|B1.2|B1.3|B2.1|B2.2|B2.3|B3.1|B3.2|B3.3|B3.4|B4.1|B5.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	19
63	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B3	B3.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	14	19
67	pilot24	R0	v1_auto_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	0	20
67	pilot24	R1	v2_leaf_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	0	20
67	pilot24	R2	v1_auto_parent	none			0	0	0	0	0	0.0	0	0	0.0	TREE_PARENT_ABSENT	0	15	20
7	pilot24	R0	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.2|B2.2|B3.2|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	16
7	pilot24	R1	v2_leaf_parent	leaf_synonym	B1|B2|B3|B4	B1.2|B2.2|B3.1|B3.2|B4.1|B4.2|B4.3	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	0	0	16
7	pilot24	R2	v1_auto_parent	mapper_leaf_parent	B1|B2|B3|B4	B1.2|B2.2|B3.2|B4.2	1	1	1	1	1	1.0	1	1	1.0	L1_PRESENT_OK	1	12	16
