experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,provenance,n,left_rate,right_rate,delta_right_minus_left,both,left_only,right_only,neither,gain_case_keys,loss_case_keys,exact_mcnemar_p,paired_case_bootstrap_delta_ci95,bootstrap_unit,source_multiplicity_family,holm_adjusted_p,holm_family_size
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,DA,task,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6222222222222222,0.6666666666666666,0.044444444444444446,53,3,7,27,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/329"", ""DA_d2_heldout100/374"", ""DA_d2_heldout100/452"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/589""]","[""DA_d2_heldout200b/490"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/29""]",0.34375,"[-0.022222, 0.111111]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.75,0.6973684210526315,-0.05263157894736842,47,10,6,13,"[""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/283"", ""MCR_seq200b/330"", ""MCR_seq200b/356"", ""MCR_seq200b/403"", ""MCR_seq200b/420"", ""MCR_v1_seq100/107"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/151""]",0.454498291015625,"[-0.157895, 0.052632]",case,primary,0.90899658203125,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7631578947368421,0.7631578947368421,0.0,51,7,7,11,"[""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232"", ""MCR_v2_seq100/234""]","[""MCR_seq200b/283"", ""MCR_seq200b/403"", ""MCR_v1_seq100/107"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/151""]",1.0,"[-0.092105, 0.092105]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7763157894736842,0.7894736842105263,0.013157894736842105,54,5,6,11,"[""MCR_seq200b/341"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/330"", ""MCR_seq200b/403"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234""]",1.0,"[-0.065789, 0.092105]",case,primary,1.0,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.013157894736842105,0.06578947368421052,0.05263157894736842,1,0,4,71,"[""MCR_seq200b/330"", ""MCR_seq200b/354"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/234""]",[],0.125,"[0.013158, 0.105263]",case,primary,0.5,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7894736842105263,0.8552631578947368,0.06578947368421052,58,2,7,9,"[""MCR_seq200b/341"", ""MCR_seq200b/354"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/403"", ""MCR_v2_seq100/140""]",0.1796875,"[-0.013158, 0.144737]",case,primary,0.5390625,5
E5,add_component5_vs_base4,base4,add_component5,typed_addition_5,MCR,task,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7894736842105263,0.8289473684210527,0.039473684210526314,56,4,7,9,"[""MCR_seq200b/341"", ""MCR_seq200b/354"", ""MCR_seq200b/405"", ""MCR_seq200b/408"", ""MCR_seq200b/413"", ""MCR_seq200b/468"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/403"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234""]",0.548828125,"[-0.052632, 0.131579]",case,primary,0.66461181640625,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,ALL,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.6626506024096386,0.5783132530120482,-0.08433734939759036,86,24,10,46,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645"", ""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout100/373"", ""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/628"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""DA_d2_seq100/99"", ""MCR_seq200b/251"", ""MCR_seq200b/266"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_seq200b/420"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/237""]",0.024306510109454393,"[-0.150602, -0.018072]",case,primary,0.09722604043781757,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,ALL,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.6746987951807228,0.6325301204819277,-0.04216867469879518,94,18,11,43,"[""DA_d2_heldout100/306"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645"", ""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_seq200b/468"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout100/373"", ""DA_d2_heldout200b/628"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""DA_d2_seq100/99"", ""MCR_seq200b/251"", ""MCR_seq200b/266"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140""]",0.26493089646101,"[-0.108434, 0.018072]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,ALL,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.7168674698795181,0.6506024096385542,-0.06626506024096386,99,20,9,38,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645"", ""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""MCR_seq200b/251"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234"", ""MCR_v2_seq100/237""]",0.06142834573984146,"[-0.126506, -0.006024]",case,primary,0.24571338295936584,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,ALL,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.1144578313253012,0.21084337349397592,0.0963855421686747,15,4,20,127,"[""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/394"", ""MCR_seq200b/468"", ""MCR_v1_seq100/128"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/210"", ""MCR_v2_seq100/234"", ""MCR_v2_seq100/237""]","[""DA_d2_heldout100/302"", ""DA_d2_heldout100/359"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]",0.001543879508972168,"[0.042169, 0.156627]",case,primary,0.00771939754486084,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,ALL,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,166,0.8313253012048193,0.8614457831325302,0.030120481927710843,133,5,10,18,"[""DA_d2_heldout100/367"", ""DA_d2_heldout200b/530"", ""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_seq200b/468"", ""MCR_v1_seq100/128"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/210"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout200b/741"", ""MCR_seq200b/251"", ""MCR_seq200b/342"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40""]",0.3017578125,"[-0.012048, 0.078313]",case,primary,0.9052734375,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.5888888888888889,0.5333333333333333,-0.05555555555555555,42,11,6,31,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/306"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]","[""DA_d2_heldout100/373"", ""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/628"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""DA_d2_seq100/99""]",0.332305908203125,"[-0.144444, 0.033333]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6,0.5555555555555556,-0.044444444444444446,45,9,5,31,"[""DA_d2_heldout100/306"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]","[""DA_d2_heldout100/373"", ""DA_d2_heldout200b/628"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""DA_d2_seq100/99""]",0.4239501953125,"[-0.122222, 0.033333]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6666666666666666,0.6333333333333333,-0.03333333333333333,52,8,5,25,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]","[""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87""]",0.5810546875,"[-0.111111, 0.044444]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.2,0.24444444444444444,0.044444444444444446,14,4,8,64,"[""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/530"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87""]","[""DA_d2_heldout100/302"", ""DA_d2_heldout100/359"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]",0.3876953125,"[-0.033333, 0.122222]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.8666666666666667,0.8777777777777778,0.011111111111111112,77,1,2,10,"[""DA_d2_heldout100/367"", ""DA_d2_heldout200b/530""]","[""DA_d2_heldout200b/741""]",1.0,"[-0.022222, 0.044444]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,DA,task,common_served_case_paired,blinded_model_panel_sensitivity_not_root,90,0.6222222222222222,0.5555555555555556,-0.06666666666666667,45,11,5,29,"[""DA_d2_heldout100/302"", ""DA_d2_heldout100/359"", ""DA_d2_heldout100/367"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/645""]","[""DA_d2_heldout100/373"", ""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/628"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/636"", ""DA_d2_heldout200b/736"", ""DA_d2_heldout200b/741"", ""DA_d2_seq100/15"", ""DA_d2_seq100/242"", ""DA_d2_seq100/87"", ""DA_d2_seq100/99""]",0.210113525390625,"[-0.155556, 0.022222]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.75,0.631578947368421,-0.11842105263157894,44,13,4,15,"[""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/251"", ""MCR_seq200b/266"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_seq200b/420"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/237""]",0.049041748046875,"[-0.223684, -0.013158]",case,primary,0.1961669921875,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,legacy_chain,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7631578947368421,0.7236842105263158,-0.039473684210526314,49,9,6,12,"[""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_seq200b/468"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/251"", ""MCR_seq200b/266"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140""]",0.60723876953125,"[-0.131579, 0.052632]",case,primary,1.0,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,clinical_complete,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7763157894736842,0.6710526315789473,-0.10526315789473684,47,12,4,13,"[""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/251"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234"", ""MCR_v2_seq100/237""]",0.076812744140625,"[-0.210526, 0.0]",case,primary,0.3072509765625,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.013157894736842105,0.17105263157894737,0.15789473684210525,1,0,12,63,"[""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/394"", ""MCR_seq200b/468"", ""MCR_v1_seq100/128"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/210"", ""MCR_v2_seq100/234"", ""MCR_v2_seq100/237""]",[],0.00048828125,"[0.078947, 0.25]",case,primary,0.00244140625,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,complete_or_compatible_partial,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7894736842105263,0.8421052631578947,0.05263157894736842,56,4,8,8,"[""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_seq200b/468"", ""MCR_v1_seq100/128"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/210"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/251"", ""MCR_seq200b/342"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40""]",0.3876953125,"[-0.039474, 0.144737]",case,primary,0.5390625,5
E5,add_parent5_vs_base4,base4,add_parent5,typed_addition_5,MCR,task,common_served_case_paired,blinded_model_panel_sensitivity_not_root,76,0.7894736842105263,0.7236842105263158,-0.06578947368421052,49,11,6,10,"[""MCR_seq200b/279"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_seq200b/468"", ""MCR_v2_seq100/165"", ""MCR_v2_seq100/232""]","[""MCR_seq200b/251"", ""MCR_seq200b/266"", ""MCR_seq200b/302"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/394"", ""MCR_seq200b/403"", ""MCR_v1_seq100/40"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/234""]",0.332305908203125,"[-0.171053, 0.039474]",case,primary,0.66461181640625,5
E5,add_sibling5_vs_base4,base4,add_sibling5,typed_addition_5,ALL,safe_exact,common_served_case_paired,blinded_model_panel_sensitivity_not_root,165,0.6666666666666666,0.5575757575757576,-0.10909090909090909,85,25,7,48,"[""DA_d2_heldout100/306"", ""DA_d2_heldout100/359"", ""DA_d2_heldout200b/529"", ""DA_d2_heldout200b/530"", ""MCR_seq200b/341"", ""MCR_seq200b/408"", ""MCR_v2_seq100/232""]","[""DA_d2_heldout100/259"", ""DA_d2_heldout200b/507"", ""DA_d2_heldout200b/563"", ""DA_d2_heldout200b/574"", ""DA_d2_heldout200b/630"", ""DA_d2_heldout200b/741"", ""DA_d2_heldout200b/775"", ""DA_d2_seq100/164"", ""DA_d2_seq100/29"", ""DA_d2_seq100/99"", ""MCR_seq200b/265"", ""MCR_seq200b/283"", ""MCR_seq200b/302"", ""MCR_seq200b/314"", ""MCR_seq200b/330"", ""MCR_seq200b/342"", ""MCR_seq200b/355"", ""MCR_seq200b/372"", ""MCR_seq200b/420"", ""MCR_v1_seq100/109"", ""MCR_v1_seq100/72"", ""MCR_v1_seq100/75"", ""MCR_v2_seq100/140"", ""MCR_v2_seq100/151"", ""MCR_v2_seq100/237""]",0.0021024015732109547,"[-0.175758, -0.042424]",case,primary,0.010512007866054773,5
