symptom_uuid,condition_snomed_id,likelihood_symptom_given_condition,likelihood_condition_given_symptom,strong_predictor
4737b1b2-a65c-11eb-8d02-1e003a340630,69776003,high,low,
47388e48-a65c-11eb-8d02-1e003a340630,69776003,high,low,0
47258974-a65c-11eb-8d02-1e003a340630,69776003,high,low,
47483014-a65c-11eb-8d02-1e003a340630,69776003,high,medium,
47187806-a65c-11eb-8d02-1e003a340630,69776003,high,medium,0
473914a8-a65c-11eb-8d02-1e003a340630,69776003,high,low,0
471ade52-a65c-11eb-8d02-1e003a340630,69776003,medium,low,0
4737ee0c-a65c-11eb-8d02-1e003a340630,69776003,high,medium,
4738b724-a65c-11eb-8d02-1e003a340630,69776003,high,high,0
47172c6c-a65c-11eb-8d02-1e003a340630,69776003,medium,medium,
471ab4c2-a65c-11eb-8d02-1e003a340630,69776003,medium,low,
4719de80-a65c-11eb-8d02-1e003a340630,69776003,medium,high,
4737899e-a65c-11eb-8d02-1e003a340630,69776003,medium,high,0
1fd5a29a-af36-11eb-8fc3-1e003a340631,69776003,medium,medium,
477c3b2a-a65c-11eb-8d02-1e003a340630,57054005,medium,rare,
47431318-a65c-11eb-8d02-1e003a340630,57054005,high,low,
47238a5c-a65c-11eb-8d02-1e003a340630,57054005,high,medium,
47241774-a65c-11eb-8d02-1e003a340630,57054005,high,medium,
4725612e-a65c-11eb-8d02-1e003a340630,57054005,very_high,medium,
4722fc04-a65c-11eb-8d02-1e003a340630,57054005,very_high,medium,
4738b724-a65c-11eb-8d02-1e003a340630,57054005,medium,low,
f42bb86a-7bf6-46ef-a582-c47514cea501,57054005,high,medium,
47230fd2-a65c-11eb-8d02-1e003a340630,57054005,high,medium,
473d4a00-a65c-11eb-8d02-1e003a340630,57054005,medium,medium,
4723da48-a65c-11eb-8d02-1e003a340630,57054005,very_high,medium,
473d5f72-a65c-11eb-8d02-1e003a340630,57054005,medium,medium,
473ca9f6-a65c-11eb-8d02-1e003a340630,57054005,medium,low,
47254cfc-a65c-11eb-8d02-1e003a340630,57054005,high,medium,
cbade44f-adca-4d70-a02d-a607e57bddf7,57054005,high,very_high,1
47483014-a65c-11eb-8d02-1e003a340630,57054005,medium,low,
1fd23074-af36-11eb-8fc3-1e003a340631,57054005,medium,medium,
473d76ce-a65c-11eb-8d02-1e003a340630,57054005,medium,medium,
2161cdd4-3d3c-45be-aecf-b23adb577b6a,57054005,high,low,
1fd1f60e-af36-11eb-8fc3-1e003a340631,57054005,high,very_high,1
1fd2c106-af36-11eb-8fc3-1e003a340631,57054005,medium,rare,
3203bb98-28f0-4c5c-9c5b-adc989bf2f57,57054005,medium,low,
472402de-a65c-11eb-8d02-1e003a340630,57054005,very_high,high,
473e0cce-a65c-11eb-8d02-1e003a340630,57054005,high,medium,
1fd1d8f4-af36-11eb-8fc3-1e003a340631,57054005,high,very_high,1
47239e2a-a65c-11eb-8d02-1e003a340630,57054005,very_high,very_high,1
4723b27a-a65c-11eb-8d02-1e003a340630,57054005,high,high,
1fd21378-af36-11eb-8fc3-1e003a340631,57054005,high,very_high,1
1fd3a54e-af36-11eb-8fc3-1e003a340631,57054005,medium,low,
7b8abebf-8a32-4615-b865-f7c2e23b8e51,57054005,high,low,
4723ee52-a65c-11eb-8d02-1e003a340630,57054005,high,low,
4737ee0c-a65c-11eb-8d02-1e003a340630,57054005,medium,low,
4722e7c8-a65c-11eb-8d02-1e003a340630,57054005,very_high,medium,
47386634-a65c-11eb-8d02-1e003a340630,197456007,high,very_high,1
1fd269ea-af36-11eb-8fc3-1e003a340631,197456007,low,low,
47258974-a65c-11eb-8d02-1e003a340630,197456007,high,rare,
47483014-a65c-11eb-8d02-1e003a340630,197456007,high,low,
471a08ec-a65c-11eb-8d02-1e003a340630,197456007,very_high,medium,
4717d9d2-a65c-11eb-8d02-1e003a340630,197456007,high,low,
47179080-a65c-11eb-8d02-1e003a340630,197456007,very_high,medium,0
471c2db6-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
471b740c-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
471b990a-a65c-11eb-8d02-1e003a340630,197456007,medium,medium,
4719b3f6-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
4719de80-a65c-11eb-8d02-1e003a340630,197456007,medium,low,
471da3a8-a65c-11eb-8d02-1e003a340630,197456007,very_high,very_high,1
477a608e-a65c-11eb-8d02-1e003a340630,197456007,high,low,
47198962-a65c-11eb-8d02-1e003a340630,197456007,medium,rare,
47758294-a65c-11eb-8d02-1e003a340630,197456007,medium,low,
471b4f0e-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
47172c6c-a65c-11eb-8d02-1e003a340630,197456007,high,low,
471c78c0-a65c-11eb-8d02-1e003a340630,197456007,high,low,
4738b724-a65c-11eb-8d02-1e003a340630,197456007,high,low,
1fd5a29a-af36-11eb-8fc3-1e003a340631,197456007,high,rare,
473ca9f6-a65c-11eb-8d02-1e003a340630,197456007,low,rare,
4730007a-a65c-11eb-8d02-1e003a340630,197456007,low,low,
471e0014-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
471e3a84-a65c-11eb-8d02-1e003a340630,197456007,high,medium,
471a33ee-a65c-11eb-8d02-1e003a340630,197456007,very_high,low,
471c52b4-a65c-11eb-8d02-1e003a340630,197456007,very_high,very_high,1
4737ee0c-a65c-11eb-8d02-1e003a340630,197456007,very_high,low,
47387a3e-a65c-11eb-8d02-1e003a340630,197456007,low,medium,
47352e74-a65c-11eb-8d02-1e003a340630,3110003,high,very_high,1
4780e42c-a65c-11eb-8d02-1e003a340630,3110003,low,zero,
e2f1ea78-d456-11eb-a77f-1e003a340630,3110003,very_high,very_high,1
4783a9dc-a65c-11eb-8d02-1e003a340630,3110003,medium,low,
47258974-a65c-11eb-8d02-1e003a340630,3110003,medium,low,
47332c14-a65c-11eb-8d02-1e003a340630,3110003,medium,medium,
4733de16-a65c-11eb-8d02-1e003a340630,3110003,low,low,
474755e0-a65c-11eb-8d02-1e003a340630,3110003,medium,medium,
4734f2f6-a65c-11eb-8d02-1e003a340630,3110003,high,medium,
473454fe-a65c-11eb-8d02-1e003a340630,3110003,high,medium,
b5c7de27-570a-44b2-9194-3ee64aae6e48,363732003,low,rare,
479f1ab4-a65c-11eb-8d02-1e003a340630,363732003,high,very_high,1
47483014-a65c-11eb-8d02-1e003a340630,363732003,medium,low,
4739c8bc-a65c-11eb-8d02-1e003a340630,363732003,high,low,
47258974-a65c-11eb-8d02-1e003a340630,363732003,low,rare,
477cb5dc-a65c-11eb-8d02-1e003a340630,363732003,high,medium,
473914a8-a65c-11eb-8d02-1e003a340630,363732003,high,medium,
477f1e26-a65c-11eb-8d02-1e003a340630,363732003,low,rare,
e2f28fdc-d456-11eb-a77f-1e003a340630,363732003,medium,very_high,1
3203bb98-28f0-4c5c-9c5b-adc989bf2f57,363732003,very_high,very_high,1
4737ee0c-a65c-11eb-8d02-1e003a340630,363732003,medium,rare,
474af916-a65c-11eb-8d02-1e003a340630,363732003,medium,low,
479b7a44-a65c-11eb-8d02-1e003a340630,363732003,low,zero,
479f0704-a65c-11eb-8d02-1e003a340630,363732003,medium,zero,
4781953e-a65c-11eb-8d02-1e003a340630,363732003,high,medium,
4728ddae-a65c-11eb-8d02-1e003a340630,363732003,medium,rare,
479ef368-a65c-11eb-8d02-1e003a340630,363732003,high,rare,
47297d40-a65c-11eb-8d02-1e003a340630,363732003,medium,low,
47172c6c-a65c-11eb-8d02-1e003a340630,75119003,high,rare,
47258974-a65c-11eb-8d02-1e003a340630,75119003,high,low,
4737ee0c-a65c-11eb-8d02-1e003a340630,75119003,high,rare,
4739c8bc-a65c-11eb-8d02-1e003a340630,75119003,high,rare,
471a08ec-a65c-11eb-8d02-1e003a340630,75119003,high,rare,
471a5f04-a65c-11eb-8d02-1e003a340630,75119003,very_high,medium,0
47483014-a65c-11eb-8d02-1e003a340630,75119003,high,rare,
472603f4-a65c-11eb-8d02-1e003a340630,75119003,very_high,low,
e2f215f2-d456-11eb-a77f-1e003a340630,75119003,high,low,
471907ee-a65c-11eb-8d02-1e003a340630,75119003,high,low,
4796d5f2-a65c-11eb-8d02-1e003a340630,30037006,high,high,
47967292-a65c-11eb-8d02-1e003a340630,30037006,very_high,medium,
473724e0-a65c-11eb-8d02-1e003a340630,30037006,low,rare,
473f9e54-a65c-11eb-8d02-1e003a340630,30037006,high,low,
4740455c-a65c-11eb-8d02-1e003a340630,30037006,high,very_high,1
4736971e-a65c-11eb-8d02-1e003a340630,30037006,low,rare,
1fd2a3f6-af36-11eb-8fc3-1e003a340631,30037006,rare,zero,
1fd4a854-af36-11eb-8fc3-1e003a340631,30037006,medium,very_high,1
e2f289e2-d456-11eb-a77f-1e003a340630,30037006,very_high,very_high,1
e2f1e1fe-d456-11eb-a77f-1e003a340630,30037006,medium,low,
4740a98e-a65c-11eb-8d02-1e003a340630,30037006,very_high,medium,
1fd5bfe6-af36-11eb-8fc3-1e003a340631,30037006,low,rare,
e2f1df6a-d456-11eb-a77f-1e003a340630,30037006,medium,zero,
47403170-a65c-11eb-8d02-1e003a340630,30037006,high,very_high,1
4796c1a2-a65c-11eb-8d02-1e003a340630,30037006,medium,low,
472402de-a65c-11eb-8d02-1e003a340630,194828000,medium,low,
1fd1f60e-af36-11eb-8fc3-1e003a340631,194828000,high,high,
3203bb98-28f0-4c5c-9c5b-adc989bf2f57,194828000,low,low,
2161cdd4-3d3c-45be-aecf-b23adb577b6a,194828000,high,low,
3441104a-b416-11eb-8c69-1e003a340631,194828000,high,high,
4724fb62-a65c-11eb-8d02-1e003a340630,194828000,medium,low,
1fd1d8f4-af36-11eb-8fc3-1e003a340631,194828000,very_high,very_high,1
47239e2a-a65c-11eb-8d02-1e003a340630,194828000,high,very_high,1
4722fc04-a65c-11eb-8d02-1e003a340630,194828000,high,medium,
4723da48-a65c-11eb-8d02-1e003a340630,194828000,high,low,
47251016-a65c-11eb-8d02-1e003a340630,194828000,very_high,very_high,1
47238a5c-a65c-11eb-8d02-1e003a340630,194828000,high,very_high,1
4723ee52-a65c-11eb-8d02-1e003a340630,194828000,medium,low,
4722e7c8-a65c-11eb-8d02-1e003a340630,194828000,very_high,medium,
47241774-a65c-11eb-8d02-1e003a340630,194828000,very_high,very_high,1
1fd23074-af36-11eb-8fc3-1e003a340631,194828000,high,high,
4723b27a-a65c-11eb-8d02-1e003a340630,194828000,high,medium,
cbade44f-adca-4d70-a02d-a607e57bddf7,194828000,high,medium,
47230fd2-a65c-11eb-8d02-1e003a340630,194828000,medium,low,
7b8abebf-8a32-4615-b865-f7c2e23b8e51,194828000,high,low,
47242d0e-a65c-11eb-8d02-1e003a340630,194828000,high,very_high,1
1e4d0c9a-46b9-424b-9924-1a3f4290a677,426965005,medium,medium,
11eeba0e-bb2f-11eb-b46a-1e003a340631,426965005,medium,low,
87076ab8-3c9b-4e03-bef3-67be482ec85f,426965005,high,very_high,1
478032ac-a65c-11eb-8d02-1e003a340630,426965005,very_high,very_high,1
e4f78b87-9704-4f85-957d-fa19d63d7812,426965005,high,high,
73e12cf4-abca-48cd-b60d-d2cc5b5f9425,426965005,very_high,medium,
1fd4da4a-af36-11eb-8fc3-1e003a340631,426965005,low,low,
3484ae72-c1fa-4e38-be6c-cec5f7e576ff,426965005,medium,medium,
47a7ab20-a65c-11eb-8d02-1e003a340630,426965005,very_high,very_high,1
9a0456fb-9afb-4ec4-a7de-2c3621fdb3dd,426965005,medium,medium,
47483014-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
4717d9d2-a65c-11eb-8d02-1e003a340630,74400008,medium,medium,
47198962-a65c-11eb-8d02-1e003a340630,74400008,high,low,
471e0014-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
47179080-a65c-11eb-8d02-1e003a340630,74400008,very_high,high,0
1fd28696-af36-11eb-8fc3-1e003a340631,74400008,high,low,
471be39c-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
47385216-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
4737ee0c-a65c-11eb-8d02-1e003a340630,74400008,very_high,medium,
47187806-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
471ab4c2-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
1fd5a29a-af36-11eb-8fc3-1e003a340631,74400008,medium,low,
471ade52-a65c-11eb-8d02-1e003a340630,74400008,very_high,very_high,1
47172c6c-a65c-11eb-8d02-1e003a340630,74400008,very_high,medium,
4725efa4-a65c-11eb-8d02-1e003a340630,74400008,high,low,
4726e382-a65c-11eb-8d02-1e003a340630,74400008,medium,low,
477cb5dc-a65c-11eb-8d02-1e003a340630,74400008,high,low,
477d1950-a65c-11eb-8d02-1e003a340630,74400008,medium,rare,
47258974-a65c-11eb-8d02-1e003a340630,74400008,high,low,
4738b724-a65c-11eb-8d02-1e003a340630,74400008,medium,medium,
4719de80-a65c-11eb-8d02-1e003a340630,74400008,high,low,
4719b3f6-a65c-11eb-8d02-1e003a340630,74400008,high,medium,
47431318-a65c-11eb-8d02-1e003a340630,698247007,very_high,very_high,1
3203bb98-28f0-4c5c-9c5b-adc989bf2f57,698247007,high,low,
47836eb8-a65c-11eb-8d02-1e003a340630,698247007,very_high,very_high,1
473ca9f6-a65c-11eb-8d02-1e003a340630,698247007,medium,low,
1fd3a54e-af36-11eb-8fc3-1e003a340631,698247007,high,medium,
cbade44f-adca-4d70-a02d-a607e57bddf7,698247007,high,low,
47483014-a65c-11eb-8d02-1e003a340630,698247007,low,rare,
473569ac-a65c-11eb-8d02-1e003a340630,698247007,high,low,
473914a8-a65c-11eb-8d02-1e003a340630,698247007,medium,rare,
477a608e-a65c-11eb-8d02-1e003a340630,698247007,high,medium,
2161cdd4-3d3c-45be-aecf-b23adb577b6a,698247007,low,rare,
4722e7c8-a65c-11eb-8d02-1e003a340630,698247007,high,medium,
4740be10-a65c-11eb-8d02-1e003a340630,52441000,high,rare,
474a8206-a65c-11eb-8d02-1e003a340630,52441000,low,rare,
474185b6-a65c-11eb-8d02-1e003a340630,52441000,high,medium,
477f1e26-a65c-11eb-8d02-1e003a340630,52441000,high,low,
4749e3fa-a65c-11eb-8d02-1e003a340630,52441000,medium,low,
477fa83c-a65c-11eb-8d02-1e003a340630,52441000,high,very_high,1
474a32b0-a65c-11eb-8d02-1e003a340630,52441000,high,low,
47882228-a65c-11eb-8d02-1e003a340630,52441000,high,medium,
47876f90-a65c-11eb-8d02-1e003a340630,52441000,high,low,
474a95a2-a65c-11eb-8d02-1e003a340630,52441000,medium,rare,
e2f21502-d456-11eb-a77f-1e003a340630,52441000,very_high,very_high,1
475d1b0a-a65c-11eb-8d02-1e003a340630,52441000,medium,low,
4785be52-a65c-11eb-8d02-1e003a340630,52441000,high,medium,
477d40c4-a65c-11eb-8d02-1e003a340630,52441000,very_high,medium,
479f7d60-a65c-11eb-8d02-1e003a340630,193093009,zero,rare,
344147d6-b416-11eb-8c69-1e003a340631,193093009,medium,low,
e2f299c8-d456-11eb-a77f-1e003a340630,193093009,very_high,medium,
47701066-a65c-11eb-8d02-1e003a340630,193093009,zero,zero,
e2f28460-d456-11eb-a77f-1e003a340630,193093009,high,medium,
4720607a-a65c-11eb-8d02-1e003a340630,193093009,medium,rare,
47719bac-a65c-11eb-8d02-1e003a340630,193093009,very_high,high,
479c8f4c-a65c-11eb-8d02-1e003a340630,193093009,very_high,very_high,1
479c18f0-a65c-11eb-8d02-1e003a340630,193093009,very_high,high,
47826efa-a65c-11eb-8d02-1e003a340630,193093009,low,rare,
4769e268-a65c-11eb-8d02-1e003a340630,193093009,low,low,
476c72c6-a65c-11eb-8d02-1e003a340630,193093009,low,zero,
47a17f98-a65c-11eb-8d02-1e003a340630,193093009,high,very_high,1
479ca31a-a65c-11eb-8d02-1e003a340630,193093009,very_high,very_high,1
1fd5fa24-af36-11eb-8fc3-1e003a340631,193093009,very_high,very_high,1
473454fe-a65c-11eb-8d02-1e003a340630,193093009,medium,rare,
47a16bc0-a65c-11eb-8d02-1e003a340630,193093009,high,high,
47a20954-a65c-11eb-8d02-1e003a340630,193093009,very_high,very_high,1
1fd426c2-af36-11eb-8fc3-1e003a340631,193093009,rare,rare,
fbaf89d6-ba6a-11eb-b85a-1e003a340631,193093009,medium,low,
47440002-a65c-11eb-8d02-1e003a340630,111541001,high,medium,
8f671c92-b97c-11eb-8741-1e003a340631,111541001,very_high,very_high,1
4744b2ae-a65c-11eb-8d02-1e003a340630,111541001,medium,very_high,1
4743b0ca-a65c-11eb-8d02-1e003a340630,111541001,very_high,high,0
8f671e40-b97c-11eb-8741-1e003a340631,111541001,high,medium,
8f6688fe-b97c-11eb-8741-1e003a340631,111541001,medium,low,
47447744-a65c-11eb-8d02-1e003a340630,111541001,high,very_high,1
4737ee0c-a65c-11eb-8d02-1e003a340630,111541001,medium,rare,
8f671832-b97c-11eb-8741-1e003a340631,111541001,high,medium,
47385216-a65c-11eb-8d02-1e003a340630,111541001,medium,rare,
47386634-a65c-11eb-8d02-1e003a340630,111541001,medium,rare,
474755e0-a65c-11eb-8d02-1e003a340630,111541001,low,rare,
477b3a9a-a65c-11eb-8d02-1e003a340630,70650003,low,low,
471ab4c2-a65c-11eb-8d02-1e003a340630,70650003,high,medium,
475d1b0a-a65c-11eb-8d02-1e003a340630,70650003,medium,low,
471b2998-a65c-11eb-8d02-1e003a340630,70650003,high,medium,
e2f228b2-d456-11eb-a77f-1e003a340630,70650003,high,very_high,1
4740be10-a65c-11eb-8d02-1e003a340630,70650003,very_high,medium,
4741d502-a65c-11eb-8d02-1e003a340630,70650003,high,very_high,1
4741c0e4-a65c-11eb-8d02-1e003a340630,70650003,high,very_high,1
4773639c-a65c-11eb-8d02-1e003a340630,70650003,high,medium,
1fd31e62-af36-11eb-8fc3-1e003a340631,70650003,high,medium,
47172c6c-a65c-11eb-8d02-1e003a340630,70650003,medium,low,
4722e7c8-a65c-11eb-8d02-1e003a340630,12295008,medium,low,
473ca9f6-a65c-11eb-8d02-1e003a340630,12295008,medium,low,
8f67109e-b97c-11eb-8741-1e003a340631,12295008,high,high,0
471e8e62-a65c-11eb-8d02-1e003a340630,12295008,high,low,
4781953e-a65c-11eb-8d02-1e003a340630,12295008,high,rare,
47204950-a65c-11eb-8d02-1e003a340630,12295008,medium,low,
471edde0-a65c-11eb-8d02-1e003a340630,12295008,very_high,medium,
473914a8-a65c-11eb-8d02-1e003a340630,12295008,medium,rare,
471ffab8-a65c-11eb-8d02-1e003a340630,12295008,high,high,0
477aafb2-a65c-11eb-8d02-1e003a340630,12295008,medium,low,
47258974-a65c-11eb-8d02-1e003a340630,12295008,medium,rare,
471f2d86-a65c-11eb-8d02-1e003a340630,12295008,high,medium,
471f987a-a65c-11eb-8d02-1e003a340630,12295008,medium,medium,
4739c8bc-a65c-11eb-8d02-1e003a340630,12295008,medium,rare,
471f130a-a65c-11eb-8d02-1e003a340630,12295008,very_high,very_high,1
473b48a4-a65c-11eb-8d02-1e003a340630,32398004,medium,low,
473dcd5e-a65c-11eb-8d02-1e003a340630,32398004,medium,medium,
471f6300-a65c-11eb-8d02-1e003a340630,32398004,medium,low,
473cff50-a65c-11eb-8d02-1e003a340630,32398004,high,very_high,1
471f2d86-a65c-11eb-8d02-1e003a340630,32398004,high,medium,
477aafb2-a65c-11eb-8d02-1e003a340630,32398004,high,medium,
471e8e62-a65c-11eb-8d02-1e003a340630,32398004,very_high,medium,
1fd50722-af36-11eb-8fc3-1e003a340631,32398004,low,rare,
4781953e-a65c-11eb-8d02-1e003a340630,32398004,high,low,
473914a8-a65c-11eb-8d02-1e003a340630,32398004,medium,low,
473ca9f6-a65c-11eb-8d02-1e003a340630,32398004,high,low,
471f987a-a65c-11eb-8d02-1e003a340630,32398004,medium,medium,
471edde0-a65c-11eb-8d02-1e003a340630,32398004,very_high,very_high,1
471f130a-a65c-11eb-8d02-1e003a340630,32398004,very_high,medium,
1fd2c106-af36-11eb-8fc3-1e003a340631,32398004,medium,low,
476a0a5e-a65c-11eb-8d02-1e003a340630,57406009,medium,medium,
a0887e2c-ba5c-11eb-8eb6-1e003a340631,57406009,medium,medium,
4793f8d2-a65c-11eb-8d02-1e003a340630,57406009,medium,medium,
1fd32f60-af36-11eb-8fc3-1e003a340631,57406009,medium,rare,
1fd340d6-af36-11eb-8fc3-1e003a340631,57406009,high,high,0
476a6dd2-a65c-11eb-8d02-1e003a340630,57406009,medium,very_high,1
4794aaa2-a65c-11eb-8d02-1e003a340630,57406009,high,high,
47942046-a65c-11eb-8d02-1e003a340630,57406009,high,medium,
4783f8c4-a65c-11eb-8d02-1e003a340630,57406009,very_high,very_high,1
478b10f0-a65c-11eb-8d02-1e003a340630,57406009,very_high,medium,
4769e268-a65c-11eb-8d02-1e003a340630,57406009,high,low,
47943432-a65c-11eb-8d02-1e003a340630,57406009,medium,low,
1fd5de4a-af36-11eb-8fc3-1e003a340631,57406009,high,very_high,1
476ad100-a65c-11eb-8d02-1e003a340630,57406009,medium,low,
e2955b54-c08e-11eb-9e58-1e003a340631,57406009,high,medium,
4794480a-a65c-11eb-8d02-1e003a340630,57406009,medium,low,
4793bd72-a65c-11eb-8d02-1e003a340630,57406009,high,low,
1fd5cf4a-af36-11eb-8fc3-1e003a340631,57406009,high,very_high,1
1fd3e6bc-af36-11eb-8fc3-1e003a340631,128045006,high,very_high,1
1fd3d6b8-af36-11eb-8fc3-1e003a340631,128045006,medium,medium,
4744c6c2-a65c-11eb-8d02-1e003a340630,128045006,zero,low,
4726e382-a65c-11eb-8d02-1e003a340630,128045006,high,low,
472603f4-a65c-11eb-8d02-1e003a340630,128045006,medium,medium,
473914a8-a65c-11eb-8d02-1e003a340630,128045006,high,low,
1fd3b57a-af36-11eb-8fc3-1e003a340631,128045006,high,very_high,1
47258974-a65c-11eb-8d02-1e003a340630,128045006,high,medium,
47892312-a65c-11eb-8d02-1e003a340630,128045006,very_high,high,0
1fd3c632-af36-11eb-8fc3-1e003a340631,128045006,high,very_high,1
47458d5a-a65c-11eb-8d02-1e003a340630,128045006,medium,medium,
4745a150-a65c-11eb-8d02-1e003a340630,128045006,high,very_high,1
4781953e-a65c-11eb-8d02-1e003a340630,128045006,high,low,
1fd4cb2c-af36-11eb-8fc3-1e003a340631,128045006,very_high,high,0
3203bb98-28f0-4c5c-9c5b-adc989bf2f57,230690007,medium,rare,
4770c362-a65c-11eb-8d02-1e003a340630,230690007,high,low,
476e5fbe-a65c-11eb-8d02-1e003a340630,230690007,high,very_high,1
47701066-a65c-11eb-8d02-1e003a340630,230690007,high,medium,
47a16bc0-a65c-11eb-8d02-1e003a340630,230690007,high,high,
4722d3fa-a65c-11eb-8d02-1e003a340630,230690007,high,low,
477c3b2a-a65c-11eb-8d02-1e003a340630,230690007,high,low,
1fd5fa24-af36-11eb-8fc3-1e003a340631,230690007,very_high,very_high,1
47a20954-a65c-11eb-8d02-1e003a340630,230690007,very_high,very_high,1
479c2caa-a65c-11eb-8d02-1e003a340630,230690007,medium,medium,
479f9142-a65c-11eb-8d02-1e003a340630,230690007,very_high,very_high,1
4789addc-a65c-11eb-8d02-1e003a340630,230690007,very_high,medium,
2161cdd4-3d3c-45be-aecf-b23adb577b6a,230690007,high,rare,
479143e4-a65c-11eb-8d02-1e003a340630,230690007,very_high,very_high,1
47a0e13c-a65c-11eb-8d02-1e003a340630,230690007,high,high,
1fd4da4a-af36-11eb-8fc3-1e003a340631,230690007,medium,medium,
479f7d60-a65c-11eb-8d02-1e003a340630,230690007,medium,high,0
47a02f44-a65c-11eb-8d02-1e003a340630,230690007,high,very_high,1
a6ff7f66-b319-11eb-82fd-1e003a340631,230690007,very_high,very_high,1
47a042e0-a65c-11eb-8d02-1e003a340630,230690007,high,very_high,1
47a130ba-a65c-11eb-8d02-1e003a340630,230690007,high,high,
47a05794-a65c-11eb-8d02-1e003a340630,230690007,high,high,
47587b0e-a65c-11eb-8d02-1e003a340630,230690007,very_high,medium,0
473569ac-a65c-11eb-8d02-1e003a340630,230690007,medium,low,
b5c7de27-570a-44b2-9194-3ee64aae6e48,230690007,high,medium,
4743b0ca-a65c-11eb-8d02-1e003a340630,230690007,medium,low,
4720607a-a65c-11eb-8d02-1e003a340630,230690007,high,rare,
4770eab8-a65c-11eb-8d02-1e003a340630,230690007,high,low,
47220b14-a65c-11eb-8d02-1e003a340630,230690007,high,medium,
4771c33e-a65c-11eb-8d02-1e003a340630,230690007,very_high,very_high,1
4769e268-a65c-11eb-8d02-1e003a340630,230690007,medium,low,
7b8abebf-8a32-4615-b865-f7c2e23b8e51,230690007,medium,rare,
479c18f0-a65c-11eb-8d02-1e003a340630,230690007,low,low,
47702452-a65c-11eb-8d02-1e003a340630,230690007,very_high,very_high,1
477f595e-a65c-11eb-8d02-1e003a340630,230690007,high,very_high,1
4770af76-a65c-11eb-8d02-1e003a340630,230690007,high,low,
