uuid,snomed_id,root_snomed_id,root_snomed_name,name,triage_level,relevance_male,relevance_female,relation1_type,child1_name,grouping1_selection_type,relation2_type,child2_name,grouping2_selection_type,relation3_type,child3_name,grouping3_selection_type
02dfd713-f6a7-4aab-a6da-272262ca3a99,,445413001,Shiny skin,Shiny skin <loc> Back,opd_managed,,,location,Back,m,,,,,,
031112a2-1bde-4ee8-8807-9a1398d1aa7f,,297989000,Nail pain,Nail pain <char> swelling present,opd_managed,,,characteristic,swelling present,m,,,,,,
0329d242-f7a3-450a-bf4f-998dbf36a21a,49746001,49746001,Breast engorged,Breast engorged,opd_managed,,,,,,,,,,,
03a161c0-c878-4821-a073-3a7bc41cd2c2,,3253007,Discoloration of skin,Discoloration of skin <loc> Upper limb <loc> Fingers,opd_managed,,,location,Upper limb,m,location,Fingers,,,,
03c22572-3186-418d-a89e-d45420ca811d,,298000004,Loss of scalp hair,Loss of scalp hair <char> Bald patches <char> Patchy,opd_managed,,,characteristic,Bald patches,m,characteristic,Patchy,,,,
03dc9852-c3b2-42d3-86ee-9e405093c036,,428786006,Localized superficial swelling of skin,Localized superficial swelling of skin <loc> lower limb <loc> soles,opd_managed,,,location,lower limb,m,location,soles,,,,
03df1f23-8a8a-4d87-9577-66329338bb13,,298000004,Loss of scalp hair,Loss of scalp hair <agg by> Stress,opd_managed,,,aggravated,Stress,m,,,,,,
03fdc61b-34f6-433b-b510-88e25694e051,,267042006,Prominent veins,Prominent veins <char> Caput medusae,worrisome,,,characteristic,Caput medusae,m,,,,,,
0413aa09-fd67-4d98-98db-35daadc48e7c,,289524006,Vaginal swelling,Vaginal swelling <char> bleeding present,worrisome,,,characteristic,bleeding present,m,,,,,,
046a0716-a6ea-43d4-9627-821f34c6dd06,,3253007,Discoloration of skin,Discoloration of skin <loc> Upper limb <loc> Shoulder,opd_managed,,,location,Upper limb,m,location,Shoulder,,,,
04c4692d-a6f4-4ac9-833a-06cbdab654fc,,95668009,Pain in face,Pain in face <pain> sharp or stabbing pain,worrisome,,,pain_type,sharp or stabbing pain,m,,,,,,
04d4524e-1449-4201-8b09-06c75b8973dd,,827160004,Erythematous rash,Erythematous rash <loc> Localised <loc> Abdomen,opd_managed,,,location,Localised,m,location,Abdomen,,,,
04fb7036-e022-47ee-94db-ebbacf84edf3,,161891005,Back pain,Back pain <char> restricted movement due to pain,worrisome,,,characteristic,restricted movement due to pain,m,,,,,,
051f341f-8a2c-4f0c-9fba-d705671c7cdf,,309557009,Numbness of face,Numbness of face <loc> one side of face,worrisome,,,location,one side of face,m,,,,,,
0536a3f9-9bb9-449c-95a4-2875ae998aa7,275887009,275887009,Scaly scalp,Scaly scalp,opd_managed,,,,,,,,,,,
053c2403-27e8-4249-92c4-09109ece9ad8,,789493002,Pimples,Pimples <agg by> exposure to sun,opd_managed,,,aggravated,exposure to sun,m,,,,,,
053c35f6-2da2-4638-8363-55717b9369dc,,34789001,Pain in the coccyx,Pain in the coccyx <char> Swelling,worrisome,,,characteristic,Swelling,m,,,,,,
05ca908a-ed05-46a5-bb0d-c74bc881fe06,,418290006,Itching,Itching <severity> severe,emergency,,,severity,severe,s,,,,,,
05d4b87d-ad77-49bd-b928-2181a7b49ae5,,26544005,Muscle weakness,Muscle weakness <loc> localised <loc> Neck,worrisome,,,location,localised,m,location,Neck,,,,
06224794-8a24-4a1d-a942-2809ac5a6922,,95319004,Skin nodule,Skin nodule <char> Brown in color,opd_managed,,,characteristic,Brown in color,m,,,,,,
062c8f4f-d145-4ec2-81f7-fb594808231b,285471008,285471008,Mouth open always,Mouth open always,opd_managed,,,,,,,,,,,
0642951b-47c8-4dc5-b0de-022e22e2bf9d,,307136000,History of fracture in the past,History of fracture in the past <char> swelling present,worrisome,,,characteristic,swelling present,m,,,,,,
06966801-0b07-42a2-9749-72dce09aad70,,20090731,Hand swelling,Hand swelling <laterality> both,worrisome,,,laterality,both,s,,,,,,
06c25c5b-dbf4-41e8-bb82-85005432a3a9,248819006,248819006,Abnormal nipple,Abnormal nipple,worrisome,,,,,,,,,,,
06e56bfb-c265-4a58-abf6-639517284584,,262285001,Weight decreased,Weight decreased <char> with loss of appetite,opd_managed,,,characteristic,with loss of appetite,m,,,,,,
06fb213d-4e82-42b5-a8b8-b2e1c9a40103,286413006,286413006,Speaking slowly,Speaking slowly,worrisome,,,,,,,,,,,
0727edfa-0f53-4132-9ebf-d46bbd1dc6d4,,279038004,Pain in upper back,Pain in upper back <severity> moderate,opd_managed,,,severity,moderate,s,,,,,,
0765ad6a-3889-4cea-be1f-866d9466decc,,283046003,Sole of foot abnormal,Sole of foot abnormal <char> erythematous,opd_managed,,,characteristic,erythematous,m,,,,,,
079043f0-1a84-41ce-b573-06cb2fbab21e,,12584003,Bone pain,Bone pain <loc> generalised,worrisome,,,location,generalised,s,,,,,,
0794c22d-d7d1-48de-bac6-3b24d991e1f7,25273001,25273001,Large tongue,Large tongue,opd_managed,,,,,,,,,,,
07c660ed-5e90-4470-a80f-04cab0e6f261,,789493002,Pimples,Pimples <char> Round in shape,opd_managed,,,characteristic,Round in shape,m,,,,,,
07cbf730-d1b2-4c8f-a77d-14a4620cf4bf,,789493002,Pimples,Pimples <agg by> pre menstrual,opd_managed,,,aggravated,pre menstrual,m,,,,,,
07e018e0-4949-419b-b502-dcdebc43a84e,,204878001,Undescended testis,Undescended testis <laterality> right,opd_managed,,,laterality,right,s,,,,,,
083714f8-ab4b-4b27-9937-34d74530c00d,,444659003,Blister of foot,Blister of foot <loc> Sole of the foot,opd_managed,,,location,Sole of the foot,m,,,,,,
083c4e20-693d-4d07-b005-8822d5731af1,299034005,299034005,Claw hand,Claw hand,worrisome,,,,,,,,,,,
0840ebf8-cc9a-43c9-94c2-1fb33e410fae,,441708007,Swelling of jaw region,Swelling of jaw region <laterality> unilateral,worrisome,,,laterality,unilateral,s,,,,,,
085342aa-b4dd-493b-aa84-c674a2ffbd61,,247441003,Erythema,Erythema <loc> localised <loc> Groin,opd_managed,,,location,localised,m,location,Groin,,,,
087eb57a-6df8-4f55-83e5-14c8f2840874,,283046003,Sole of foot abnormal,Sole of foot abnormal <char> Scaly skin <char> painful,opd_managed,,,characteristic,Scaly skin,m,characteristic,painful,,,,
0899e7ec-2fc2-4840-946b-d4ad3834200b,,43029002,Abnormal posture,Abnormal posture <char> scoliosis,worrisome,,,characteristic,scoliosis,m,,,,,,
08f8a906-80fe-4899-adaa-418a3a1e6d99,,248819006,Abnormal nipple,Abnormal nipple <char> Cracked nipple,worrisome,,,characteristic,Cracked nipple,m,,,,,,
0935558b-ebe9-4c94-9b83-0dd41a955e71,,271870002,Low blood pressure,Low blood pressure <since> Less than 3 days,opd_managed,,,duration_since,Less than 3 days,s,,,,,,
095cf137-4716-46dc-a620-d5aa9a7fb1a3,,275887009,Scaly scalp,Scaly scalp <agg by> during rainy or cold weather,opd_managed,,,aggravated,during rainy or cold weather,m,,,,,,
0964aa2e-2749-4bd3-ad8d-36381a4e8b81,249923006,249923006,Locking of the joint,Locking of the joint,opd_managed,,,,,,,,,,,
09749626-dcc1-436b-8072-b7ac018425dd,,95668009,Pain in face,Pain in face <radiate> To the cheek bones,worrisome,,,radiating,To the cheek bones,m,,,,,,
0985361c-b18f-4445-941d-d4c1a50ea2c9,,88092000,Muscle atrophy,Muscle atrophy <onset> gradual onset,worrisome,,,onset,gradual onset,s,,,,,,
09beb6cd-49c8-4562-86ac-9aec57f00fcf,162314006,162314006,Harmful thoughts,Harmful thoughts,emergency,,,,,,,,,,,
09db5416-d6bc-47f0-9a85-b4d03ec17905,34911001,34911001,Micropenis,Micropenis,worrisome,,,,,,,,,,,
0a41f2f4-5897-48a2-9d2c-e7f027d508c3,249311009,249311009,Large nose,Large nose,opd_managed,,,,,,,,,,,
0a5c204e-223c-4b88-bf23-a1743e990057,,10601006,Pain in lower limb,Pain in lower limb <rel by> rest,worrisome,,,relieved,rest,m,,,,,,
0a778b37-c929-403d-bbd9-93bad20ae964,,247373008,Ankle pain,Ankle pain <char> skin color changes,opd_managed,,,characteristic,skin color changes,m,,,,,,
0a968081-8ffe-4d85-b5bc-79f08fc25b93,,444899003,Pain in forearm,Pain in forearm <char> pain during movement,opd_managed,,,characteristic,pain during movement,m,,,,,,
0a9a5ca8-dd33-4449-ac12-ef04dae1895b,,45352006,Muscle spasm,Muscle spasm <loc> Back,opd_managed,,,location,Back,m,,,,,,
0ad12d38-252e-11ec-832a-1e003a340631,,10601006,Pain in lower limb,Pain in lower limb <loc> localised <loc> toe <char> deformity of toes,worrisome,,,location,localised,m,location,toe,,characteristic,deformity of toes,
0ad14e4e-252e-11ec-832a-1e003a340631,,21522001,Abdominal pain,Abdominal pain <radiate> to the groin,worrisome,,,radiating,to the groin,m,,,,,,
0ad151a0-252e-11ec-832a-1e003a340631,,25064002,Headache,Headache <char> band like discomfort,opd_managed,,,characteristic,band like discomfort,m,,,,,,
0ad1547a-252e-11ec-832a-1e003a340631,,25064002,Headache,Headache <char> paraesthesia,worrisome,,,characteristic,paraesthesia,m,,,,,,
0ad1574a-252e-11ec-832a-1e003a340631,,25064002,Headache,Headache <loc> varies with each episode,opd_managed,,,location,varies with each episode,s,,,,,,
0ad15a1a-252e-11ec-832a-1e003a340631,,25064002,Headache,Headache <pattern> intermittent,worrisome,,,temporal_pattern,intermittent,s,,,,,,
0ad15cea-252e-11ec-832a-1e003a340631,402599005,402599005,Acanthosis nigricans,Acanthosis nigricans,worrisome,,,,,,,,,,,
0ad15fb0-252e-11ec-832a-1e003a340631,,53888004,Disturbance in sleep behavior,Disturbance in sleep behavior <since> 2 weeks to 1 month,worrisome,,,duration_since,2 weeks to 1 month,s,,,,,,
0ad1626c-252e-11ec-832a-1e003a340631,,57676002,Joint pain,Joint pain <loc> upper limbs <loc> finger <char> deformity of fingers,worrisome,,,location,upper limbs,m,location,finger,,characteristic,deformity of fingers,
0ad16532-252e-11ec-832a-1e003a340631,,247355005,Flank pain,Flank pain <pain> colicky pain,opd_managed,,,pain_type,colicky pain,m,,,,,,
0ad167f8-252e-11ec-832a-1e003a340631,,247355005,Flank pain,Flank pain <pattern> intermittent,opd_managed,,,temporal_pattern,intermittent,s,,,,,,
0ad16a82-252e-11ec-832a-1e003a340631,365921005,365921005,Weight Changes,Weight Changes,worrisome,,,,,,,,,,,
0ad16cc6-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <since> less than 2 weeks,worrisome,,,duration_since,less than 2 weeks,s,,,,,,
0ad16ece-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <since> 2 weeks to 8 weeks,worrisome,,,duration_since,2 weeks to 8 weeks,s,,,,,,
0ad170e0-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <since> 2 month to 6 month,opd_managed,,,duration_since,2 month to 6 month,s,,,,,,
0ad172e8-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <since> more than 6 month,opd_managed,,,duration_since,more than 6 month,s,,,,,,
0ad17504-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <char> not significant (< 10% in 6 month),opd_managed,,,characteristic,not significant (< 10% in 6 month),m,,,,,,
0ad1770c-252e-11ec-832a-1e003a340631,,365921005,Weight Changes,Weight Changes <char> significant (> 10% in 6 month),worrisome,,,characteristic,significant (> 10% in 6 month),m,,,,,,
0ad1791e-252e-11ec-832a-1e003a340631,,279039007,Low back pain,Low back pain <pain> crampy pain,opd_managed,,,pain_type,crampy pain,m,,,,,,
0ad17b76-252e-11ec-832a-1e003a340631,,279039007,Low back pain,Low back pain <pattern> intermittent,worrisome,,,temporal_pattern,intermittent,s,,,,,,
0ad17da6-252e-11ec-832a-1e003a340631,,279039007,Low back pain,Low back pain <pattern> Occured more than once in the last 3 months,worrisome,,,temporal_pattern,Occured more than once in the last 3 months,s,,,,,,
0ad17f54-252e-11ec-832a-1e003a340631,,279039007,Low back pain,Low back pain <pattern> continuous,worrisome,,,temporal_pattern,continuous,s,,,,,,
0ad1812a-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <char> Swelling,worrisome,,,characteristic,Swelling,m,,,,,,
0ad1833c-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <char> Raised temperature of the affected site,worrisome,,,characteristic,Raised temperature of the affected site,m,,,,,,
0ad1849a-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <agg by> at night,opd_managed,,,aggravated,at night,m,,,,,,
0ad185ee-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <agg by> in the morning,opd_managed,,,aggravated,in the morning,m,,,,,,
0ad1879c-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <pattern> intermittent,opd_managed,,,temporal_pattern,intermittent,s,,,,,,
0ad188f0-252e-11ec-832a-1e003a340631,,285365001,Pain in toe,Pain in toe <pattern> continuous,opd_managed,,,temporal_pattern,continuous,s,,,,,,
0ad18d00-252e-11ec-832a-1e003a340631,64206003,64206003,Hypomenorrhoea,Hypomenorrhoea,worrisome,,,,,,,,,,,
0ad18e7c-252e-11ec-832a-1e003a340631,237130006,237130006,Intermenstrual bleeding,Intermenstrual bleeding,worrisome,,,,,,,,,,,
0ad18fee-252e-11ec-832a-1e003a340631,403857009,403857009,Skin tags,Skin tags,opd_managed,,,,,,,,,,,
0ad19156-252e-11ec-832a-1e003a340631,,403857009,Skin tags,Skin tags <loc> neck,opd_managed,,,location,neck,m,,,,,,
0ad192be-252e-11ec-832a-1e003a340631,,403857009,Skin tags,Skin tags <loc> armpits,opd_managed,,,location,armpits,m,,,,,,
0ad19412-252e-11ec-832a-1e003a340631,,403857009,Skin tags,Skin tags <loc> Groin,opd_managed,,,location,Groin,m,,,,,,
0ad19584-252e-11ec-832a-1e003a340631,81147004,81147004,Fear about sex,Fear about sex,worrisome,,,,,,,,,,,
0ad19746-252e-11ec-832a-1e003a340631,,81147004,Fear about sex,Fear about sex <since> Always,worrisome,,,duration_since,Always,s,,,,,,
0ad198ae-252e-11ec-832a-1e003a340631,,81147004,Fear about sex,Fear about sex <since> Recently,worrisome,,,duration_since,Recently,s,,,,,,
0ad19a52-252e-11ec-832a-1e003a340631,58436003,58436003,Increased libido,Increased libido,worrisome,,,,,,,,,,,
0ad1a15a-252e-11ec-832a-1e003a340631,50818007,50818007,Painful Ejaculation,Painful Ejaculation,worrisome,,,,,,,,,,,
0ad1a66e-252e-11ec-832a-1e003a340631,249344003,249344003,Awareness of nasal cycle,Awareness of nasal cycle,opd_managed,,,,,,,,,,,
0ad1a876-252e-11ec-832a-1e003a340631,75803007,75803007,Postnasal drip,Postnasal drip,opd_managed,,,,,,,,,,,
0ad1b294-252e-11ec-832a-1e003a340631,110290008,110290008,Mouth breathing with nasal obstruction,Mouth breathing with nasal obstruction,opd_managed,,,,,,,,,,,
0ad1ba64-252e-11ec-832a-1e003a340631,7571003,7571003,Sense of guilt,Sense of guilt,worrisome,,,,,,,,,,,
0ad1bc12-252e-11ec-832a-1e003a340631,,7571003,Sense of guilt,Sense of guilt <since> Less than 2 weeks,worrisome,,,duration_since,Less than 2 weeks,s,,,,,,
0ad1bd66-252e-11ec-832a-1e003a340631,,7571003,Sense of guilt,Sense of guilt <since> 2 weeks to 4 weeks,worrisome,,,duration_since,2 weeks to 4 weeks,s,,,,,,
0ad1c9b4-252e-11ec-832a-1e003a340631,,7571003,Sense of guilt,Sense of guilt <since> More than 1 month,worrisome,,,duration_since,More than 1 month,s,,,,,,
0ad1cc20-252e-11ec-832a-1e003a340631,66255005,66255005,Poor erection,Poor erection,worrisome,,,,,,,,,,,
0ad1cd88-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <char> Delay in erection,worrisome,,,characteristic,Delay in erection,m,,,,,,
0ad1cf22-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <char> Morning erections absent,worrisome,,,characteristic,Morning erections absent,m,,,,,,
0ad1e016-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <char> Erection absent on masturbation,worrisome,,,characteristic,Erection absent on masturbation,m,,,,,,
0ad1e246-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <since> Less than 2 weeks,worrisome,,,duration_since,Less than 2 weeks,s,,,,,,
0ad1e9a8-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <since> 2 weeks to 4 weeks,worrisome,,,duration_since,2 weeks to 4 weeks,s,,,,,,
0ad1ec32-252e-11ec-832a-1e003a340631,,66255005,Poor erection,Poor erection <since> More than 1 month,worrisome,,,duration_since,More than 1 month,s,,,,,,
0ad1edb8-252e-11ec-832a-1e003a340631,248795006,248795006,Problem achieving orgasm,Problem achieving orgasm,worrisome,,,,,,,,,,,
0ad3258a-35de-4415-b873-27693df52178,,198436008,Hot flushes,Hot flushes <since> 1 week to 4 weeks,opd_managed,,,duration_since,1 week to 4 weeks,s,,,,,,
0ae75851-f9ae-402c-a12e-7d1f7e8f475e,,102556003,Pain in upper limb,Pain in upper limb <agg by> writing,opd_managed,,,aggravated,writing,m,,,,,,
0b149a94-db82-4e5e-99fc-c9f929792278,,297957009,Tightening of skin,Tightening of skin <loc> Localised,opd_managed,,,location,Localised,s,,,,,,
0b3c2c8b-0949-4cf9-a4a2-34fbe9629a90,387603000,387603000,Imbalance,Imbalance,emergency,,,,,,,,,,,
0b7f65fe-67f8-4f66-998a-78441deac8ae,,823996003,Blister of skin,Blister of skin <loc> Fingers,opd_managed,,,location,Fingers,m,,,,,,
0b9aa5d4-a99b-443b-a2b7-6958deeb4c73,,60862001,Tinnitus,Tinnitus <char> non pulsatile,opd_managed,,,characteristic,non pulsatile,m,,,,,,
0bb4da58-9c36-45e2-9194-47649eb2d4b7,,34319007,Induration of skin,Induration of skin <char> Painful,opd_managed,,,characteristic,Painful,m,,,,,,
0bcf814b-28e3-45bc-821b-ade8e9efb35e,,1071000119107,Oral lesions,Oral lesions <since> More than 1 month,opd_managed,,,duration_since,More than 1 month,s,,,,,,
0bd1b506-2423-453f-8cb8-3fe7702ab127,,80474004,Loss of vibration sense,Loss of vibration sense <laterality> both,worrisome,,,laterality,both,s,,,,,,
0bffbb88-9584-4fa3-865d-5952cc1dfae1,,286933003,Delirium,Delirium <char> not oriented to place,emergency,,,characteristic,not oriented to place,m,,,,,,
0c16b533-e0d1-47fa-a861-5245be2fdf84,247470007,247470007,Morbilliform rash,Morbilliform rash,opd_managed,,,,,,,,,,,
0c2fe641-cb8e-4702-8d40-7b49f5b83dfb,,289524006,Vaginal swelling,Vaginal swelling <laterality> Bilateral,worrisome,,,laterality,Bilateral,s,,,,,,
0c54182a-e18a-47b7-a17d-b96feb802394,,267042006,Prominent veins,Prominent veins <loc> Lower limb <char> painless,opd_managed,,,location,Lower limb,m,characteristic,painless,,,,
0c56241b-9e1b-47f6-9dd8-88230abc9241,,288939007,Difficulty swallowing,Difficulty swallowing <char> swallowing own saliva,emergency,,,characteristic,swallowing own saliva,m,,,,,,
0cc789cc-40c6-420a-b4d0-f69bdd681dc4,,299033004,Deformity of hand,Deformity of hand <loc> wrist,worrisome,,,location,wrist,m,,,,,,
0d303c4d-4ccd-4de2-81d0-7657dcb6cab0,,95668009,Pain in face,Pain in face <pattern> Occured more than once in the last 3 months,worrisome,,,temporal_pattern,Occured more than once in the last 3 months,s,,,,,,
0dccc960-f28f-4b55-9f0b-92e2b094a8d1,,300278002,Abnormal tonsils,Abnormal tonsils <char> White spots on tonsils,worrisome,,,characteristic,White spots on tonsils,m,,,,,,
0df7bca1-8387-4d79-ab04-0a1da909781c,,288939007,Difficulty swallowing,Difficulty swallowing <char> swallowing solids,worrisome,,,characteristic,swallowing solids,m,,,,,,
0e503b43-315a-4a58-981f-0dee96f53f6a,,249968003,Unpleasant urge to move legs,Unpleasant urge to move legs <agg by> in the evening,worrisome,,,aggravated,in the evening,m,,,,,,
0e62ddd6-0ee2-425a-a3ae-d06ad25b3d46,90129003,90129003,Cough Syncope,Cough Syncope,worrisome,,,,,,,,,,,
0e728587-77c0-44df-9591-4e0a1594808a,29966009,29966009,Hypertrichosis,Hypertrichosis,opd_managed,,,,,,,,,,,
0e8274e0-22a2-45fb-a7dc-a48c0e99cf8f,,102556003,Pain in upper limb,Pain in upper limb <char> swelling present,worrisome,,,characteristic,swelling present,m,,,,,,
0ed4f5fb-9a34-43c8-8dd2-f9d0708b6b52,,105597003,Vision loss,Vision loss <onset> sudden onset,emergency,,,onset,sudden onset,s,,,,,,
101a15ef-34d8-41cc-8fa3-9f24dd5255bd,65377004,65377004,Excessive breastfeeding,Excessive breastfeeding,opd_managed,,,,,,,,,,,
10485152-172c-4405-b15f-a7b6070041d8,,95324001,Skin lesion,Skin lesion <loc> Nose,opd_managed,,,location,Nose,m,,,,,,
10a92d15-ec49-4d37-aadf-4ac146152c48,,84229001,Fatigue,Fatigue <since> More than 3 months,worrisome,,,duration_since,More than 3 months,s,,,,,,
10cfe36f-241a-41f3-aa72-30fe5d5a6992,234168001,234168001,Micturition syncope,Micturition syncope,worrisome,,,,,,,,,,,
1142a187-c06d-4398-95a6-8587ea7cc1d8,,275887009,Scaly scalp,Scaly scalp <severity> mild,opd_managed,,,severity,mild,s,,,,,,
114de3bb-9e14-4b8c-87e2-f35c7555a28a,,279039007,Low back pain,Low back pain <char> tenderness,worrisome,,,characteristic,tenderness,m,,,,,,
11649ddc-ea04-4982-b049-6a820a13a9c6,,271870002,Low blood pressure,Low blood pressure <since> 3 days to 7 days,opd_managed,,,duration_since,3 days to 7 days,s,,,,,,
1178099c-a5e4-4598-a307-048a87539184,,95324001,Skin lesion,Skin lesion <loc> Shin,opd_managed,,,location,Shin,m,,,,,,
1181dac8-cbcc-4ba7-882a-e0ee4ac8a88c,247549004,247549004,Hair breaking,Hair breaking,opd_managed,,,,,,,,,,,
11eeba0e-bb2f-11eb-b46a-1e003a340631,249403003,249403003,White patches on oral mucosa,White patches on oral mucosa,opd_managed,,,,,,,,,,,
1204cd2d-5ca5-42e9-80ad-a4ed4f8467bf,,24982008,Double vision,Double vision <laterality> right,worrisome,,,laterality,right,s,,,,,,
132983db-50d4-48b8-bebc-c60ff34bd444,,1071000119107,Oral lesions,Oral lesions <since> 1 week to 4 weeks,opd_managed,,,duration_since,1 week to 4 weeks,s,,,,,,
134e2fab-516e-468c-a68c-fe2d1b6226d7,444659003,444659003,Blister of foot,Blister of foot,opd_managed,,,,,,,,,,,
139273ed-a3c5-48d2-b810-bb3a9121d76f,,271084006,Deformity of bone,Deformity of bone <loc> Neck,worrisome,,,location,Neck,m,,,,,,
1399f8fd-2cb9-40ba-986f-4e9067438d30,299460002,299460002,Large feet,Large feet,worrisome,,,,,,,,,,,
13ecada3-bb74-4c8a-9c32-8afead8fbb8c,,95319004,Skin nodule,Skin nodule <pattern> single episode,opd_managed,,,temporal_pattern,single episode,s,,,,,,
13f1521a-994c-4f2b-83cd-780c17b08d2d,,789493002,Pimples,Pimples <loc> Back,opd_managed,,,location,Back,m,,,,,,
140cde14-4c11-4fc5-b7a4-82ef528d9b95,,271807003,Skin rash,Skin rash <char> Central clearing,opd_managed,,,characteristic,Central clearing,m,,,,,,
14367451-c645-447c-9dc2-148eb1b55794,,289524006,Vaginal swelling,Vaginal swelling <loc> diffuse,worrisome,,,location,diffuse,s,,,,,,
143b7762-e5b4-4e63-8beb-3520fd8832c9,,60862001,Tinnitus,Tinnitus <char> pulsatile,opd_managed,,,characteristic,pulsatile,m,,,,,,
146f9f1f-6e34-4af7-8598-ac324ad41085,33590004,33590004,Bonding problem with infant,Bonding problem with infant,worrisome,,,,,,,,,,,
1488f56c-1fa3-4fb8-b893-2a9b7298ddf1,,762397008,Burning sensation of skin,Burning sensation of skin <loc> soles,worrisome,,,location,soles,m,,,,,,
14b926e0-5526-4a8b-9c4d-7a6239a404ed,,95324001,Skin lesion,Skin lesion <char> Brown in color,opd_managed,,,characteristic,Brown in color,m,,,,,,
15541f34-b4f3-4d14-a46f-ae73e771cf16,,238409008,Infection of toe web,Infection of toe web <char> painful,opd_managed,,,characteristic,painful,m,,,,,,
1587966b-09df-4a78-8542-226d19621540,,827160004,Erythematous rash,Erythematous rash <agg by> during rainy or cold weather,opd_managed,,,aggravated,during rainy or cold weather,m,,,,,,
1595b9f2-a286-4a60-891c-6c50e5a21591,,57676002,Joint pain,Joint pain <char> Raised temperature of the affected site,opd_managed,,,characteristic,Raised temperature of the affected site,m,,,,,,
1611e869-e4a9-4963-a33c-5d679c26f546,,271807003,Skin rash,Skin rash <loc> Localised <loc> Lower limb <loc> In between toes,opd_managed,,,location,Localised,m,location,Lower limb,,location,In between toes,
166688ab-e9e3-4f26-9347-f27067b8a7b2,,271807003,Skin rash,Skin rash <char> Serpiginous,worrisome,,,characteristic,Serpiginous,m,,,,,,
16c93da6-9739-4892-99f4-e7f32c1229ca,,20262006,Ataxia,Ataxia <agg by> On closing eyes,worrisome,,,aggravated,On closing eyes,m,,,,,,
1712691a-bd04-435d-ad77-6f04e50d7a32,,229844004,Deformity of foot,Deformity of foot <char> difficulty in plantar flexion,opd_managed,,,characteristic,difficulty in plantar flexion,m,,,,,,
1719f127-af0f-4b74-9364-f163a360cc45,,95324001,Skin lesion,Skin lesion <loc> Chest,opd_managed,,,location,Chest,m,,,,,,
177484a1-da6e-402c-b2f7-c872137afaf2,,446512000,Abnormal discharge from the neck,Abnormal discharge from the neck <char> Pus filled,worrisome,,,characteristic,Pus filled,m,,,,,,
