dataset,slice,case_id,gold,layer,layer_aphhm,e7_locus,e7_correct,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_s2_n,e7_s3_n,e7_champion,v0_locus,v0_correct,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_s2_n,v0_s3_n,v0_champion,B06_correct,B06_locus,B06_agents_hit,B06_supervisor_hit,B06_gold_first_discussion_turn,B06_discussion_turns,B06_votes,B07_correct,B07_locus,B07_draft_hit,B07_refine_hit,B07_diagnose_hit,B07_has_refine,B07_recovered_after_refine_drop,B07_draft,B07_diagnose,B01_correct,B01_locus,B01_rag_hit,B01_gen_hit,B01_n_queries,B01_n_chunks,APHHM_locus,APHHM_correct,APHHM_tree_recall,APHHM_final_recall,APHHM_tree_n,APHHM_final_n,APHHM_gold_leaf,APHHM_gold_parent,APHHM_human_at1
mcr,mcr_v1,13,Compound odontoma,,,ok,1,True,True,True,42,5,Compound odontoma,ok,1,True,True,True,16,5,Compound odontoma,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Odontoma"", ""Dens in dente""]","[""Odontoma"", ""Dens in dente""]",0,gen_hit_judge_miss,False,True,4,12,final_ok,1,True,True,22,2,Odontoma,Odontogenic Tumors,True
mcr,mcr_v1,15,leiomyomatous hamartoma,,,s2_miss,0,False,False,False,41,5,Lingual Thyroglossal Duct Cyst,s3_hit_s4_miss,0,True,True,False,17,5,Congenital granular cell epulis,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Congenital Granular Cell Tumor"", ""Benign Fatty Tumor (Lipoma)""]","[""Congenital Granular Cell Tumor"", ""Benign Fatty Tumor (Lipoma)""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,0,True,False,26,2,Hamartoma,Congenital Anomalies of the Tongue,False
mcr,mcr_v1,16,LocalizedUrethralAmyloidosis,,,s2_miss,1,False,False,False,50,5,Localized amyloidosis of the urethra,s3_hit_s4_miss,0,True,True,False,18,5,Urethral stricture,0,supervisor_hit_judge_miss,True,True,,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Primary Amyloidosis of the Urethra"", ""Urethral Stricture""]","[""Primary Amyloidosis of the Urethra"", ""Urethral Stricture""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,1,True,False,21,2,Amyloidosis,Urethral Stricture or Obstruction,False
mcr,mcr_v1,17,immune-related pneumonitis,,,s2_miss,1,False,False,False,55,5,Immune checkpoint inhibitor-induced pneumonitis,s2_miss,1,False,False,False,20,5,Immune checkpoint inhibitor-induced pneumonitis,1,supervisor_miss_but_scored_ok,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Steroid-refractory ICI-induced pneumonitis"", ""Infection or other inflammatory condition""]","[""Steroid-refractory ICI-induced pneumonitis"", ""Infection or other inflammatory condition""]",1,rag_hit_gen_miss,True,False,4,12,tree_miss,1,False,False,55,4,,,False
mcr,mcr_v1,18,Schwannoma,,,s2_miss,0,False,False,False,51,5,Cardiac tamponade,s2_miss,0,False,False,False,18,5,Cardiac Sarcoma,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Cardiac Tumor (possibly a cystic mass above the left atrium)"", ""Myocardial Infarction (MI) with possible cardiogenic shock""]","[""Cardiac Tumor (possibly a cystic mass above the left atrium)"", ""Myocardial Infarction (MI) with possible cardiogenic shock""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,64,5,,,False
mcr,mcr_v1,19,Leiomyosarcoma,all_miss_but_recalled,aphhm_win,s3_hit_s4_miss,0,True,True,False,44,5,Sarcomatoid meningioma,s3_hit_s4_miss,0,True,True,False,18,5,Hemangiopericytoma,0,supervisor_hit_judge_miss,True,True,,3,3,0,draft_miss,False,False,False,True,False,"[""Solitary Fibrous Tumor/Hemangiopericytoma"", ""Meningeal Sarcoma""]","[""Solitary Fibrous Tumor/Hemangiopericytoma"", ""Meningeal Sarcoma""]",0,rag_miss,False,False,4,12,final_ok,1,True,True,32,3,Sarcoma,Meningeal Neoplasm,True
mcr,mcr_v1,20,Type 4 renal tubular acidosis,all_miss_but_recalled,,s2_miss,0,False,False,False,52,5,Systemic Lupus Erythematosus,s2_miss,0,False,False,False,19,5,Systemic Lupus Erythematosus,0,agents_miss,False,False,,3,3,0,diagnose_hit_judge_miss,True,False,True,True,True,"[""Systemic Lupus Erythematosus (SLE)"", ""Renal Tubular Acidosis""]","[""Systemic Lupus Erythematosus (SLE)"", ""Renal Tubular Acidosis""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,0,False,False,30,1,,,False
mcr,mcr_v1,21,Fibrous dysplasia,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,51,5,Sphenoid wing meningioma,s3_hit_s4_miss,0,True,True,False,19,5,Orbital meningioma,0,supervisor_hit_judge_miss,True,True,0,3,3,0,draft_miss,False,False,False,True,False,"[""Orbital Meningioma"", ""Orbital Metastasis""]","[""Orbital Meningioma"", ""Orbital Metastasis""]",1,gen_ok,False,True,4,12,final_hit_judge_miss,0,True,True,42,4,Fibrous Dysplasia,Neoplastic Disorder of the Orbit,False
mcr,mcr_v1,22,adenomatoid tumor,,,ok,1,True,True,True,43,5,Adenomatoid tumor,ok,1,True,True,True,16,5,Adenomatoid tumor,1,supervisor_ok,True,True,0,3,3,0,diagnose_hit_judge_miss,True,False,True,True,True,"[""Epididymal cyst or spermatocele"", ""Adenomatoid tumor of the epididymis""]","[""Epididymal cyst or spermatocele"", ""Adenomatoid tumor of the epididymis""]",0,rag_hit_gen_miss,True,False,4,12,final_ok,1,True,True,27,2,Adenomatoid Tumor,Benign Epididymal Tumors,True
mcr,mcr_v1,23,AdenoidCysticCarcinoma,,,s2_miss,0,False,False,False,47,5,Chondroid syringoma,s2_miss,0,False,False,False,17,5,Chondroid syringoma,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Chondroid Syringoma"", ""Clear Cell Hidradenoma""]","[""Chondroid Syringoma"", ""Clear Cell Hidradenoma""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,20,1,,,False
mcr,mcr_v1,24,Superior mesenteric artery syndrome,,,ok,1,True,True,True,50,5,Superior Mesenteric Artery Syndrome,ok,1,True,True,True,16,5,Superior mesenteric artery syndrome,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Superior Mesenteric Artery Syndrome"", ""Gastric Distension due to other causes""]","[""Superior Mesenteric Artery Syndrome"", ""Gastric Distension due to other causes""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,26,2,Superior Mesenteric Artery Syndrome,Mechanical Intestinal Obstruction,True
mcr,mcr_v1,26,Self-limited epilepsy with autonomic seizures,,,s2_miss,0,False,False,False,51,5,Migraine with abdominal aura,s2_miss,0,False,False,False,19,5,Migraine with abdominal aura,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Migraine"", ""Cyclic Vomiting Syndrome""]","[""Migraine"", ""Cyclic Vomiting Syndrome""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,21,2,,,False
mcr,mcr_v1,27,Massive ovarian edema,,,s2_miss,0,False,False,False,49,5,Ovarian cystadenocarcinoma,s2_miss,0,False,False,False,20,5,Ovarian fibroma,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Ovarian Neoplasm"", ""Lymphatic Obstruction due to Adnexal Mass""]","[""Ovarian Neoplasm"", ""Lymphatic Obstruction due to Adnexal Mass""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,0,False,False,28,3,,,False
mcr,mcr_v1,28,Toxic epidermal necrolysis,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,52,5,DRESS syndrome,s3_hit_s4_miss,0,True,True,False,17,5,DRESS syndrome,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Stevens-Johnson Syndrome"", ""Drug-Induced Liver Injury""]","[""Stevens-Johnson Syndrome"", ""Drug-Induced Liver Injury""]",0,rag_miss,False,False,4,12,final_hit_judge_miss,0,True,True,29,5,Toxic epidermal necrolysis,Immune-mediated Bullous Disease,False
mcr,mcr_v1,29,cerebral venous thrombosis,,,s2_miss,0,False,False,False,45,5,Creutzfeldt-Jakob disease,s2_miss,0,False,False,False,17,5,Creutzfeldt-Jakob disease,0,agents_miss,False,False,,3,1,0,draft_miss,False,False,False,True,False,"[""Frontotemporal dementia"", ""Primary progressive aphasia""]","[""Frontotemporal dementia"", ""Primary progressive aphasia""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,29,4,,,False
mcr,mcr_v1,30,Cronkhite-Canada syndrome,,,s2_miss,0,False,False,False,49,5,Juvenile polyposis syndrome,s2_miss,0,False,False,False,17,5,Juvenile polyposis syndrome,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Peutz-Jeghers Syndrome"", ""Juvenile Polyposis Syndrome""]","[""Peutz-Jeghers Syndrome"", ""Juvenile Polyposis Syndrome""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,21,4,,,False
mcr,mcr_v1,33,Dyke-Davidoff-Masson syndrome,e7_win_recall,,ok,1,True,True,True,52,5,Dyke-Davidoff-Masson syndrome,ok,1,True,True,True,18,5,Dyke-Davidoff-Masson syndrome,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Rasmussen's Encephalitis"", ""Sturge-Weber Syndrome""]","[""Rasmussen's Encephalitis"", ""Sturge-Weber Syndrome""]",0,rag_miss,False,False,4,12,final_ok,1,True,True,33,5,Dyke-Davidoff-Masson syndrome,Congenital Malformation,True
mcr,mcr_v1,34,Tonsillolith,,,ok,1,True,True,True,48,5,Tonsillolithiasis,ok,1,True,True,True,17,5,Tonsillolithiasis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Tonsillolith (Tonsil Stone)"", ""Calcified Tonsillar Lesion""]","[""Tonsillolith (Tonsil Stone)"", ""Calcified Tonsillar Lesion""]",1,gen_ok,False,True,4,12,final_ok,1,True,True,23,1,Tonsillolith,Benign Calcified Lesion,True
mcr,mcr_v1,35,Petersen’s hernia,,aphhm_win,s2_miss,0,False,False,False,47,5,Internal Hernia,s2_miss,0,False,False,False,16,5,Internal hernia,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Internal Herniation"", ""Adhesive Bowel Obstruction""]","[""Internal Herniation"", ""Adhesive Bowel Obstruction""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,1,False,False,29,1,,,False
mcr,mcr_v1,38,trigeminal schwannoma,e7_win_rank,aphhm_lose,ok,1,True,True,True,49,5,Trigeminal schwannoma,ok,1,True,True,True,18,5,Trigeminal schwannoma,0,supervisor_hit_judge_miss,True,True,0,3,3,0,draft_miss,False,False,False,True,False,"[""Chordoma"", ""Chondrosarcoma""]","[""Chordoma"", ""Chondrosarcoma""]",0,gen_hit_judge_miss,False,True,4,12,tree_hit_final_drop,0,True,False,34,5,Schwannoma,Vascular Lesions,False
mcr,mcr_v1,39,mesalazine-induced myocarditis,,,ok,1,True,True,True,47,5,Myocarditis,ok,1,True,True,True,17,5,Myocarditis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Myocarditis"", ""Myopericarditis""]","[""Myocarditis"", ""Myopericarditis""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,43,1,Myocarditis,Inflammatory Cardiomyopathy,True
mcr,mcr_v1,40,hepatocellular carcinoma,e7_win_rank,aphhm_lose,ok,1,True,True,True,45,5,Hepatocellular carcinoma metastasis,ok,1,True,True,True,16,5,Hepatocellular carcinoma metastasis,0,supervisor_hit_judge_miss,True,True,0,3,3,0,diagnose_hit_judge_miss,True,False,True,True,True,"[""Extrahepatic metastasis of hepatocellular carcinoma (HCC)"", ""Primary soft tissue sarcoma""]","[""Extrahepatic metastasis of hepatocellular carcinoma (HCC)"", ""Primary soft tissue sarcoma""]",0,gen_hit_judge_miss,True,True,4,12,final_hit_judge_miss,0,True,True,20,2,Hepatocellular Carcinoma with Extrahepatic Metastasis,Metastatic Malignancy,True
mcr,mcr_v1,41,Gastric lipoma,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,42,5,Gastrointestinal stromal tumor,s3_hit_s4_miss,0,True,True,False,15,5,Leiomyoma,0,agents_hit_supervisor_drop,True,False,0,3,3,0,diagnose_hit_judge_miss,True,False,True,True,True,"[""Gastrointestinal Stromal Tumor (GIST)"", ""Lipoma""]","[""Gastrointestinal Stromal Tumor (GIST)"", ""Lipoma""]",1,gen_ok,True,True,4,12,final_hit_judge_miss,0,True,True,17,3,Gastric Lipoma,Gastric Lipomatous Lesions,False
mcr,mcr_v1,42,Keratocystic odontogenic tumour,,,s2_miss,0,False,False,False,51,5,Buccal space abscess,s2_miss,0,False,False,False,23,5,Dermoid cyst,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Benign tumor (e.g. pleomorphic adenoma)"", ""Epidermoid cyst or other specific type of cyst (e.g. Stafne bone cavity, buccal bifurcation cyst)""]","[""Benign tumor (e.g. pleomorphic adenoma)"", ""Epidermoid cyst or other specific type of cyst (e.g. Stafne bone cavity, buccal bifurcation cyst)""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,58,4,,,False
mcr,mcr_v1,43,IgA nephropathy,,,s2_miss,0,False,False,False,56,5,Tuberculosis,s2_miss,0,False,False,False,19,5,Tuberculosis,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Extrapulmonary Tuberculosis"", ""Spinal Tuberculosis with Renal Involvement""]","[""Extrapulmonary Tuberculosis"", ""Spinal Tuberculosis with Renal Involvement""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,39,1,,,False
mcr,mcr_v1,44,Pyoderma gangrenosum,,,s2_miss,0,False,False,False,52,5,Pacemaker pocket infection,s2_miss,0,False,False,False,16,5,Pacemaker pocket infection,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Pacemaker pocket infection"", ""Device-related infection""]","[""Pacemaker pocket infection"", ""Device-related infection""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,0,True,False,23,4,Pyoderma gangrenosum,Postoperative Wound Infection,False
mcr,mcr_v1,45,granuloma annulare,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,43,5,Necrobiotic xanthogranuloma,s2_miss,0,False,False,False,15,5,IgG4-related disease,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""IgG4-related disease"", ""Orbital pseudotumor (idiopathic orbital inflammatory disease)""]","[""IgG4-related disease"", ""Orbital pseudotumor (idiopathic orbital inflammatory disease)""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,0,False,False,22,3,,,False
mcr,mcr_v1,46,Sarcoidosis,,,ok,1,True,True,True,52,5,Sarcoidosis,ok,1,True,True,True,18,5,Sarcoidosis,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Sarcoidosis"", ""Crohn's Disease""]","[""Sarcoidosis"", ""Crohn's Disease""]",1,gen_ok,False,True,4,12,final_ok,1,True,True,22,1,Sarcoidosis,Multisystem Granulomatous Disease,True
mcr,mcr_v1,47,Metastatic melanoma of unknown primary,,,s2_miss,0,False,False,False,42,5,Metastatic melanoma to the liver,s2_miss,0,False,False,False,16,5,Metastatic melanoma to the liver,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Metastatic Melanoma to the Liver"", ""Primary Liver Cancer""]","[""Metastatic Melanoma to the Liver"", ""Primary Liver Cancer""]",1,gen_ok,True,True,4,12,tree_miss,0,False,False,21,2,,,False
mcr,mcr_v1,48,xanthogranulomatous osteomyelitis,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,45,5,Brodie's abscess,s2_miss,0,False,False,False,17,5,Brodie’s abscess,0,supervisor_hit_judge_miss,True,True,0,3,3,0,draft_miss,False,False,False,True,False,"[""Brodie's abscess"", ""Chronic osteomyelitis""]","[""Brodie's abscess"", ""Chronic osteomyelitis""]",0,gen_hit_judge_miss,False,True,4,12,final_hit_judge_miss,0,True,True,23,2,Osteomyelitis,Infectious Bone Lesion,False
mcr,mcr_v1,49,StumpAppendicitis,,,s2_hit_s3_drop,1,True,False,False,44,5,Appendiceal stump appendicitis,s2_hit_s3_drop,1,True,False,False,19,5,Appendiceal stump appendicitis,1,supervisor_miss_but_scored_ok,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Appendiceal Abscess"", ""Post-Appendectomy Complications""]","[""Appendiceal Abscess"", ""Post-Appendectomy Complications""]",0,gen_hit_judge_miss,False,True,4,12,tree_hit_final_drop,1,True,False,21,2,Appendicitis,Inflammatory Bowel Disease,False
mcr,mcr_v1,50,Gastrointestinal clear cell sarcoma,all_miss_but_recalled,,s4_hit_judge_miss,0,True,True,True,48,5,Clear cell sarcoma,s4_hit_judge_miss,0,True,True,True,18,5,Clear cell sarcoma,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Malignant Peripheral Nerve Sheath Tumor (MPNST)"", ""Gastrointestinal Stromal Tumor (GIST)""]","[""Malignant Peripheral Nerve Sheath Tumor (MPNST)"", ""Gastrointestinal Stromal Tumor (GIST)""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,0,False,False,17,2,,,False
mcr,mcr_v1,52,Livedoid vasculopathy,,,ok,1,True,True,True,52,5,Livedoid vasculopathy,ok,1,True,True,True,17,5,Livedoid vasculopathy,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Livedoid vasculopathy"", ""Antiphospholipid syndrome""]","[""Livedoid vasculopathy"", ""Antiphospholipid syndrome""]",1,gen_ok,False,True,4,12,final_ok,1,True,True,37,3,Livedoid vasculopathy,Vasculitis and Vasculopathy,True
mcr,mcr_v1,53,hemangioma,all_miss_but_recalled,,s2_hit_s3_drop,0,True,False,False,42,5,Left ventricular myxoma,s2_hit_s3_drop,0,True,False,False,16,5,Left ventricular myxoma,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Cardiac Myxoma"", ""Fibroelastoma""]","[""Cardiac Myxoma"", ""Fibroelastoma""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,0,True,False,34,1,Hemangioma,Benign Cardiac Tumors,False
mcr,mcr_v1,54,Trigeminal neuralgia,,,ok,1,True,True,True,47,5,Trigeminal Neuralgia,ok,1,True,True,True,17,5,Trigeminal Neuralgia,1,supervisor_ok,True,True,0,3,3,1,diagnose_ok,True,False,True,True,True,"[""Trigeminal Neuralgia"", ""Post-COVID-19 Vaccine Facial Pain""]","[""Trigeminal Neuralgia"", ""Post-COVID-19 Vaccine Facial Pain""]",1,gen_ok,True,True,4,12,final_ok,1,True,True,21,1,Trigeminal Neuralgia,Trigeminal Nerve Disorders,True
mcr,mcr_v1,55,Post-transplant lymphoproliferative disorder,,,s2_miss,0,False,False,False,49,5,Urinary tract infection,s2_miss,0,False,False,False,17,5,Urinary tract infection,0,agents_hit_supervisor_drop,True,False,0,3,3,0,draft_miss,False,False,False,True,False,"[""Urinary Tract Infection (UTI)"", ""Bladder Neoplasm""]","[""Urinary Tract Infection (UTI)"", ""Bladder Neoplasm""]",0,rag_miss,False,False,4,12,tree_miss,0,False,False,23,3,,,False
mcr,mcr_v1,56,Spindle cell squamous cell carcinoma,,,s2_miss,0,False,False,False,44,5,Sarcomatoid squamous cell carcinoma,s2_miss,0,False,False,False,20,5,Sarcomatoid squamous cell carcinoma,0,agents_hit_supervisor_drop,True,False,0,3,3,1,diagnose_miss_but_scored_ok,False,False,False,True,False,"[""Sarcomatoid Squamous Cell Carcinoma"", ""Spindle Cell Carcinoma""]","[""Sarcomatoid Squamous Cell Carcinoma"", ""Spindle Cell Carcinoma""]",0,rag_hit_gen_miss,True,False,4,12,tree_hit_final_drop,1,True,False,25,3,Squamous Cell Carcinoma,Malignant Neoplasm with Spindle Cell Morphology,False
mcr,mcr_v1,58,Mixed sex cord-stromal tumor,,,s2_miss,0,False,False,False,46,5,Leydig cell tumor,s2_miss,0,False,False,False,16,5,Leydig cell tumor,0,agents_hit_supervisor_drop,True,False,1,3,3,0,draft_miss,False,False,False,True,False,"[""Testicular Cancer"", ""Testicular Tumor (possibly sex cord-stromal or lymphoma)""]","[""Testicular Cancer"", ""Testicular Tumor (possibly sex cord-stromal or lymphoma)""]",0,rag_hit_gen_miss,True,False,4,12,tree_miss,0,False,False,49,2,,,False
mcr,mcr_v1,60,Polymyalgia rheumatica,all_miss_but_recalled,,s3_hit_s4_miss,0,True,True,False,55,5,Idiopathic inflammatory psoas muscle disease,s3_hit_s4_miss,0,True,True,False,20,5,Pyomyositis,0,agents_miss,False,False,,3,3,0,draft_miss,False,False,False,True,False,"[""Iliopsoas abscess or iliopsoas tendinitis"", ""Insertional tendinopathy of the iliopsoas tendon""]","[""Iliopsoas abscess or iliopsoas tendinitis"", ""Insertional tendinopathy of the iliopsoas tendon""]",0,rag_miss,False,False,4,12,tree_hit_final_drop,0,True,False,26,4,Polymyalgia Rheumatica,Inflammatory Muscle Disease,False
