arm,replicate,case_id,schema_valid,top1,top2,mrr2,rank,error_attribution,knowledge_bundle_hash
N0-CoT-vignette-free,3,mxh075,True,False,False,0.0,,free_text_miss,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N1-CoT-branch-only-hierarchy,1,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N1-CoT-branch-only-hierarchy,1,mb34_leukemoid,True,False,True,0.5,2,between_group_final_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,1,mb55_glucagonoma,True,False,True,0.5,2,between_group_final_miss,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N1-CoT-branch-only-hierarchy,1,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,1,mb65_cml,True,False,False,0.0,,l1_top2_gate_elimination,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,1,mb66_peliosis,True,False,False,0.0,,l1_top2_gate_elimination,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N1-CoT-branch-only-hierarchy,1,mb77_hyperpara,True,True,True,1.0,1,success,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N1-CoT-branch-only-hierarchy,1,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N1-CoT-branch-only-hierarchy,1,mb83_foreignbody,True,False,True,0.5,2,between_group_final_miss,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N1-CoT-branch-only-hierarchy,1,mxh011,False,False,False,0.0,,schema_failure,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N1-CoT-branch-only-hierarchy,1,mxh014,False,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N1-CoT-branch-only-hierarchy,1,mxh036,True,False,False,0.0,,between_group_final_miss,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N1-CoT-branch-only-hierarchy,1,mxh045,True,False,False,0.0,,between_group_final_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N1-CoT-branch-only-hierarchy,1,mxh046,False,False,False,0.0,,schema_failure,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N1-CoT-branch-only-hierarchy,1,mxh055,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,1,mxh068,True,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N1-CoT-branch-only-hierarchy,1,mxh075,True,False,False,0.0,,between_group_final_miss,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N1-CoT-branch-only-hierarchy,2,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N1-CoT-branch-only-hierarchy,2,mb34_leukemoid,True,False,True,0.5,2,between_group_final_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,2,mb55_glucagonoma,True,True,True,1.0,1,success,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N1-CoT-branch-only-hierarchy,2,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,2,mb65_cml,True,False,False,0.0,,l1_top2_gate_elimination,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,2,mb66_peliosis,True,False,False,0.0,,l1_top2_gate_elimination,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N1-CoT-branch-only-hierarchy,2,mb77_hyperpara,False,False,False,0.0,,schema_failure,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N1-CoT-branch-only-hierarchy,2,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N1-CoT-branch-only-hierarchy,2,mb83_foreignbody,True,False,True,0.5,2,between_group_final_miss,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N1-CoT-branch-only-hierarchy,2,mxh011,True,True,True,1.0,1,success,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N1-CoT-branch-only-hierarchy,2,mxh014,True,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N1-CoT-branch-only-hierarchy,2,mxh036,True,False,False,0.0,,between_group_final_miss,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N1-CoT-branch-only-hierarchy,2,mxh045,True,False,False,0.0,,between_group_final_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N1-CoT-branch-only-hierarchy,2,mxh046,False,False,False,0.0,,schema_failure,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N1-CoT-branch-only-hierarchy,2,mxh055,True,False,True,0.5,2,between_group_final_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,2,mxh068,True,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N1-CoT-branch-only-hierarchy,2,mxh075,True,False,False,0.0,,within_group_top2_elimination,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N1-CoT-branch-only-hierarchy,3,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N1-CoT-branch-only-hierarchy,3,mb34_leukemoid,True,False,True,0.5,2,between_group_final_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,3,mb55_glucagonoma,True,False,True,0.5,2,between_group_final_miss,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N1-CoT-branch-only-hierarchy,3,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,3,mb65_cml,True,False,False,0.0,,l1_top2_gate_elimination,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,3,mb66_peliosis,True,False,False,0.0,,l1_top2_gate_elimination,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N1-CoT-branch-only-hierarchy,3,mb77_hyperpara,False,False,False,0.0,,schema_failure,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N1-CoT-branch-only-hierarchy,3,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N1-CoT-branch-only-hierarchy,3,mb83_foreignbody,True,False,True,0.5,2,between_group_final_miss,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N1-CoT-branch-only-hierarchy,3,mxh011,True,True,True,1.0,1,success,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N1-CoT-branch-only-hierarchy,3,mxh014,True,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N1-CoT-branch-only-hierarchy,3,mxh036,True,False,False,0.0,,between_group_final_miss,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N1-CoT-branch-only-hierarchy,3,mxh045,True,False,False,0.0,,between_group_final_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N1-CoT-branch-only-hierarchy,3,mxh046,True,False,False,0.0,,between_group_final_miss,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N1-CoT-branch-only-hierarchy,3,mxh055,True,False,True,0.5,2,between_group_final_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N1-CoT-branch-only-hierarchy,3,mxh068,True,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N1-CoT-branch-only-hierarchy,3,mxh075,True,False,False,0.0,,within_group_top2_elimination,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N2-CoT-L2-local-only,1,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N2-CoT-L2-local-only,1,mb34_leukemoid,False,False,False,0.0,,schema_failure,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,1,mb55_glucagonoma,True,False,True,0.5,2,final_ranking_miss,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N2-CoT-L2-local-only,1,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,1,mb65_cml,False,False,False,0.0,,schema_failure,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,1,mb66_peliosis,True,False,False,0.0,,final_ranking_miss,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N2-CoT-L2-local-only,1,mb77_hyperpara,True,True,True,1.0,1,success,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N2-CoT-L2-local-only,1,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N2-CoT-L2-local-only,1,mb83_foreignbody,False,False,False,0.0,,schema_failure,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N2-CoT-L2-local-only,1,mxh011,True,True,True,1.0,1,success,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N2-CoT-L2-local-only,1,mxh014,True,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N2-CoT-L2-local-only,1,mxh036,False,False,False,0.0,,schema_failure,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N2-CoT-L2-local-only,1,mxh045,True,False,False,0.0,,final_ranking_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N2-CoT-L2-local-only,1,mxh046,False,False,False,0.0,,schema_failure,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N2-CoT-L2-local-only,1,mxh055,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,1,mxh068,False,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N2-CoT-L2-local-only,1,mxh075,True,False,False,0.0,,upstream_l1_unreachable,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N2-CoT-L2-local-only,2,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N2-CoT-L2-local-only,2,mb34_leukemoid,False,False,False,0.0,,schema_failure,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,2,mb55_glucagonoma,True,True,True,1.0,1,success,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N2-CoT-L2-local-only,2,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,2,mb65_cml,True,False,False,0.0,,final_ranking_miss,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,2,mb66_peliosis,True,False,False,0.0,,final_ranking_miss,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N2-CoT-L2-local-only,2,mb77_hyperpara,True,True,True,1.0,1,success,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N2-CoT-L2-local-only,2,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N2-CoT-L2-local-only,2,mb83_foreignbody,False,False,False,0.0,,schema_failure,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N2-CoT-L2-local-only,2,mxh011,True,True,True,1.0,1,success,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N2-CoT-L2-local-only,2,mxh014,True,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N2-CoT-L2-local-only,2,mxh036,False,False,False,0.0,,schema_failure,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N2-CoT-L2-local-only,2,mxh045,True,False,False,0.0,,final_ranking_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N2-CoT-L2-local-only,2,mxh046,False,False,False,0.0,,schema_failure,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N2-CoT-L2-local-only,2,mxh055,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,2,mxh068,False,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N2-CoT-L2-local-only,2,mxh075,True,False,False,0.0,,upstream_l1_unreachable,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
N2-CoT-L2-local-only,3,mb11_pancoast,True,True,True,1.0,1,success,7a918d37c90ffc64bf685f69c7e3dbb11e920fb34e531ee61abf7738e20683a1
N2-CoT-L2-local-only,3,mb34_leukemoid,False,False,False,0.0,,schema_failure,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,3,mb55_glucagonoma,True,True,True,1.0,1,success,b3a5e0d0cf7d290f0ceac571728f9da25f196ec6c6eee86afc09029799fe1d48
N2-CoT-L2-local-only,3,mb57_kartagener,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,3,mb65_cml,False,False,False,0.0,,schema_failure,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,3,mb66_peliosis,True,False,False,0.0,,final_ranking_miss,2f772cff135cb9970e418465906224832b17430e6f86afdeb3771b1a3c2aa140
N2-CoT-L2-local-only,3,mb77_hyperpara,True,True,True,1.0,1,success,8749f5a651526198f38071933c6b8e445a92f000006f0833763811601f7b5e65
N2-CoT-L2-local-only,3,mb82_adhesions,True,False,False,0.0,,gold_absent,50037457e0001ee48a5ae890cd91a35bdc4d8987ba4d450087b0e300819ebf1a
N2-CoT-L2-local-only,3,mb83_foreignbody,True,False,True,0.5,2,final_ranking_miss,17b2971b0e1eefd90e1fe701de1d144fe855855a619301806a42195a4ecd85ec
N2-CoT-L2-local-only,3,mxh011,True,True,True,1.0,1,success,7e3737fe5b1cd72d53dc726f580a1abd3ffc76ae2cb504dbf76b5757f66e2c46
N2-CoT-L2-local-only,3,mxh014,True,False,False,0.0,,gold_absent,e9c8b8950b613ae2909fc8f117f3c2d3c8f01c83f3682d053f926b3be2016342
N2-CoT-L2-local-only,3,mxh036,False,False,False,0.0,,schema_failure,807a8396414fe694bd98da7539a3fb8895c306d510ea42be0869ccfedc232457
N2-CoT-L2-local-only,3,mxh045,True,False,False,0.0,,final_ranking_miss,6cc076c0bf28857bc3b2d8feedc942d53545b83aeeda823fa47e024f94d9eab3
N2-CoT-L2-local-only,3,mxh046,False,False,False,0.0,,schema_failure,d27353de6e0d22afa416923c6f87f530bae776362de016bf061fe3be2f308998
N2-CoT-L2-local-only,3,mxh055,True,True,True,1.0,1,success,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
N2-CoT-L2-local-only,3,mxh068,False,False,False,0.0,,gold_absent,291a319182e81f2e4e0b4bddab76065a762009a99d45cee7360743ce1d0665b1
N2-CoT-L2-local-only,3,mxh075,False,False,False,0.0,,schema_failure,836c43cc3e915e73fb91c829b0d5c9c4bc23474138d00c71e557d8b14cb16f65
