dataset,slice,case_id,gold,layer,layer_aphhm,e7_correct,v0_correct,B06_correct,B07_correct,B01_correct,APHHM_correct,e7_win_vs_base,base_win_vs_e7,exclusive_arm,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,e7_s2_n,e7_s2_recall,e7_s3_recall,e7_s4_hit,e7_fail_mode,v0_s2_n,v0_s2_recall,v0_s3_recall,v0_s4_hit,v0_fail_mode,e7_s2_gold_rank,e7_mapper_rescue,B06_recall,B06_fail_mode,B07_recall,B07_fail_mode,B01_recall,B01_fail_mode,e7_s3_n,e7_s3_near_gold_n
mcr,mcr_v1,29,cerebral venous thrombosis,,,0,0,0,0,0,0,0,0,,2115,300,20,1,6,0.33333333333333337,2.0,26,3,False,False,False,1,0,,,,45.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,30,Cronkhite-Canada syndrome,,,0,0,0,0,0,0,0,0,,1180,165,23,1,0,0.6060606060606061,0.0,25,3,True,False,False,1,0,,,,49.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,33,Dyke-Davidoff-Masson syndrome,e7_win_recall,,1,1,0,0,0,1,1,0,,1728,229,21,1,3,0.43668122270742354,1.3100436681222707,29,4,True,False,False,1,0,,,,52.0,1,1,1,s4_ok,18.0,1,1,1,s4_ok,17,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,34,Tonsillolith,,,1,1,1,1,1,1,0,0,,1232,177,18,1,0,0.5649717514124294,0.0,12,1,False,False,False,1,0,,,,48.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
mcr,mcr_v1,35,Petersen’s hernia,,aphhm_win,0,0,0,0,0,1,0,0,,2152,301,29,5,3,1.6611295681063125,0.9966777408637874,17,2,False,False,False,1,0,,,,47.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,38,trigeminal schwannoma,e7_win_rank,aphhm_lose,1,1,0,0,0,0,1,0,,2062,277,23,2,2,0.7220216606498195,0.7220216606498195,21,2,False,False,False,1,0,,,,49.0,1,1,1,s4_ok,18.0,1,1,1,s4_ok,10,False,1,cand_ok,0,recall_miss,1,cand_ok,5,1
mcr,mcr_v1,39,mesalazine-induced myocarditis,,,1,1,1,1,1,1,0,0,,2465,366,32,2,3,0.546448087431694,0.819672131147541,30,3,False,False,False,1,0,,,,47.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,2,False,1,cand_ok,1,cand_ok,1,cand_ok,5,0
mcr,mcr_v1,40,hepatocellular carcinoma,e7_win_rank,aphhm_lose,1,1,0,0,0,0,1,0,,1611,230,28,5,1,2.1739130434782608,0.43478260869565216,24,2,False,False,False,1,0,,,,45.0,1,1,1,s4_ok,16.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,41,Gastric lipoma,all_miss_but_recalled,,0,0,0,0,1,0,0,0,,1716,247,19,4,3,1.6194331983805668,1.214574898785425,14,2,False,False,False,1,0,,,,42.0,1,1,0,rank_miss_s4,15.0,1,1,0,rank_miss_s4,6,False,0,recall_miss,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,42,Keratocystic odontogenic tumour,,,0,0,0,0,0,0,0,0,,2382,369,26,1,2,0.27100271002710025,0.5420054200542005,31,3,False,False,False,1,0,,,,51.0,0,0,0,recall_miss_s2,23.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,43,IgA nephropathy,,,0,0,0,0,0,0,0,0,,1894,275,25,9,3,3.272727272727273,1.090909090909091,15,2,False,False,False,1,0,,,,56.0,0,0,0,recall_miss_s2,19.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,44,Pyoderma gangrenosum,,,0,0,0,0,0,0,0,0,,842,122,17,1,0,0.819672131147541,0.0,20,2,False,False,False,1,0,,,,52.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,45,granuloma annulare,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1459,205,20,2,1,0.975609756097561,0.4878048780487805,18,2,False,False,False,1,0,,,,43.0,1,1,0,rank_miss_s4,15.0,0,0,0,recall_miss_s2,9,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,46,Sarcoidosis,,,1,1,1,1,1,1,0,0,,1528,197,28,5,0,2.5380710659898478,0.0,11,1,False,False,False,1,0,,,,52.0,1,1,1,s4_ok,18.0,1,1,1,s4_ok,3,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,47,Metastatic melanoma of unknown primary,,,0,0,0,0,1,0,0,0,,1696,245,23,7,2,2.857142857142857,0.8163265306122449,38,5,False,False,False,1,0,,,,42.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,1,cand_ok,5,1
mcr,mcr_v1,48,xanthogranulomatous osteomyelitis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1268,190,17,0,4,0.0,2.1052631578947367,33,2,False,False,False,1,0,,,,45.0,1,1,0,rank_miss_s4,17.0,0,0,0,recall_miss_s2,1,False,1,cand_ok,0,recall_miss,1,cand_ok,5,1
mcr,mcr_v1,49,StumpAppendicitis,,,1,1,1,0,0,1,0,0,,1221,178,16,4,4,2.247191011235955,2.247191011235955,17,1,False,False,False,1,0,,,,44.0,1,0,0,prune_miss_s3,19.0,1,0,0,prune_miss_s3,1,False,0,recall_miss,0,recall_miss,1,cand_ok,5,0
mcr,mcr_v1,50,Gastrointestinal clear cell sarcoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1877,260,23,1,0,0.38461538461538464,0.0,35,4,False,False,False,1,0,,,,48.0,1,1,1,s4_ok,18.0,1,1,1,s4_ok,13,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,52,Livedoid vasculopathy,,,1,1,1,1,1,1,0,0,,1362,186,17,1,0,0.5376344086021506,0.0,21,2,False,False,False,1,0,,,,52.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,18,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,53,hemangioma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,875,126,19,1,0,0.7936507936507936,0.0,10,1,False,False,False,1,0,,,,42.0,1,0,0,prune_miss_s3,16.0,1,0,0,prune_miss_s3,14,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,54,Trigeminal neuralgia,,,1,1,1,1,1,1,0,0,,1315,195,20,2,0,1.0256410256410255,0.0,20,2,False,False,False,1,0,,,,47.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,55,Post-transplant lymphoproliferative disorder,,,0,0,0,0,0,0,0,0,,1403,188,20,2,0,1.0638297872340425,0.0,44,4,False,False,False,1,0,,,,49.0,0,0,0,recall_miss_s2,17.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,56,Spindle cell squamous cell carcinoma,,,0,0,0,1,0,1,0,1,B07,1810,250,22,2,2,0.8,0.8,36,5,False,False,False,1,0,,,,44.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,2
mcr,mcr_v1,58,Mixed sex cord-stromal tumor,,,0,0,0,0,0,0,0,0,,1084,164,20,2,1,1.2195121951219512,0.6097560975609756,28,5,False,False,False,1,0,,,,46.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,60,Polymyalgia rheumatica,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2521,377,30,11,9,2.9177718832891246,2.3872679045092835,22,2,False,False,False,1,0,,,,55.0,1,1,0,rank_miss_s4,20.0,1,1,0,rank_miss_s4,17,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,61,Choriocarcinoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1851,244,23,7,6,2.8688524590163933,2.459016393442623,15,1,False,False,False,1,0,,,,44.0,1,0,0,prune_miss_s3,14.0,1,0,0,prune_miss_s3,13,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,62,Lipoblastoma,base_win_rank,,0,1,0,1,0,1,0,1,,1204,178,18,3,0,1.6853932584269662,0.0,12,1,False,False,False,1,0,,,,39.0,1,0,0,prune_miss_s3,17.0,1,1,1,s4_ok,32,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
mcr,mcr_v1,63,Fibroepithelial polyp,,,1,1,1,1,1,1,0,0,,1483,204,19,3,2,1.4705882352941175,0.9803921568627451,21,2,False,False,False,1,0,,,,48.0,1,1,1,s4_ok,15.0,1,1,1,s4_ok,6,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,64,small cell lung carcinoma,,,0,0,0,0,0,0,0,0,,1540,217,18,2,0,0.9216589861751152,0.0,25,4,False,False,False,1,0,,,,50.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,65,myelolipoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1253,170,25,4,0,2.3529411764705883,0.0,11,1,False,False,False,1,0,,,,47.0,1,0,0,prune_miss_s3,17.0,0,0,0,recall_miss_s2,9,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,66,CIC-rearranged sarcoma,,,0,0,0,0,0,0,0,0,,1585,225,19,3,5,1.3333333333333335,2.2222222222222223,22,3,False,False,False,1,0,,,,47.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,67,congenital unilateral hypoplasia of depressor anguli oris,,,1,1,0,0,0,1,1,0,,1159,167,20,0,2,0.0,1.1976047904191618,57,7,False,False,False,1,0,,,,46.0,0,0,0,recall_miss_s2,14.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,68,macrodystrophia lipomatosa,,,0,0,0,0,0,0,0,0,,1396,207,19,3,4,1.4492753623188406,1.932367149758454,26,2,False,False,False,1,0,,,,50.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,69,Gastric lipoma,base_win_rank,aphhm_lose,0,0,0,1,0,0,0,1,B07,1200,176,19,5,3,2.840909090909091,1.7045454545454544,14,2,False,False,False,1,0,,,,33.0,1,1,0,rank_miss_s4,16.0,1,0,0,prune_miss_s3,5,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,72,abdominal tuberculosis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1905,270,22,11,2,4.074074074074074,0.7407407407407408,22,2,False,False,False,1,0,,,,52.0,1,0,0,prune_miss_s3,18.0,1,1,0,rank_miss_s4,14,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,73,metastatic prostate carcinoma,,aphhm_lose,0,0,0,1,0,0,0,1,B07,2409,342,21,5,2,1.461988304093567,0.5847953216374269,29,3,False,False,False,1,0,,,,47.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,74,Catecholaminergic polymorphic ventricular tachycardia,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1966,268,25,1,2,0.3731343283582089,0.7462686567164178,53,4,False,False,False,1,0,,,,48.0,1,1,0,rank_miss_s4,19.0,1,1,0,rank_miss_s4,5,False,0,recall_miss,0,recall_miss,1,cand_ok,5,1
mcr,mcr_v1,75,BasosquamousCarcinoma,,,0,0,0,0,0,0,0,0,,1447,211,23,6,0,2.843601895734597,0.0,21,1,False,False,False,1,0,,,,48.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,76,drug-induced liver injury,,,1,1,1,1,1,1,0,0,,1702,235,30,1,4,0.425531914893617,1.702127659574468,25,4,False,False,False,1,0,,,,47.0,1,1,0,rank_miss_s4,18.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,2
mcr,mcr_v1,77,Accessory extraocular muscle,,,0,0,0,0,0,0,0,0,,1134,171,17,2,0,1.1695906432748537,0.0,28,3,False,False,False,1,0,,,,45.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,78,schwannoma,base_win_rank,aphhm_lose,0,0,1,1,1,0,0,1,,1490,218,20,1,0,0.45871559633027525,0.0,10,1,False,False,False,1,0,,,,44.0,1,1,0,rank_miss_s4,16.0,1,1,0,rank_miss_s4,2,False,1,cand_ok,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,80,Leiomyosarcoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1275,187,20,1,6,0.53475935828877,3.2085561497326207,14,1,False,False,False,1,0,,,,49.0,1,0,0,prune_miss_s3,18.0,0,0,0,recall_miss_s2,17,False,1,cand_ok,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,81,Macrophage myofasciitis,,,0,0,0,0,0,0,0,0,,2686,385,41,10,1,2.5974025974025974,0.2597402597402597,23,2,False,False,False,1,0,,,,51.0,0,0,0,recall_miss_s2,14.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,82,Euglycemic diabetic ketoacidosis,base_win_rank,aphhm_lose,0,0,0,1,1,0,0,1,B07,1968,300,27,1,1,0.33333333333333337,0.33333333333333337,32,3,False,False,False,1,0,,,,48.0,1,1,0,rank_miss_s4,19.0,1,1,0,rank_miss_s4,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
mcr,mcr_v1,84,Lymphoepithelioma-like carcinoma of the breast,,,0,0,0,0,0,0,0,0,,1428,205,19,3,0,1.4634146341463417,0.0,46,6,False,False,False,1,0,,,,48.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,4
mcr,mcr_v1,85,Small intestinal perforation,,,0,0,0,0,0,0,0,0,,1525,220,20,4,2,1.8181818181818181,0.9090909090909091,28,3,False,False,False,1,0,,,,49.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,86,Restless arms syndrome,,,0,0,0,0,0,0,0,0,,1250,181,20,1,0,0.5524861878453038,0.0,22,3,False,False,False,1,0,,,,52.0,0,0,0,recall_miss_s2,16.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,87,undifferentiated embryonal sarcoma of the liver,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,2073,308,25,9,4,2.922077922077922,1.2987012987012987,47,6,False,False,False,1,0,,,,50.0,1,0,0,prune_miss_s3,17.0,1,1,0,rank_miss_s4,11,False,0,recall_miss,1,cand_ok,0,recall_miss,5,0
mcr,mcr_v1,90,squamous cell carcinoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1442,218,17,2,3,0.9174311926605505,1.3761467889908259,23,3,False,False,False,1,0,,,,46.0,1,1,0,rank_miss_s4,15.0,1,1,0,rank_miss_s4,1,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,91,Angiosarcoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1580,215,19,4,2,1.8604651162790697,0.9302325581395349,12,1,False,False,False,1,0,,,,51.0,1,1,0,rank_miss_s4,19.0,0,0,0,recall_miss_s2,18,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,93,Serum sickness,,,0,0,0,0,0,0,0,0,,1583,210,27,2,6,0.9523809523809524,2.857142857142857,14,2,False,False,False,1,0,,,,50.0,0,0,0,recall_miss_s2,18.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,94,Schwannoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1283,195,18,2,2,1.0256410256410255,1.0256410256410255,10,1,False,False,False,1,0,,,,47.0,1,0,0,prune_miss_s3,17.0,1,1,0,rank_miss_s4,5,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,95,Tuberculosis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1887,261,23,5,3,1.9157088122605364,1.1494252873563218,12,1,False,False,False,1,0,,,,55.0,1,1,1,s4_ok,18.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,0,recall_miss,5,1
mcr,mcr_v1,96,ParostealOsteosarcoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1608,254,22,4,4,1.574803149606299,1.574803149606299,21,1,False,False,False,1,0,,,,48.0,1,0,0,prune_miss_s3,18.0,0,0,0,recall_miss_s2,21,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,97,giant juvenile fibroadenoma,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1367,201,21,2,0,0.9950248756218906,0.0,27,3,False,False,False,1,0,,,,52.0,1,1,0,rank_miss_s4,18.0,1,1,0,rank_miss_s4,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,2
mcr,mcr_v1,99,Histoplasmosis,all_miss_but_recalled,,0,0,0,0,0,0,0,0,,1628,220,22,0,1,0.0,0.45454545454545453,14,1,False,False,False,1,0,,,,47.0,1,1,0,rank_miss_s4,19.0,1,1,0,rank_miss_s4,1,False,0,recall_miss,0,recall_miss,0,recall_miss,5,1
mcr,mcr_v1,100,intraosseous metaplastic meningioma,,,0,0,0,0,0,0,0,0,,1704,256,16,4,6,1.5625,2.34375,35,3,False,False,False,1,0,,,,47.0,0,0,0,recall_miss_s2,20.0,0,0,0,recall_miss_s2,,False,0,recall_miss,0,recall_miss,0,recall_miss,5,0
mcr,mcr_v1,104,Langerhans cell histiocytosis,,,1,1,1,1,1,1,0,0,,1888,269,22,1,0,0.37174721189591076,0.0,29,3,False,False,False,1,0,,,,51.0,1,1,1,s4_ok,17.0,1,1,1,s4_ok,1,False,1,cand_ok,1,cand_ok,1,cand_ok,5,1
