vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,has_pe_section,has_tests_section,dataset,slice,case_id,y_e7_chain_fail,y_base_win_chain,y_s4_miss,journal_len,title_len
1411,181,10,0,0,0.0,0.0,64,7,0,1,0,1,4,1,1.0,3,1,0,da,d2_seq100,242,1,0,0,,
1978,290,20,2,1,0.6896551724137931,0.3448275862068966,71,9,0,1,1,1,4,1,1.0,1,0,1,da,d2_seq100,243,1,0,0,,
1658,226,18,0,0,0.0,0.0,40,6,0,1,0,1,4,1,1.0,1,0,0,da,d2_seq100,246,1,0,0,,
2147,287,13,7,2,2.4390243902439024,0.6968641114982579,52,7,0,0,0,1,4,1,1.0,2,0,1,da,d2_seq100,249,0,0,0,,
1818,244,14,3,0,1.2295081967213115,0.0,47,5,0,0,0,1,4,1,1.0,3,0,1,da,d2_heldout100,252,1,0,0,,
1557,218,18,6,0,2.7522935779816518,0.0,78,10,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,254,1,0,1,,
2019,253,16,2,0,0.7905138339920948,0.0,47,5,1,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,255,1,0,0,,
1467,205,17,0,1,0.0,0.4878048780487805,59,8,0,0,0,1,4,1,1.0,2,0,0,da,d2_heldout100,256,1,0,0,,
1337,178,13,1,0,0.5617977528089888,0.0,63,8,0,0,1,1,4,1,1.0,3,0,0,da,d2_heldout100,257,1,0,0,,
1675,255,15,0,0,0.0,0.0,92,14,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,259,1,0,0,,
2074,269,13,5,1,1.858736059479554,0.37174721189591076,22,2,0,0,0,1,4,1,1.0,2,0,0,da,d2_heldout100,261,0,0,0,,
2263,303,12,6,1,1.9801980198019802,0.33003300330033003,62,7,0,1,0,1,4,1,1.0,2,0,1,da,d2_heldout100,262,1,0,1,,
1652,253,20,1,1,0.3952569169960474,0.3952569169960474,65,6,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,266,1,0,0,,
1572,224,12,3,0,1.3392857142857142,0.0,79,9,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,268,1,1,0,,
1504,216,18,0,2,0.0,0.9259259259259258,93,10,0,1,1,1,4,1,1.0,4,0,0,da,d2_heldout100,269,0,0,0,,
1233,172,15,0,0,0.0,0.0,51,5,0,0,1,1,4,1,1.0,1,0,0,da,d2_heldout100,270,1,0,0,,
1358,196,14,1,0,0.5102040816326531,0.0,41,5,1,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,272,1,1,1,,
938,132,12,0,0,0.0,0.0,80,12,0,1,0,1,4,1,1.0,2,0,0,da,d2_heldout100,273,0,0,0,,
1534,217,13,1,0,0.4608294930875576,0.0,68,8,0,0,0,1,4,1,1.0,1,0,0,da,d2_heldout100,276,1,0,0,,
1490,202,11,2,0,0.9900990099009901,0.0,100,14,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,281,1,1,1,,
1737,269,13,2,0,0.7434944237918215,0.0,43,5,0,0,0,1,4,1,1.0,3,0,0,da,d2_heldout100,283,0,0,0,,
1717,214,16,1,0,0.46728971962616817,0.0,65,8,0,1,0,1,4,1,1.0,2,0,0,da,d2_heldout100,284,1,0,0,,
1673,209,27,3,0,1.4354066985645932,0.0,65,7,0,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,289,1,0,0,,
1346,197,8,1,0,0.5076142131979695,0.0,80,10,0,1,0,1,4,1,1.0,1,1,1,da,d2_heldout100,290,1,0,0,,
1504,209,15,1,0,0.4784688995215311,0.0,14,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,293,1,0,0,,
1156,158,11,0,1,0.0,0.6329113924050633,32,3,0,0,0,1,4,1,1.0,2,1,0,da,d2_heldout100,299,1,1,1,,
1532,210,15,0,0,0.0,0.0,33,3,0,0,0,1,4,1,1.0,1,0,0,da,d2_heldout100,301,0,0,0,,
1691,228,10,1,2,0.43859649122807015,0.8771929824561403,45,4,0,0,0,1,4,1,1.0,3,0,1,da,d2_heldout100,302,0,0,0,,
1398,200,12,3,0,1.5,0.0,51,6,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,303,1,0,0,,
1960,269,13,5,0,1.858736059479554,0.0,38,3,0,0,0,1,4,1,1.0,3,0,1,da,d2_heldout100,306,1,0,0,,
1285,170,13,2,0,1.1764705882352942,0.0,45,5,0,0,1,1,4,1,1.0,1,1,0,da,d2_heldout100,308,0,0,0,,
1299,176,12,1,0,0.5681818181818182,0.0,79,12,0,1,1,1,4,1,1.0,1,1,0,da,d2_heldout100,310,1,0,0,,
1339,175,10,4,0,2.2857142857142856,0.0,83,10,0,1,1,1,4,1,1.0,1,0,1,da,d2_heldout100,312,1,0,0,,
1911,254,11,6,1,2.3622047244094486,0.39370078740157477,104,12,0,1,1,1,4,1,1.0,1,0,1,da,d2_heldout100,313,1,0,0,,
1794,246,15,2,1,0.8130081300813009,0.40650406504065045,26,4,0,0,1,1,4,1,1.0,1,1,1,da,d2_heldout100,314,1,1,0,,
1596,208,11,2,0,0.9615384615384616,0.0,17,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,317,1,1,0,,
1409,180,8,1,1,0.5555555555555556,0.5555555555555556,79,9,0,1,1,1,4,1,1.0,1,0,1,da,d2_heldout100,318,1,0,0,,
1357,184,9,1,0,0.5434782608695652,0.0,39,4,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,320,0,0,0,,
2126,289,19,0,1,0.0,0.34602076124567477,153,17,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,321,1,1,1,,
1755,235,14,1,0,0.425531914893617,0.0,36,4,0,0,0,1,4,1,1.0,4,0,0,da,d2_heldout100,325,1,0,0,,
1169,152,14,0,0,0.0,0.0,85,9,0,0,1,1,4,1,1.0,1,0,0,da,d2_heldout100,328,1,0,0,,
1251,178,14,3,0,1.6853932584269662,0.0,26,3,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,329,0,0,0,,
1512,228,13,2,0,0.8771929824561403,0.0,114,15,0,1,1,1,4,1,1.0,1,0,1,da,d2_heldout100,330,1,0,0,,
1890,251,12,8,0,3.187250996015936,0.0,50,5,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,333,1,0,0,,
1976,263,18,4,0,1.520912547528517,0.0,17,1,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,334,1,1,0,,
2024,277,15,1,0,0.36101083032490977,0.0,62,8,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,337,1,0,0,,
1820,249,14,2,0,0.8032128514056224,0.0,67,8,0,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,341,1,0,0,,
2002,244,16,4,0,1.639344262295082,0.0,43,4,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,347,1,0,0,,
1776,249,22,1,0,0.4016064257028112,0.0,40,4,0,0,0,1,4,1,1.0,2,1,1,da,d2_heldout100,348,1,0,0,,
1685,223,15,0,0,0.0,0.0,24,2,0,0,0,1,4,1,1.0,2,0,0,da,d2_heldout100,349,1,0,1,,
1366,193,16,0,0,0.0,0.0,105,15,1,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,350,1,0,0,,
1017,142,12,2,0,1.4084507042253522,0.0,18,1,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,352,1,0,0,,
2121,310,20,3,4,0.967741935483871,1.2903225806451613,45,5,0,0,1,1,4,1,1.0,2,0,0,da,d2_heldout100,353,1,0,0,,
1901,228,12,4,1,1.7543859649122806,0.43859649122807015,76,9,0,1,0,1,4,1,1.0,1,0,1,da,d2_heldout100,354,1,0,0,,
1362,189,16,0,0,0.0,0.0,52,7,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,355,1,0,0,,
1270,175,15,2,0,1.1428571428571428,0.0,20,2,0,0,0,1,4,1,1.0,2,1,0,da,d2_heldout100,356,1,0,0,,
1117,151,14,3,0,1.9867549668874174,0.0,27,4,1,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,357,1,0,0,,
1483,213,13,2,0,0.9389671361502347,0.0,67,9,1,1,1,1,4,1,1.0,1,0,1,da,d2_heldout100,359,1,0,0,,
1294,158,18,1,0,0.6329113924050633,0.0,60,7,0,0,1,1,4,1,1.0,1,1,1,da,d2_heldout100,361,1,0,0,,
1500,189,9,2,0,1.0582010582010581,0.0,20,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,364,1,0,0,,
2003,271,19,5,0,1.8450184501845017,0.0,44,6,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,365,1,0,0,,
1620,229,13,2,1,0.8733624454148471,0.43668122270742354,19,3,0,0,0,1,4,1,1.0,3,0,0,da,d2_heldout100,367,1,0,1,,
1796,264,14,2,3,0.7575757575757576,1.1363636363636365,31,3,0,0,0,1,4,1,1.0,2,1,1,da,d2_heldout100,368,0,0,0,,
1196,162,9,3,0,1.8518518518518516,0.0,102,11,0,0,1,1,4,1,1.0,1,1,1,da,d2_heldout100,372,1,0,0,,
1489,201,19,0,0,0.0,0.0,46,4,0,0,0,1,4,1,1.0,1,0,0,da,d2_heldout100,373,1,0,1,,
1324,192,10,2,2,1.0416666666666665,1.0416666666666665,70,7,0,0,1,1,4,1,1.0,2,0,1,da,d2_heldout100,374,0,0,0,,
1699,232,14,1,0,0.43103448275862066,0.0,15,2,0,0,0,1,4,1,1.0,1,1,0,da,d2_heldout100,375,1,0,0,,
1826,257,15,2,0,0.7782101167315175,0.0,40,5,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,379,1,0,0,,
2027,282,13,4,0,1.4184397163120568,0.0,13,2,0,0,0,1,4,1,1.0,1,1,1,da,d2_heldout100,381,1,0,0,,
1609,205,12,2,0,0.975609756097561,0.0,26,3,0,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,382,0,0,0,,
1811,256,15,4,0,1.5625,0.0,44,4,0,0,0,1,4,1,1.0,3,1,1,da,d2_heldout100,383,0,0,0,,
1444,197,12,2,0,1.015228426395939,0.0,76,12,0,0,1,1,4,1,1.0,1,0,0,da,d2_heldout100,387,1,0,0,,
1873,246,15,4,0,1.6260162601626018,0.0,68,10,0,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,389,1,0,0,,
1653,220,10,5,0,2.272727272727273,0.0,54,8,0,1,1,1,4,1,1.0,3,0,1,da,d2_heldout100,391,0,0,0,,
1621,232,14,0,0,0.0,0.0,25,2,0,0,0,1,4,1,1.0,2,0,0,da,d2_heldout100,392,0,0,0,,
1367,199,12,1,0,0.5025125628140703,0.0,142,19,0,1,0,1,4,1,1.0,2,0,1,da,d2_heldout100,397,1,0,0,,
1597,214,10,0,0,0.0,0.0,45,5,0,0,1,1,4,1,1.0,1,1,0,da,d2_heldout100,398,1,1,1,,
1521,198,19,0,0,0.0,0.0,52,5,0,0,1,1,4,1,1.0,1,1,0,da,d2_heldout100,399,1,0,0,,
1429,204,19,0,0,0.0,0.0,26,3,0,0,0,1,4,1,1.0,1,0,0,da,d2_heldout100,400,1,0,1,,
1543,213,18,5,0,2.3474178403755865,0.0,32,3,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,402,1,0,0,,
1528,194,15,1,0,0.5154639175257731,0.0,51,6,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,404,1,0,0,,
2343,317,14,2,0,0.6309148264984227,0.0,50,5,0,1,0,1,4,1,1.0,1,0,1,da,d2_heldout100,409,1,0,0,,
1639,226,13,7,0,3.0973451327433628,0.0,30,3,0,0,0,1,4,1,1.0,1,1,1,da,d2_heldout100,410,1,0,0,,
1295,174,13,0,0,0.0,0.0,55,6,0,0,1,1,4,1,1.0,1,0,0,da,d2_heldout100,411,1,0,0,,
1648,204,13,5,4,2.450980392156863,1.9607843137254901,99,12,0,1,1,1,4,1,1.0,1,1,0,da,d2_heldout100,413,0,0,0,,
1411,199,15,0,0,0.0,0.0,66,8,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,414,1,0,0,,
1839,285,16,1,0,0.3508771929824561,0.0,168,24,0,1,0,2,4,1,1.0,1,1,1,da,d2_heldout100,415,0,0,0,,
1353,215,10,0,0,0.0,0.0,25,3,0,0,0,1,4,1,1.0,1,1,0,da,d2_heldout100,416,1,0,0,,
1374,193,14,1,0,0.5181347150259068,0.0,21,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,420,0,0,0,,
2055,267,12,5,2,1.8726591760299627,0.7490636704119851,15,2,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,421,1,0,0,,
1758,210,15,2,0,0.9523809523809524,0.0,47,4,0,0,1,1,4,1,1.0,1,0,1,da,d2_heldout100,423,1,0,0,,
1271,177,14,3,0,1.694915254237288,0.0,67,6,0,0,1,2,4,1,1.0,1,1,1,da,d2_heldout100,424,1,0,0,,
979,139,12,2,0,1.4388489208633095,0.0,78,9,0,0,1,1,4,1,1.0,2,0,1,da,d2_heldout100,425,1,1,1,,
1534,213,17,1,0,0.4694835680751174,0.0,41,5,0,1,0,1,4,1,1.0,1,1,1,da,d2_heldout100,428,1,0,1,,
1288,166,10,2,0,1.2048192771084338,0.0,48,4,0,0,0,1,4,1,1.0,2,1,1,da,d2_heldout100,429,1,0,1,,
1912,250,16,1,0,0.4,0.0,53,7,0,1,1,1,4,1,1.0,1,0,0,da,d2_heldout100,431,0,0,0,,
1865,274,13,2,0,0.7299270072992701,0.0,34,6,0,0,0,1,4,1,1.0,2,0,1,da,d2_heldout100,432,1,1,1,,
1276,174,10,2,0,1.1494252873563218,0.0,56,6,0,0,0,1,4,1,1.0,1,0,1,da,d2_heldout100,434,1,0,0,,
1449,198,14,0,0,0.0,0.0,91,11,0,1,1,1,4,1,1.0,1,1,0,da,d2_heldout100,437,1,0,0,,
1685,232,9,0,0,0.0,0.0,78,9,0,1,0,1,4,1,1.0,1,0,0,da,d2_heldout100,439,1,0,0,,
1020,134,13,0,0,0.0,0.0,31,5,0,0,0,1,4,1,1.0,1,1,0,da,d2_heldout100,440,1,0,0,,
