dataset,slice,case_id,arm,locus,subcode,champion,gold,silver_cluster,silver_locus_ok,rule_locus
mcr,mcr_v1,61,APHHM,generation_miss,tree_miss,Hepatocellular Adenoma with Hemorrhage,Choriocarcinoma,unrelated,1,generation_miss
da,d2_heldout100,254,forest,generation_miss,view_miss_all,Paraspinal abscess,Pyomyositis of the levator scapulae muscle caused by Fusobacterium necrophorum,unrelated,1,generation_miss
da,d2_heldout200b,765,multistance,generation_miss,view_miss_all,Catecholaminergic Polymorphic Ventricular Tachycardia,Coronary spasm with complete atrioventricular block,unrelated,1,generation_miss
mcr,mcr_v1,81,adaptive4v2,generation_miss,view_miss_all,Juvenile Dermatomyositis,Macrophage myofasciitis,unrelated,1,generation_miss
mcr,mcr_200b,343,multistance,generation_miss,view_miss_all,Arrhythmogenic Right Ventricular Dysplasia,CardiacSarcoidosis,unrelated,1,generation_miss
da,d2_heldout100,411,forest,generation_miss,view_miss_all,Atrioventricular Nodal Reentrant Tachycardia (AVNRT),Left posterior fascicular ventricular tachycardia (FVT),parent_subtype,1,generation_miss
da,d2_heldout100,262,adaptive4v2,generation_miss,view_miss_all,Sweet syndrome,IBD-associated neutrophilic dermatosis with ulcerative colitis,unrelated,1,generation_miss
da,d2_heldout100,337,multistance,generation_miss,view_miss_all,Fibrolipomatous hamartoma,Spindle cell lipoma (SCL) with focal intramuscular involvement,unrelated,1,generation_miss
mcr,mcr_200b,403,impc,generation_miss,view_miss_all,Atrial Fibrillation-Related Stroke,Primary angiitis of the central nervous system,unrelated,1,generation_miss
da,d2_heldout100,357,e7,generation_miss,s2_miss,Pyoderma gangrenosum,Hailey-Hailey disease (HHD),unrelated,1,generation_miss
mcr,mcr_v2,150,adaptive4v2,generation_miss,view_miss_all,Periapical granuloma,Intraosseous lipoma,unrelated,1,generation_miss
da,d2_heldout200b,653,collapse3c,generation_miss,view_miss_all,Hepatic Artery Aneurysm,Spontaneous Hepatic Artery Thrombosis,parent_subtype,1,generation_miss
mcr,mcr_v2,167,adaptive4v2,generation_miss,view_miss_all,Ewing's Sarcoma,Myofibroma,unrelated,1,generation_miss
mcr,mcr_200b,394,multistance,generation_miss,view_miss_all,Paraneoplastic syndrome of inappropriate antidiuretic hormone secretion (SIADH),Isolated ACTH deficiency,unrelated,1,generation_miss
da,d2_seq100,190,collapse3c,generation_miss,view_miss_all,Frontal sinus mucocele,Pott's puffy tumor with sinocutaneous fistula secondary to chronic sinusitis,unrelated,1,generation_miss
mcr,mcr_200b,393,v0,generation_miss,s2_miss,Phycomycosis,mucormycosis,unrelated,1,generation_miss
mcr,mcr_v2,235,impc,identity_loss,merge_swallow,Hyperglycemia-induced Choreoathetosis,Nonketotic hyperglycemia hemichorea,parent_subtype,1,identity_loss
da,d2_heldout100,409,collapse3c,identity_loss,merge_swallow,Syphilitic Uveitis,Bilateral syphilitic panuveitis with neurosyphilis,parent_subtype,1,identity_loss
da,d2_seq100,158,msplit,identity_loss,merge_swallow,Pilomatrixoma,Bullous pilomatricoma,unrelated,1,identity_loss
da,d2_heldout100,432,multistance,identity_loss,merge_swallow,Nail lichen planus,Bullous lichen planus of the nails,parent_subtype,1,identity_loss
da,d2_heldout200b,639,multistance,identity_loss,merge_swallow,Brucellosis,Brucella melitensis soft tissue abscess related to ventriculoperitoneal shunt,unrelated,1,identity_loss
da,d2_heldout100,348,impc,identity_loss,merge_swallow,Fuchs endothelial corneal dystrophy,Asymptomatic posterior corneal dystrophy,sibling_family,1,identity_loss
da,d2_seq100,219,impc,identity_loss,merge_swallow,Nevoid Basal Cell Carcinoma Syndrome,Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),parent_subtype,1,identity_loss
da,d2_heldout200b,665,forest,identity_loss,merge_swallow,Squamous cell carcinoma of the tongue,HPV-related squamous cell carcinoma of the base of the tongue,sibling_family,1,identity_loss
da,d2_heldout200b,498,forest,identity_loss,merge_swallow,Molar Pregnancy,Denied pregnancy with stillbirth delivery complicated by eclampsia and posterior reversible encephalopathy syndrome (PRES),parent_subtype,1,identity_loss
mcr,mcr_v1,48,multistance_r2,identity_loss,merge_swallow,Brodie's abscess,xanthogranulomatous osteomyelitis,unrelated,1,identity_loss
mcr,mcr_v1,80,impc,identity_loss,merge_swallow,Radiation-Induced Sarcoma,Leiomyosarcoma,unrelated,1,identity_loss
mcr,mcr_200b,362,impc,identity_loss,merge_swallow,Tuberculous osteomyelitis,Cryptococcal osteomyelitis,sibling_family,1,identity_loss
da,d2_heldout200b,634,impc,identity_loss,merge_swallow,Colorectal Cancer,Stage 3c (pT4a pN2a M0) Sarcomatoid Carcinoma of the sigmoid colon,unrelated,1,identity_loss
mcr,mcr_v1,76,msplit,identity_loss,merge_swallow,Alfuzosin-induced liver injury,drug-induced liver injury,sibling_family,1,identity_loss
da,d2_seq100,87,lite,identity_loss,merge_swallow,Acute Pericarditis,Myopericarditis,unrelated,1,identity_loss
mcr,mcr_v2,170,forest,identity_loss,merge_swallow,Hodgkin lymphoma,T-cell lymphoblastic lymphoma,sibling_family,1,identity_loss
da,d2_heldout200b,766,multistance,identity_loss,merge_swallow,Acute Pericarditis,Myopericarditis with cardiac conduction system involvement due to monkeypox virus infection with concurrent Lyme disease,unrelated,1,identity_loss
mcr,mcr_v1,50,multistance_r2,identity_loss,merge_swallow,Gastrointestinal Stromal Tumor (GIST) with schwannian differentiation,Gastrointestinal clear cell sarcoma,parent_subtype,1,identity_loss
mcr,mcr_200b,424,multistance,identity_loss,merge_swallow,Systemic Lupus Erythematosus,Nonbacterial thrombotic endocarditis,unrelated,1,identity_loss
mcr,mcr_200b,285,multistance,identity_loss,merge_swallow,Pyknodysostosis,Pycnodysostosis,unrelated,1,identity_loss
da,d2_seq100,163,multistance_r2,identity_loss,merge_swallow,Hypereosinophilic syndrome,FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH),unrelated,1,identity_loss
da,d2_heldout200b,732,multistance,identity_loss,merge_swallow,Pyogenic Liver Abscess,Multiple liver abscesses infected by Fusobacterium necrophorum,parent_subtype,1,identity_loss
da,d2_heldout100,284,forest,identity_loss,merge_swallow,Tongue Metastasis of Malignant Mesothelioma,Low-grade epithelioid pleural mesothelioma with tongue metastasis,parent_subtype,1,identity_loss
da,d2_heldout200b,736,multistance,identity_loss,merge_swallow,Spondylodiscitis,Vertebral osteomyelitis and discitis due to Streptococcus cristatus,unrelated,1,identity_loss
mcr,mcr_v1,16,forest,identity_loss,merge_swallow,Primary Amyloidosis of the Urethra,LocalizedUrethralAmyloidosis,unrelated,1,identity_loss
da,d2_heldout100,347,multistance_r2,identity_loss,merge_swallow,Subacute Cutaneous Lupus Erythematosus,Nonbullous neutrophilic lupus erythematosus,sibling_family,1,identity_loss
mcr,mcr_200b,362,multistance,identity_loss,merge_swallow,Extrapulmonary Tuberculosis,Cryptococcal osteomyelitis,unrelated,1,identity_loss
mcr,mcr_v1,76,collapse3c,identity_loss,merge_swallow,Alfuzosin-induced liver injury,drug-induced liver injury,sibling_family,1,identity_loss
da,d2_heldout100,254,msplit,identity_loss,merge_swallow,Intramuscular abscess,Pyomyositis of the levator scapulae muscle caused by Fusobacterium necrophorum,unrelated,1,identity_loss
mcr,mcr_200b,411,collapse3c,identity_loss,merge_swallow,Plexiform Schwannoma,PlexiformSchwannoma,unrelated,1,identity_loss
da,d2_heldout200b,729,multistance,prune_loss,score_below_frontier,Myocardial Infarction with Cardiac Rupture,Left ventricular free wall rupture following acute myocardial infarction,parent_subtype,1,prune_loss
da,d2_heldout100,391,multistance,prune_loss,score_below_frontier,Multibacillary leprosy,Lepromatous leprosy with type 2 leprosy reaction (T2R),parent_subtype,1,prune_loss
da,d2_seq100,242,msplit,prune_loss,score_below_frontier,Choroidal Neovascularization,Branch retinal vein occlusion with preretinal neovascularization,sibling_family,1,prune_loss
da,d2_heldout200b,615,multistance,prune_loss,score_below_frontier,Klebsiella pneumoniae liver abscess,"Hypervirulent Klebsiella pneumoniae (hvKp) infection with multifocal manifestations including bacteremia, tibial osteomyelitis, pyogenic liver abscess, and multifocal osteomyelitis",parent_subtype,1,prune_loss
mcr,mcr_v1,121,APHHM,prune_loss,tree_hit_final_drop,Lipoma,Angioleiomyoma,unrelated,1,prune_loss
da,d2_heldout100,272,multistance,prune_loss,score_below_frontier,Acute Coronary Syndrome,Window-Period Acute Myocardial Infarction,parent_subtype,1,prune_loss
da,d2_heldout100,349,msplit,prune_loss,score_below_frontier,Cryptococcosis,Cutaneous histoplasmosis,unrelated,1,prune_loss
da,d2_heldout200b,496,multistance,prune_loss,score_below_frontier,Sepsis,Listeria monocytogenes infection in a liver transplant recipient,unrelated,1,prune_loss
mcr,mcr_v1,6,APHHM,prune_loss,tree_hit_final_drop,Acanthamoeba keratitis,Exophiala xenobiotica keratitis,sibling_family,1,prune_loss
da,d2_seq100,249,APHHM,prune_loss,tree_hit_final_drop,Primary cutaneous CD8+ aggressive epidermotropic cytotoxic T-cell lymphoma,CD8-positive granulomatous cutaneous T-cell lymphoma,sibling_family,1,prune_loss
mcr,mcr_200b,324,multistance,prune_loss,score_below_frontier,COVID-19-associated psychosis,COVID-19-associated acute and transient psychotic disorder,parent_subtype,1,prune_loss
da,d2_seq100,205,msplit,prune_loss,score_below_frontier,Lupus Vasculitis,Methimazole-induced vasculitis,sibling_family,1,prune_loss
da,d2_heldout200b,465,v0,prune_loss,s2_hit_s3_drop,Angiosarcoma,Malignant myopericytoma,unrelated,1,prune_loss
da,d2_seq100,76,APHHM,prune_loss,tree_hit_final_drop,Facial Nerve Schwannoma,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,parent_subtype,1,prune_loss
da,d2_heldout100,254,collapse3c,prune_loss,score_below_frontier,Levator scapulae muscle abscess,Pyomyositis of the levator scapulae muscle caused by Fusobacterium necrophorum,parent_subtype,1,prune_loss
da,d2_heldout100,272,multistance_r2,prune_loss,score_below_frontier,Acute Coronary Syndrome,Window-Period Acute Myocardial Infarction,parent_subtype,1,prune_loss
mcr,mcr_v1,106,e7,prune_loss,s2_hit_s3_drop,Pituitary adenoma,neuroendocrine tumor,unrelated,1,prune_loss
mcr,mcr_v2,213,multistance_r2,prune_loss,score_below_frontier,Maculopapular Drug Eruption,morbilliform drug eruption,sibling_family,1,prune_loss
mcr,mcr_v2,209,msplit,prune_loss,score_below_frontier,Sarcoma,melanoma,unrelated,1,prune_loss
da,d2_heldout100,299,APHHM,prune_loss,tree_hit_final_drop,Inverted Papilloma,Exophytic Schneiderian papilloma,sibling_family,1,prune_loss
mcr,mcr_v2,187,e7,prune_loss,s2_hit_s3_drop,Ganglion Cyst,Schwannoma,unrelated,1,prune_loss
mcr,mcr_200b,363,multistance,prune_loss,score_below_frontier,Purpura Fulminans,Symmetrical peripheral gangrene,unrelated,1,prune_loss
da,d2_heldout100,359,multistance,prune_loss,score_below_frontier,Wolff-Parkinson-White Syndrome,Wolff-Parkinson-White (WPW) pattern with heart failure exacerbation,parent_subtype,1,prune_loss
da,d2_seq100,161,v0,prune_loss,s2_hit_s3_drop,Nora lesion,Hemosiderotic fibrolipomatous tumor (HFLT),unrelated,1,prune_loss
da,d2_seq100,241,APHHM,prune_loss,tree_hit_final_drop,Streptococcal endophthalmitis,Endogenous endophthalmitis with iris abscess,parent_subtype,1,prune_loss
da,d2_seq100,103,APHHM,prune_loss,tree_hit_final_drop,Paroxysmal Supraventricular Tachycardia,Intra-atrial reentrant tachycardia (IART) with variable atrioventricular block,parent_subtype,1,prune_loss
mcr,mcr_v2,221,multistance,prune_loss,score_below_frontier,Malignant Solitary Fibrous Tumor of the Pleura,giant cell-rich osteosarcoma,unrelated,1,prune_loss
da,d2_heldout100,349,aphhm_c_v1,prune_loss,gate_veto_p5_shared_phenotype,Cryptococcosis,Cutaneous histoplasmosis,unrelated,1,prune_loss
mcr,mcr_200b,436,multistance,prune_loss,score_below_frontier,Spontaneous Renal Hematoma,Renal artery aneurysm,parent_subtype,1,prune_loss
da,d2_seq100,161,multistance_r2,prune_loss,score_below_frontier,Nodular pseudolipomatous fat necrosis,Hemosiderotic fibrolipomatous tumor (HFLT),unrelated,1,prune_loss
mcr,mcr_v2,196,e7,prune_loss,s2_hit_s3_drop,Chordoma,vertebral hemangioma,unrelated,1,prune_loss
mcr,mcr_v1,56,msplit,prune_loss,score_below_frontier,Sarcomatoid Carcinoma,Spindle cell squamous cell carcinoma,sibling_family,1,prune_loss
da,d2_seq100,163,multistance,prune_loss,score_below_frontier,Hypereosinophilic syndrome,FIP1L1-PDGFRA–positive chronic eosinophilic leukemia (CEL) with associated generalized eruptive histiocytosis (GEH),unrelated,1,prune_loss
mcr,mcr_v2,141,aphhm_c_v1,prune_loss,gate_veto_p5_shared_phenotype,Serous Retinal Detachment,Rhegmatogenous retinal detachment with choroidal detachment,sibling_family,1,prune_loss
mcr,mcr_v1,61,e7,prune_loss,s2_hit_s3_drop,Hepatocellular adenoma with rupture,Choriocarcinoma,unrelated,1,prune_loss
da,d2_heldout200b,662,v0,decision_loss,s3_hit_s4_miss,Hemophagocytic Lymphohistiocytosis,Kikuchi-Fujimoto disease (KFD) complicated by hemophagocytosis and aseptic meningitis,unrelated,1,decision_loss
da,d2_seq100,129,B06,decision_loss,supervisor_drop,Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),Short-coupled polymorphic ventricular tachycardia/ventricular fibrillation (SC-PMVT/VF) variant of idiopathic ventricular fibrillation,parent_subtype,1,decision_loss
mcr,mcr_200b,480,impc,decision_loss,selector_drop,Transient Ischemic Attack,Myasthenia gravis,unrelated,1,decision_loss
mcr,mcr_v2,214,impc,decision_loss,selector_drop,Erythema Multiforme,Urticarial vasculitis,unrelated,1,decision_loss
da,d2_heldout200b,752,lite,decision_loss,selector_drop,Arteriovenous Malformation,Spontaneous spinal epidural hematoma (SSEH) with underlying vascular malformation,sibling_family,1,decision_loss
da,d2_seq100,188,e7,decision_loss,s3_hit_s4_miss,Catecholaminergic polymorphic ventricular tachycardia,Coronary Artery Disease (CAD) with Giant R-wave Syndrome,unrelated,1,decision_loss
mcr,mcr_v2,190,adaptive4v2,decision_loss,selector_drop,Primary adenocarcinoma of the bladder,Primary signet-ring cell carcinoma of the bladder,sibling_family,1,decision_loss
da,d2_heldout100,373,aphhm_c_v1,decision_loss,selector_drop,Anastrozole-induced crystalline maculopathy,Anastrozole-associated crystalline retinopathy,parent_subtype,1,decision_loss
mcr,mcr_200b,250,multistance,decision_loss,nominate_drop,Loeffler's syndrome,Toxocariasis,unrelated,1,decision_loss
da,d2_seq100,242,B06,decision_loss,supervisor_drop,Neovascular Age-related Macular Degeneration,Branch retinal vein occlusion with preretinal neovascularization,unrelated,0,decision_loss
mcr,mcr_200b,298,multistance,decision_loss,nominate_drop,Squamous cell carcinoma of the oropharynx,Warthin tumor,unrelated,1,decision_loss
mcr,mcr_v2,214,e7,decision_loss,s3_hit_s4_miss,Erythema annulare centrifugum,Urticarial vasculitis,unrelated,1,decision_loss
mcr,mcr_v1,19,multistance,decision_loss,nominate_drop,Malignant solitary fibrous tumor,Leiomyosarcoma,unrelated,1,decision_loss
da,d2_heldout200b,464,B06,decision_loss,supervisor_drop,Warfarin-induced skin necrosis,Pressure necrosis,sibling_family,0,decision_loss
mcr,mcr_v2,214,collapse3c,decision_loss,selector_drop,Erythema Multiforme,Urticarial vasculitis,unrelated,1,decision_loss
da,d2_heldout200b,544,v0,decision_loss,s3_hit_s4_miss,Ehlers-Danlos syndrome,Loeys-Dietz Syndrome 5 (LDS5) confirmed by pathogenic TGFB3 variant c.427A>T (p.Arg143*),parent_subtype,1,decision_loss
da,d2_heldout200b,496,B06,decision_loss,supervisor_drop,Primary Graft Dysfunction,Listeria monocytogenes infection in a liver transplant recipient,unrelated,0,decision_loss
da,d2_heldout200b,530,B06,decision_loss,supervisor_drop,Limited Systemic Sclerosis,Calcinosis cutis in Sjögren syndrome,unrelated,1,decision_loss
da,d2_seq100,11,forest,decision_loss,selector_drop,Orbital cellulitis,Acute dacryocystitis with secondary optic nerve injury,unrelated,1,decision_loss
da,d2_seq100,198,collapse3c,decision_loss,selector_drop,MSH6-Related Cancer Syndrome,Stage IA endometrial cancer,parent_subtype,1,decision_loss
mcr,mcr_200b,267,e7,decision_loss,s3_hit_s4_miss,Abscess,T-cell lymphoma,unrelated,1,decision_loss
da,d2_seq100,231,msplit,decision_loss,nominate_drop,Paraneoplastic pemphigus,Stage IV invasive renal urothelial carcinoma,unrelated,1,decision_loss
da,d2_heldout200b,555,v0,decision_loss,s3_hit_s4_miss,Starvation ketoacidosis,Euglycemic Diabetic Ketoacidosis,sibling_family,1,decision_loss
da,d2_heldout100,273,adaptive4v2,decision_loss,selector_drop,Allergic Contact Dermatitis,Very severe chronic atopic hand eczema with moderate to severe atopic dermatitis,sibling_family,1,decision_loss
mcr,mcr_200b,329,lite,decision_loss,selector_drop,Malignant transformation of a urachal remnant,urachal cyst,parent_subtype,1,decision_loss
da,d2_seq100,76,impc,decision_loss,selector_drop,Facial Nerve Schwannoma,Low-grade chondrosarcoma of the mastoid with facial nerve involvement,parent_subtype,1,decision_loss
mcr,mcr_v2,227,e7,decision_loss,s3_hit_s4_miss,Myocardial infarction with normal coronary arteries,pulmonary embolism,unrelated,1,decision_loss
da,d2_heldout200b,544,multistance,decision_loss,nominate_drop,Ehlers-Danlos Syndrome,Loeys-Dietz Syndrome 5 (LDS5) confirmed by pathogenic TGFB3 variant c.427A>T (p.Arg143*),parent_subtype,1,decision_loss
da,d2_seq100,11,multistance,decision_loss,nominate_drop,Orbital abscess,Acute dacryocystitis with secondary optic nerve injury,unrelated,1,decision_loss
da,d2_heldout200b,506,B06,decision_loss,supervisor_drop,Herpes Simplex Encephalitis,Neuro-Behçet Disease,unrelated,0,decision_loss
mcr,mcr_200b,315,B06,decision_loss,supervisor_drop,High-Grade Serous Carcinoma,Large cell neuroendocrine carcinoma,sibling_family,0,decision_loss
mcr,mcr_v2,162,msplit,decision_loss,nominate_drop,Orf virus infection,Milker's nodules,unrelated,1,decision_loss
mcr,mcr_200b,249,B06,decision_loss,supervisor_drop,Bronchiolitis obliterans syndrome,Organizing pneumonia,unrelated,0,decision_loss
da,d2_heldout200b,649,impc,decision_loss,selector_drop,Pulmonary Embolism,Severe COVID-19 pneumonia with ARDS in pregnancy requiring V-V ECMO support,unrelated,1,decision_loss
da,d2_seq100,151,multistance,decision_loss,nominate_drop,Atrial Fibrillation with Embolic Stroke,Large middle cerebral artery territory embolic stroke,sibling_family,1,decision_loss
da,d2_seq100,74,v0,decision_loss,s3_hit_s4_miss,Hidradenoma papilliferum,Nonkeratinizing squamous cell carcinoma of the nasal mucosa with Schneiderian features,unrelated,1,decision_loss
mcr,mcr_200b,406,lite,decision_loss,selector_drop,Ocular melanocytosis,Sturge-Weber syndrome,unrelated,1,decision_loss
mcr,mcr_v2,156,forest,decision_loss,selector_drop,Renal Cell Carcinoma,Angiomyolipoma,unrelated,1,decision_loss
da,d2_heldout200b,701,e7,decision_loss,s3_hit_s4_miss,Pseudoaneurysm of the inferior mesenteric artery,Arteriocolonic fistula of Inferior Mesenteric Artery Aneurysm (IMAA),parent_subtype,1,decision_loss
mcr,mcr_200b,356,multistance,decision_loss,final_drop,Ewing's Sarcoma,Synovial sarcoma,sibling_family,1,decision_loss
da,d2_heldout200b,560,forest,decision_loss,selector_drop,Atrial Fibrillation,Graves' disease with thyroid storm,unrelated,1,decision_loss
da,d2_heldout200b,461,v0,decision_loss,s3_hit_s4_miss,Primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma,Cutaneous pseudolymphoma arising as Wolf's post-herpetic isotopic response,parent_subtype,1,decision_loss
da,d2_heldout200b,549,collapse3c,decision_loss,selector_drop,Rapidly Progressive Glomerulonephritis,Systemic Lupus Erythematosus with IgA Nephropathy and Acute Progressive Glomerulonephritis,sibling_family,1,decision_loss
mcr,mcr_v1,104,adaptive4v2,decision_loss,selector_drop,Cholesteatoma,Langerhans cell histiocytosis,unrelated,1,decision_loss
da,d2_seq100,119,impc,decision_loss,selector_drop,Darier's disease,Eruptive pruritic papular porokeratosis (EPPP),unrelated,1,decision_loss
mcr,mcr_v1,72,impc,decision_loss,selector_drop,Sarcoidosis,abdominal tuberculosis,unrelated,1,decision_loss
da,d2_seq100,219,e7,decision_loss,s3_hit_s4_miss,Nevoid Basal Cell Carcinoma Syndrome,Multiple hereditary infundibulocystic basal cell carcinoma syndrome (MHIBCC),parent_subtype,1,decision_loss
mcr,mcr_v1,13,impc,decision_loss,selector_drop,dentigerous cyst,Compound odontoma,unrelated,1,decision_loss
da,d2_seq100,174,B06,decision_loss,supervisor_drop,Intravascular Large B-Cell Lymphoma,"Intravascular NK/T-cell lymphoma, nasal type",parent_subtype,0,decision_loss
mcr,mcr_200b,374,lite,decision_loss,selector_drop,lung cancer,cryptogenic organizing pneumonia,unrelated,1,decision_loss
da,d2_heldout200b,479,multistance,interface_loss,mapper_or_judge_gap,Infectious Mononucleosis,Epstein-Barr virus (EBV) hepatitis,unrelated,1,interface_loss
da,d2_seq100,67,B07,interface_loss,diagnose_miss_but_scored_ok,Infection (sepsis),Septic shock with anuric kidney failure,unrelated,1,interface_loss
da,d2_heldout100,399,APHHM,interface_loss,judge_miss,Heart Failure with Reduced Ejection Fraction,Atrioventricular nodal reentrant tachycardia (AVNRT),unrelated,0,interface_loss
da,d2_heldout200b,542,B07,interface_loss,diagnose_miss_but_scored_ok,Cytomegalovirus (CMV) colitis,Cytomegalovirus (CMV) Proctitis,parent_subtype,1,interface_loss
mcr,mcr_v2,237,B06,interface_loss,judge_miss,Maxillary Exostosis,Peripheral odontoma,unrelated,0,interface_loss
da,d2_heldout200b,567,B07,interface_loss,diagnose_miss_but_scored_ok,Neisseria species bacteremia,Neisseria sicca bacteremia,sibling_family,1,interface_loss
da,d2_seq100,100,B06,interface_loss,supervisor_miss_but_scored_ok,Cutaneous metastasis of breast carcinoma,Telangiectatic metastatic breast carcinoma (TMBC),parent_subtype,1,interface_loss
da,d2_heldout200b,774,B06,interface_loss,supervisor_miss_but_scored_ok,Klebsiella pneumoniae sepsis,"Klebsiella pneumoniae invasive syndrome with multiple organ involvement (liver, lungs, kidneys, and brain) complicated by extensive cerebral infarction and pneumocephalus",parent_subtype,1,interface_loss
da,d2_heldout100,399,B06,interface_loss,supervisor_miss_but_scored_ok,Supraventricular Tachycardia,Atrioventricular nodal reentrant tachycardia (AVNRT),parent_subtype,1,interface_loss
da,d2_heldout200b,577,forest,interface_loss,mapper_or_judge_gap,Heart Failure,Hyperviscosity Syndrome in Rheumatoid Arthritis,unrelated,1,interface_loss
da,d2_heldout100,409,aphhm_c_v1,interface_loss,mapper_or_judge_gap,Syphilitic Uveitis,Bilateral syphilitic panuveitis with neurosyphilis,parent_subtype,1,interface_loss
da,d2_heldout200b,769,multistance,interface_loss,mapper_or_judge_gap,Hereditary Leiomyomatosis and Renal Cell Cancer (HLRCC),FH-deficient uterine leiomyoma,unrelated,1,interface_loss
da,d2_seq100,243,multistance,interface_loss,mapper_or_judge_gap,Erythema multiforme,Juvenile spring eruption (JSE) associated with parvovirus B19 infection,unrelated,1,interface_loss
da,d2_seq100,158,B06,interface_loss,supervisor_miss_but_scored_ok,Pilomatrixoma,Bullous pilomatricoma,unrelated,1,interface_loss
da,d2_heldout200b,628,B06,interface_loss,supervisor_miss_but_scored_ok,Acute Myocardial Infarction with Acute Pericarditis,Peri-infarction pericarditis (PIP),sibling_family,1,interface_loss
da,d2_heldout100,428,collapse3c,interface_loss,mapper_or_judge_gap,Alcoholic Cardiomyopathy,Alcohol-induced Prinzmetal variant angina,unrelated,1,interface_loss
mcr,mcr_200b,280,B06,interface_loss,judge_miss,Invasive Ductal Carcinoma,Invasive papillary carcinoma,sibling_family,0,interface_loss
da,d2_heldout100,290,B07,interface_loss,diagnose_miss_but_scored_ok,Coronary Artery Disease (CAD) with Angina Pectoris,Wellens syndrome with critical left anterior descending coronary artery stenosis,parent_subtype,1,interface_loss
