experiment_id,arm_id,scope,intention_n,served_n,unserved_n,served_rate,clinical_relation_counts_served,safe_exact_n_ita,safe_exact_rate_ita,safe_exact_n_served,safe_exact_rate_served,legacy_chain_n_ita,legacy_chain_rate_ita,legacy_chain_n_served,legacy_chain_rate_served,clinical_complete_n_ita,clinical_complete_rate_ita,clinical_complete_n_served,clinical_complete_rate_served,compatible_partial_n_ita,compatible_partial_rate_ita,compatible_partial_n_served,compatible_partial_rate_served,complete_or_compatible_partial_n_ita,complete_or_compatible_partial_rate_ita,complete_or_compatible_partial_n_served,complete_or_compatible_partial_rate_served,task_evaluable_n_ita,task_evaluable_n_served,task_coverage_ita,task_coverage_served,task_n_ita,task_rate_ita,task_rate_observed,task_n_served,task_rate_served,task_rate_served_observed
E1,ab02_flat__options_shuffled_blocks,DA,100,99,1,0.99,"{""complete_equivalent"": 62, ""conflicting_subtype_or_scope"": 10, ""manifestation_or_related"": 2, ""not_equivalent"": 2, ""partial_parent_or_component"": 20, ""uncertain"": 3}",46,0.46,46,0.46464646464646464,52,0.52,52,0.5252525252525253,62,0.62,62,0.6262626262626263,20,0.2,20,0.20202020202020202,82,0.82,82,0.8282828282828283,77,76,0.77,0.7676767676767676,47,,0.6103896103896104,47,,0.618421052631579
E1,ab02_flat__options_shuffled_blocks,MCR,100,100,0,1.0,"{""complete_equivalent"": 58, ""conflicting_subtype_or_scope"": 14, ""manifestation_or_related"": 1, ""not_equivalent"": 9, ""partial_parent_or_component"": 11, ""uncertain"": 7}",28,0.28,28,0.28,60,0.6,60,0.6,58,0.58,58,0.58,11,0.11,11,0.11,69,0.69,69,0.69,53,53,0.53,0.53,24,,0.4528301886792453,24,,0.4528301886792453
E1,aphhm_hierarchical__clean_fixed,ALL,200,189,11,0.945,"{""complete_equivalent"": 38, ""conflicting_subtype_or_scope"": 45, ""manifestation_or_related"": 8, ""not_equivalent"": 28, ""partial_parent_or_component"": 65, ""uncertain"": 5}",16,0.08,16,0.08465608465608465,44,0.22,44,0.2328042328042328,38,0.19,38,0.20105820105820105,65,0.325,65,0.3439153439153439,103,0.515,103,0.544973544973545,130,119,0.65,0.6296296296296297,39,,0.3,39,,0.3277310924369748
E1,aphhm_hierarchical__clean_fixed,DA,100,95,5,0.95,"{""complete_equivalent"": 14, ""conflicting_subtype_or_scope"": 23, ""manifestation_or_related"": 3, ""not_equivalent"": 9, ""partial_parent_or_component"": 46}",5,0.05,5,0.05263157894736842,23,0.23,23,0.24210526315789474,14,0.14,14,0.14736842105263157,46,0.46,46,0.4842105263157895,60,0.6,60,0.631578947368421,74,69,0.74,0.7263157894736842,22,,0.2972972972972973,22,,0.3188405797101449
E1,aphhm_hierarchical__clean_fixed,MCR,100,94,6,0.94,"{""complete_equivalent"": 24, ""conflicting_subtype_or_scope"": 22, ""manifestation_or_related"": 5, ""not_equivalent"": 19, ""partial_parent_or_component"": 19, ""uncertain"": 5}",11,0.11,11,0.11702127659574468,21,0.21,21,0.22340425531914893,24,0.24,24,0.2553191489361702,19,0.19,19,0.20212765957446807,43,0.43,43,0.4574468085106383,56,50,0.56,0.5319148936170213,17,,0.30357142857142855,17,,0.34
E1,aphhm_hierarchical__clean_shuffled_blocks,ALL,200,189,11,0.945,"{""complete_equivalent"": 43, ""conflicting_subtype_or_scope"": 41, ""manifestation_or_related"": 11, ""not_equivalent"": 29, ""partial_parent_or_component"": 58, ""uncertain"": 7}",17,0.085,17,0.08994708994708994,49,0.245,49,0.25925925925925924,43,0.215,43,0.2275132275132275,58,0.29,58,0.30687830687830686,101,0.505,101,0.5343915343915344,117,106,0.585,0.5608465608465608,29,,0.24786324786324787,29,,0.27358490566037735
E1,aphhm_hierarchical__clean_shuffled_blocks,DA,100,93,7,0.93,"{""complete_equivalent"": 15, ""conflicting_subtype_or_scope"": 18, ""manifestation_or_related"": 6, ""not_equivalent"": 9, ""partial_parent_or_component"": 42, ""uncertain"": 3}",5,0.05,5,0.053763440860215055,23,0.23,23,0.24731182795698925,15,0.15,15,0.16129032258064516,42,0.42,42,0.45161290322580644,57,0.57,57,0.6129032258064516,61,54,0.61,0.5806451612903226,17,,0.2786885245901639,17,,0.3148148148148148
E1,aphhm_hierarchical__clean_shuffled_blocks,MCR,100,96,4,0.96,"{""complete_equivalent"": 28, ""conflicting_subtype_or_scope"": 23, ""manifestation_or_related"": 5, ""not_equivalent"": 20, ""partial_parent_or_component"": 16, ""uncertain"": 4}",12,0.12,12,0.125,26,0.26,26,0.2708333333333333,28,0.28,28,0.2916666666666667,16,0.16,16,0.16666666666666666,44,0.44,44,0.4583333333333333,56,52,0.56,0.5416666666666666,12,,0.21428571428571427,12,,0.23076923076923078
E1,aphhm_hierarchical__options_fixed,ALL,200,187,13,0.935,"{""complete_equivalent"": 122, ""conflicting_subtype_or_scope"": 14, ""manifestation_or_related"": 3, ""not_equivalent"": 7, ""partial_parent_or_component"": 35, ""uncertain"": 6}",94,0.47,94,0.5026737967914439,117,0.585,117,0.6256684491978609,122,0.61,122,0.6524064171122995,35,0.175,35,0.18716577540106952,157,0.785,157,0.839572192513369,140,127,0.7,0.679144385026738,85,,0.6071428571428571,85,,0.6692913385826772
E1,aphhm_hierarchical__options_fixed,DA,100,100,0,1.0,"{""complete_equivalent"": 64, ""conflicting_subtype_or_scope"": 7, ""manifestation_or_related"": 2, ""partial_parent_or_component"": 25, ""uncertain"": 2}",54,0.54,54,0.54,63,0.63,63,0.63,64,0.64,64,0.64,25,0.25,25,0.25,89,0.89,89,0.89,78,78,0.78,0.78,55,,0.7051282051282052,55,,0.7051282051282052
E1,aphhm_hierarchical__options_fixed,MCR,100,87,13,0.87,"{""complete_equivalent"": 58, ""conflicting_subtype_or_scope"": 7, ""manifestation_or_related"": 1, ""not_equivalent"": 7, ""partial_parent_or_component"": 10, ""uncertain"": 4}",40,0.4,40,0.45977011494252873,54,0.54,54,0.6206896551724138,58,0.58,58,0.6666666666666666,10,0.1,10,0.11494252873563218,68,0.68,68,0.7816091954022989,62,49,0.62,0.5632183908045977,30,,0.4838709677419355,30,,0.6122448979591837
E1,aphhm_hierarchical__options_shuffled_blocks,ALL,200,176,24,0.88,"{""complete_equivalent"": 100, ""conflicting_subtype_or_scope"": 13, ""manifestation_or_related"": 4, ""not_equivalent"": 14, ""partial_parent_or_component"": 42, ""uncertain"": 3}",58,0.29,58,0.32954545454545453,91,0.455,91,0.5170454545454546,100,0.5,100,0.5681818181818182,42,0.21,42,0.23863636363636365,142,0.71,142,0.8068181818181818,132,108,0.66,0.6136363636363636,64,,0.48484848484848486,64,,0.5925925925925926
E1,aphhm_hierarchical__options_shuffled_blocks,DA,100,90,10,0.9,"{""complete_equivalent"": 47, ""conflicting_subtype_or_scope"": 6, ""manifestation_or_related"": 2, ""not_equivalent"": 3, ""partial_parent_or_component"": 31, ""uncertain"": 1}",30,0.3,30,0.3333333333333333,46,0.46,46,0.5111111111111111,47,0.47,47,0.5222222222222223,31,0.31,31,0.34444444444444444,78,0.78,78,0.8666666666666667,74,64,0.74,0.7111111111111111,39,,0.527027027027027,39,,0.609375
E1,aphhm_hierarchical__options_shuffled_blocks,MCR,100,86,14,0.86,"{""complete_equivalent"": 53, ""conflicting_subtype_or_scope"": 7, ""manifestation_or_related"": 2, ""not_equivalent"": 11, ""partial_parent_or_component"": 11, ""uncertain"": 2}",28,0.28,28,0.32558139534883723,45,0.45,45,0.5232558139534884,53,0.53,53,0.6162790697674418,11,0.11,11,0.12790697674418605,64,0.64,64,0.7441860465116279,58,44,0.58,0.5116279069767442,25,,0.43103448275862066,25,,0.5681818181818182
E10,isolated_rrf,ALL,400,400,0,1.0,"{""complete_equivalent"": 36, ""conflicting_subtype_or_scope"": 77, ""manifestation_or_related"": 46, ""not_equivalent"": 124, ""partial_parent_or_component"": 115, ""uncertain"": 2}",21,0.0525,21,0.0525,80,0.2,80,0.2,36,0.09,36,0.09,115,0.2875,115,0.2875,151,0.3775,151,0.3775,243,243,0.6075,0.6075,57,,0.2345679012345679,57,,0.2345679012345679
E10,isolated_rrf,DA,200,200,0,1.0,"{""complete_equivalent"": 2, ""conflicting_subtype_or_scope"": 41, ""manifestation_or_related"": 19, ""not_equivalent"": 52, ""partial_parent_or_component"": 85, ""uncertain"": 1}",0,0.0,0,0.0,45,0.225,45,0.225,2,0.01,2,0.01,85,0.425,85,0.425,87,0.435,87,0.435,132,132,0.66,0.66,29,,0.2196969696969697,29,,0.2196969696969697
E10,isolated_rrf,MCR,200,200,0,1.0,"{""complete_equivalent"": 34, ""conflicting_subtype_or_scope"": 36, ""manifestation_or_related"": 27, ""not_equivalent"": 72, ""partial_parent_or_component"": 30, ""uncertain"": 1}",21,0.105,21,0.105,35,0.175,35,0.175,34,0.17,34,0.17,30,0.15,30,0.15,64,0.32,64,0.32,111,111,0.555,0.555,28,,0.25225225225225223,28,,0.25225225225225223
E10,isolated_supervisor,ALL,400,400,0,1.0,"{""complete_equivalent"": 37, ""conflicting_subtype_or_scope"": 83, ""manifestation_or_related"": 45, ""not_equivalent"": 101, ""partial_parent_or_component"": 131, ""uncertain"": 3}",22,0.055,22,0.055,86,0.215,86,0.215,37,0.0925,37,0.0925,131,0.3275,131,0.3275,168,0.42,168,0.42,246,246,0.615,0.615,59,,0.23983739837398374,59,,0.23983739837398374
E10,isolated_supervisor,DA,200,200,0,1.0,"{""complete_equivalent"": 3, ""conflicting_subtype_or_scope"": 42, ""manifestation_or_related"": 19, ""not_equivalent"": 38, ""partial_parent_or_component"": 96, ""uncertain"": 2}",0,0.0,0,0.0,47,0.235,47,0.235,3,0.015,3,0.015,96,0.48,96,0.48,99,0.495,99,0.495,136,136,0.68,0.68,28,,0.20588235294117646,28,,0.20588235294117646
E10,isolated_supervisor,MCR,200,200,0,1.0,"{""complete_equivalent"": 34, ""conflicting_subtype_or_scope"": 41, ""manifestation_or_related"": 26, ""not_equivalent"": 63, ""partial_parent_or_component"": 35, ""uncertain"": 1}",22,0.11,22,0.11,39,0.195,39,0.195,34,0.17,34,0.17,35,0.175,35,0.175,69,0.345,69,0.345,110,110,0.55,0.55,31,,0.2818181818181818,31,,0.2818181818181818
E10,sequential_rrf,ALL,400,400,0,1.0,"{""complete_equivalent"": 41, ""conflicting_subtype_or_scope"": 84, ""manifestation_or_related"": 50, ""not_equivalent"": 88, ""partial_parent_or_component"": 134, ""uncertain"": 3}",26,0.065,26,0.065,90,0.225,90,0.225,41,0.1025,41,0.1025,134,0.335,134,0.335,175,0.4375,175,0.4375,237,237,0.5925,0.5925,61,,0.25738396624472576,61,,0.25738396624472576
E10,sequential_rrf,DA,200,200,0,1.0,"{""complete_equivalent"": 3, ""conflicting_subtype_or_scope"": 42, ""manifestation_or_related"": 21, ""not_equivalent"": 31, ""partial_parent_or_component"": 101, ""uncertain"": 2}",0,0.0,0,0.0,49,0.245,49,0.245,3,0.015,3,0.015,101,0.505,101,0.505,104,0.52,104,0.52,129,129,0.645,0.645,28,,0.21705426356589147,28,,0.21705426356589147
E10,sequential_rrf,MCR,200,200,0,1.0,"{""complete_equivalent"": 38, ""conflicting_subtype_or_scope"": 42, ""manifestation_or_related"": 29, ""not_equivalent"": 57, ""partial_parent_or_component"": 33, ""uncertain"": 1}",26,0.13,26,0.13,41,0.205,41,0.205,38,0.19,38,0.19,33,0.165,33,0.165,71,0.355,71,0.355,108,108,0.54,0.54,33,,0.3055555555555556,33,,0.3055555555555556
E10,sequential_supervisor,ALL,400,400,0,1.0,"{""complete_equivalent"": 44, ""conflicting_subtype_or_scope"": 83, ""manifestation_or_related"": 52, ""not_equivalent"": 84, ""partial_parent_or_component"": 134, ""uncertain"": 3}",26,0.065,26,0.065,88,0.22,88,0.22,44,0.11,44,0.11,134,0.335,134,0.335,178,0.445,178,0.445,235,235,0.5875,0.5875,60,,0.2553191489361702,60,,0.2553191489361702
E10,sequential_supervisor,DA,200,200,0,1.0,"{""complete_equivalent"": 5, ""conflicting_subtype_or_scope"": 42, ""manifestation_or_related"": 24, ""not_equivalent"": 26, ""partial_parent_or_component"": 101, ""uncertain"": 2}",0,0.0,0,0.0,48,0.24,48,0.24,5,0.025,5,0.025,101,0.505,101,0.505,106,0.53,106,0.53,129,129,0.645,0.645,27,,0.20930232558139536,27,,0.20930232558139536
E10,sequential_supervisor,MCR,200,200,0,1.0,"{""complete_equivalent"": 39, ""conflicting_subtype_or_scope"": 41, ""manifestation_or_related"": 28, ""not_equivalent"": 58, ""partial_parent_or_component"": 33, ""uncertain"": 1}",26,0.13,26,0.13,40,0.2,40,0.2,39,0.195,39,0.195,33,0.165,33,0.165,72,0.36,72,0.36,106,106,0.53,0.53,33,,0.3113207547169811,33,,0.3113207547169811
E11,hard_negative_refine_off,ALL,400,400,0,1.0,"{""complete_equivalent"": 49, ""conflicting_subtype_or_scope"": 91, ""manifestation_or_related"": 38, ""not_equivalent"": 94, ""partial_parent_or_component"": 125, ""uncertain"": 3}",27,0.0675,27,0.0675,78,0.195,78,0.195,49,0.1225,49,0.1225,125,0.3125,125,0.3125,174,0.435,174,0.435,230,230,0.575,0.575,61,,0.26521739130434785,61,,0.26521739130434785
E11,hard_negative_refine_off,DA,200,200,0,1.0,"{""complete_equivalent"": 6, ""conflicting_subtype_or_scope"": 47, ""manifestation_or_related"": 15, ""not_equivalent"": 36, ""partial_parent_or_component"": 95, ""uncertain"": 1}",2,0.01,2,0.01,37,0.185,37,0.185,6,0.03,6,0.03,95,0.475,95,0.475,101,0.505,101,0.505,123,123,0.615,0.615,27,,0.21951219512195122,27,,0.21951219512195122
E11,hard_negative_refine_off,MCR,200,200,0,1.0,"{""complete_equivalent"": 43, ""conflicting_subtype_or_scope"": 44, ""manifestation_or_related"": 23, ""not_equivalent"": 58, ""partial_parent_or_component"": 30, ""uncertain"": 2}",25,0.125,25,0.125,41,0.205,41,0.205,43,0.215,43,0.215,30,0.15,30,0.15,73,0.365,73,0.365,107,107,0.535,0.535,34,,0.3177570093457944,34,,0.3177570093457944
E11,hard_negative_refine_on,ALL,400,400,0,1.0,"{""complete_equivalent"": 51, ""conflicting_subtype_or_scope"": 91, ""manifestation_or_related"": 40, ""not_equivalent"": 79, ""partial_parent_or_component"": 137, ""uncertain"": 2}",27,0.0675,27,0.0675,74,0.185,74,0.185,51,0.1275,51,0.1275,137,0.3425,137,0.3425,188,0.47,188,0.47,225,225,0.5625,0.5625,67,,0.29777777777777775,67,,0.29777777777777775
E11,hard_negative_refine_on,DA,200,200,0,1.0,"{""complete_equivalent"": 7, ""conflicting_subtype_or_scope"": 48, ""manifestation_or_related"": 17, ""not_equivalent"": 26, ""partial_parent_or_component"": 102}",2,0.01,2,0.01,34,0.17,34,0.17,7,0.035,7,0.035,102,0.51,102,0.51,109,0.545,109,0.545,120,120,0.6,0.6,30,,0.25,30,,0.25
E11,hard_negative_refine_on,MCR,200,200,0,1.0,"{""complete_equivalent"": 44, ""conflicting_subtype_or_scope"": 43, ""manifestation_or_related"": 23, ""not_equivalent"": 53, ""partial_parent_or_component"": 35, ""uncertain"": 2}",25,0.125,25,0.125,40,0.2,40,0.2,44,0.22,44,0.22,35,0.175,35,0.175,79,0.395,79,0.395,105,105,0.525,0.525,37,,0.3523809523809524,37,,0.3523809523809524
E11,off_refine_off,ALL,400,400,0,1.0,"{""complete_equivalent"": 53, ""conflicting_subtype_or_scope"": 93, ""manifestation_or_related"": 41, ""not_equivalent"": 89, ""partial_parent_or_component"": 122, ""uncertain"": 2}",29,0.0725,29,0.0725,76,0.19,76,0.19,53,0.1325,53,0.1325,122,0.305,122,0.305,175,0.4375,175,0.4375,225,225,0.5625,0.5625,58,,0.2577777777777778,58,,0.2577777777777778
E11,off_refine_off,DA,200,200,0,1.0,"{""complete_equivalent"": 8, ""conflicting_subtype_or_scope"": 49, ""manifestation_or_related"": 15, ""not_equivalent"": 32, ""partial_parent_or_component"": 95, ""uncertain"": 1}",2,0.01,2,0.01,35,0.175,35,0.175,8,0.04,8,0.04,95,0.475,95,0.475,103,0.515,103,0.515,126,126,0.63,0.63,25,,0.1984126984126984,25,,0.1984126984126984
E11,off_refine_off,MCR,200,200,0,1.0,"{""complete_equivalent"": 45, ""conflicting_subtype_or_scope"": 44, ""manifestation_or_related"": 26, ""not_equivalent"": 57, ""partial_parent_or_component"": 27, ""uncertain"": 1}",27,0.135,27,0.135,41,0.205,41,0.205,45,0.225,45,0.225,27,0.135,27,0.135,72,0.36,72,0.36,99,99,0.495,0.495,33,,0.3333333333333333,33,,0.3333333333333333
E11,off_refine_on,ALL,400,400,0,1.0,"{""complete_equivalent"": 53, ""conflicting_subtype_or_scope"": 95, ""manifestation_or_related"": 35, ""not_equivalent"": 74, ""partial_parent_or_component"": 139, ""uncertain"": 4}",27,0.0675,27,0.0675,76,0.19,76,0.19,53,0.1325,53,0.1325,139,0.3475,139,0.3475,192,0.48,192,0.48,231,231,0.5775,0.5775,65,,0.2813852813852814,65,,0.2813852813852814
E11,off_refine_on,DA,200,200,0,1.0,"{""complete_equivalent"": 9, ""conflicting_subtype_or_scope"": 50, ""manifestation_or_related"": 11, ""not_equivalent"": 23, ""partial_parent_or_component"": 106, ""uncertain"": 1}",2,0.01,2,0.01,36,0.18,36,0.18,9,0.045,9,0.045,106,0.53,106,0.53,115,0.575,115,0.575,127,127,0.635,0.635,29,,0.2283464566929134,29,,0.2283464566929134
E11,off_refine_on,MCR,200,200,0,1.0,"{""complete_equivalent"": 44, ""conflicting_subtype_or_scope"": 45, ""manifestation_or_related"": 24, ""not_equivalent"": 51, ""partial_parent_or_component"": 33, ""uncertain"": 3}",25,0.125,25,0.125,40,0.2,40,0.2,44,0.22,44,0.22,33,0.165,33,0.165,77,0.385,77,0.385,104,104,0.52,0.52,36,,0.34615384615384615,36,,0.34615384615384615
E11,random_refine_off,ALL,400,400,0,1.0,"{""complete_equivalent"": 48, ""conflicting_subtype_or_scope"": 89, ""manifestation_or_related"": 39, ""not_equivalent"": 93, ""partial_parent_or_component"": 129, ""uncertain"": 2}",24,0.06,24,0.06,77,0.1925,77,0.1925,48,0.12,48,0.12,129,0.3225,129,0.3225,177,0.4425,177,0.4425,232,232,0.58,0.58,62,,0.2672413793103448,62,,0.2672413793103448
E11,random_refine_off,DA,200,200,0,1.0,"{""complete_equivalent"": 6, ""conflicting_subtype_or_scope"": 45, ""manifestation_or_related"": 14, ""not_equivalent"": 34, ""partial_parent_or_component"": 100, ""uncertain"": 1}",1,0.005,1,0.005,38,0.19,38,0.19,6,0.03,6,0.03,100,0.5,100,0.5,106,0.53,106,0.53,124,124,0.62,0.62,28,,0.22580645161290322,28,,0.22580645161290322
E11,random_refine_off,MCR,200,200,0,1.0,"{""complete_equivalent"": 42, ""conflicting_subtype_or_scope"": 44, ""manifestation_or_related"": 25, ""not_equivalent"": 59, ""partial_parent_or_component"": 29, ""uncertain"": 1}",23,0.115,23,0.115,39,0.195,39,0.195,42,0.21,42,0.21,29,0.145,29,0.145,71,0.355,71,0.355,108,108,0.54,0.54,34,,0.3148148148148148,34,,0.3148148148148148
E11,random_refine_on,ALL,400,400,0,1.0,"{""complete_equivalent"": 51, ""conflicting_subtype_or_scope"": 90, ""manifestation_or_related"": 39, ""not_equivalent"": 83, ""partial_parent_or_component"": 134, ""uncertain"": 3}",25,0.0625,25,0.0625,75,0.1875,75,0.1875,51,0.1275,51,0.1275,134,0.335,134,0.335,185,0.4625,185,0.4625,229,229,0.5725,0.5725,67,,0.2925764192139738,67,,0.2925764192139738
E11,random_refine_on,DA,200,200,0,1.0,"{""complete_equivalent"": 6, ""conflicting_subtype_or_scope"": 45, ""manifestation_or_related"": 14, ""not_equivalent"": 31, ""partial_parent_or_component"": 103, ""uncertain"": 1}",1,0.005,1,0.005,36,0.18,36,0.18,6,0.03,6,0.03,103,0.515,103,0.515,109,0.545,109,0.545,124,124,0.62,0.62,30,,0.24193548387096775,30,,0.24193548387096775
E11,random_refine_on,MCR,200,200,0,1.0,"{""complete_equivalent"": 45, ""conflicting_subtype_or_scope"": 45, ""manifestation_or_related"": 25, ""not_equivalent"": 52, ""partial_parent_or_component"": 31, ""uncertain"": 2}",24,0.12,24,0.12,39,0.195,39,0.195,45,0.225,45,0.225,31,0.155,31,0.155,76,0.38,76,0.38,105,105,0.525,0.525,37,,0.3523809523809524,37,,0.3523809523809524
E11,relevant_refine_off,ALL,400,400,0,1.0,"{""complete_equivalent"": 48, ""conflicting_subtype_or_scope"": 90, ""manifestation_or_related"": 43, ""not_equivalent"": 89, ""partial_parent_or_component"": 127, ""uncertain"": 3}",24,0.06,24,0.06,78,0.195,78,0.195,48,0.12,48,0.12,127,0.3175,127,0.3175,175,0.4375,175,0.4375,216,216,0.54,0.54,55,,0.25462962962962965,55,,0.25462962962962965
E11,relevant_refine_off,DA,200,200,0,1.0,"{""complete_equivalent"": 7, ""conflicting_subtype_or_scope"": 43, ""manifestation_or_related"": 19, ""not_equivalent"": 33, ""partial_parent_or_component"": 98}",1,0.005,1,0.005,39,0.195,39,0.195,7,0.035,7,0.035,98,0.49,98,0.49,105,0.525,105,0.525,116,116,0.58,0.58,24,,0.20689655172413793,24,,0.20689655172413793
E11,relevant_refine_off,MCR,200,200,0,1.0,"{""complete_equivalent"": 41, ""conflicting_subtype_or_scope"": 47, ""manifestation_or_related"": 24, ""not_equivalent"": 56, ""partial_parent_or_component"": 29, ""uncertain"": 3}",23,0.115,23,0.115,39,0.195,39,0.195,41,0.205,41,0.205,29,0.145,29,0.145,70,0.35,70,0.35,100,100,0.5,0.5,31,,0.31,31,,0.31
E11,relevant_refine_on,ALL,400,400,0,1.0,"{""complete_equivalent"": 49, ""conflicting_subtype_or_scope"": 87, ""manifestation_or_related"": 41, ""not_equivalent"": 84, ""partial_parent_or_component"": 133, ""uncertain"": 6}",23,0.0575,23,0.0575,77,0.1925,77,0.1925,49,0.1225,49,0.1225,133,0.3325,133,0.3325,182,0.455,182,0.455,216,216,0.54,0.54,61,,0.2824074074074074,61,,0.2824074074074074
