dataset,slice,case_id,gold,layer,e7_fail_code,e7_locus,APHHM_fail_code,vig_chars,vig_words,vig_sents,vig_lab_hits,vig_diff_hits,vig_lab_dens,vig_diff_dens,vig_histo_dens,vig_imaging_dens,vig_course_dens,vig_histo_hits,vig_imaging_hits,gold_chars,gold_words,gold_has_eponym,gold_has_subtype,gold_has_paren,gold_comma_parts,n_options,gold_in_options,max_opt_gold_overlap,n_opts_near_gold,n_option_near_pairs,max_distractor_gold_jaccard,champion_option_echo,e7_s2_n,e7_s3_n,e7_s2_rank_gold,e7_s2_near_n,e7_s3_near_n,e7_champ_gold_jaccard,e7_mapper_rescue,e7_correct,B06_correct,B07_correct
mcr,mcr_v1,28,Toxic epidermal necrolysis,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,2168,298,26,3,1,1.006711409395973,0.33557046979865773,0.33557046979865773,0.0,2.348993288590604,1,0,26,3,0,0,0,1,0,,,,0,0.0,,52.0,5.0,2.0,1.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,29,cerebral venous thrombosis,,s2_miss,s2_miss,aphhm_tree_miss,2115,300,20,1,6,0.33333333333333337,2.0,0.0,1.3333333333333333,4.0,0,4,26,3,0,0,0,1,0,,,,0,0.0,,45.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,30,Cronkhite-Canada syndrome,,s2_miss,s2_miss,aphhm_tree_miss,1180,165,23,1,0,0.6060606060606061,0.0,0.0,0.0,3.0303030303030303,0,0,25,3,1,0,0,1,0,,,,0,0.0,,49.0,5.0,,17.0,1.0,0.2,0,0,0,0
mcr,mcr_v1,33,Dyke-Davidoff-Masson syndrome,e7_win_recall,ok,ok,aphhm_ok,1728,229,21,1,3,0.43668122270742354,1.3100436681222707,0.0,0.4366812227074236,2.183406113537118,0,1,29,4,1,0,0,1,0,,,,0,0.0,,52.0,5.0,17.0,5.0,1.0,1.0,0,1,0,0
mcr,mcr_v1,34,Tonsillolith,,ok,ok,aphhm_ok,1232,177,18,1,0,0.5649717514124294,0.0,0.0,0.5649717514124294,2.2598870056497176,0,1,12,1,0,0,0,1,0,,,,0,0.0,,48.0,5.0,1.0,0.0,0.0,0.0,0,1,1,1
mcr,mcr_v1,35,Petersen’s hernia,,s2_miss,s2_miss,aphhm_tree_miss,2152,301,29,5,3,1.6611295681063125,0.9966777408637874,0.0,1.3289036544850499,1.6611295681063123,0,4,17,2,0,0,0,1,0,,,,0,0.0,,47.0,5.0,,2.0,1.0,0.333,0,0,0,0
mcr,mcr_v1,38,trigeminal schwannoma,e7_win_rank,ok,ok,aphhm_prune,2062,277,23,2,2,0.7220216606498195,0.7220216606498195,0.0,1.444043321299639,1.444043321299639,0,4,21,2,0,0,0,1,0,,,,0,0.0,,49.0,5.0,10.0,2.0,1.0,1.0,0,1,0,0
mcr,mcr_v1,39,mesalazine-induced myocarditis,,ok,ok,aphhm_ok,2465,366,32,2,3,0.546448087431694,0.819672131147541,0.0,0.546448087431694,2.459016393442623,0,2,30,3,0,0,0,1,0,,,,0,0.0,,47.0,5.0,2.0,2.0,2.0,0.333,0,1,1,1
mcr,mcr_v1,40,hepatocellular carcinoma,e7_win_rank,ok,ok,aphhm_judge_miss,1611,230,28,5,1,2.1739130434782608,0.43478260869565216,0.0,1.3043478260869565,2.1739130434782608,0,3,24,2,0,0,0,1,0,,,,0,0.0,,45.0,5.0,1.0,0.0,0.0,0.667,0,1,0,0
mcr,mcr_v1,41,Gastric lipoma,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1716,247,19,4,3,1.6194331983805668,1.214574898785425,0.4048582995951417,0.8097165991902834,2.0242914979757085,1,2,14,2,0,0,0,1,0,,,,0,0.0,,42.0,5.0,6.0,24.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,42,Keratocystic odontogenic tumour,,s2_miss,s2_miss,aphhm_tree_miss,2382,369,26,1,2,0.27100271002710025,0.5420054200542005,0.27100271002710025,0.27100271002710025,1.897018970189702,1,1,31,3,0,0,0,1,0,,,,0,0.0,,51.0,5.0,,4.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,43,IgA nephropathy,,s2_miss,s2_miss,aphhm_tree_miss,1894,275,25,9,3,3.272727272727273,1.090909090909091,0.36363636363636365,1.0909090909090908,2.1818181818181817,1,3,15,2,0,0,0,1,0,,,,0,0.0,,56.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,44,Pyoderma gangrenosum,,s2_miss,s2_miss,aphhm_prune,842,122,17,1,0,0.819672131147541,0.0,0.0,0.0,4.098360655737705,0,0,20,2,0,0,0,1,0,,,,0,0.0,,52.0,5.0,,1.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,45,granuloma annulare,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_tree_miss,1459,205,20,2,1,0.975609756097561,0.4878048780487805,0.4878048780487805,0.4878048780487805,3.4146341463414633,1,1,18,2,0,0,0,1,0,,,,0,0.0,,43.0,5.0,9.0,3.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,46,Sarcoidosis,,ok,ok,aphhm_ok,1528,197,28,5,0,2.5380710659898478,0.0,0.5076142131979695,1.015228426395939,1.5228426395939085,1,2,11,1,0,0,0,1,0,,,,0,0.0,,52.0,5.0,3.0,0.0,0.0,1.0,0,1,1,1
mcr,mcr_v1,47,Metastatic melanoma of unknown primary,,s2_miss,s2_miss,aphhm_tree_miss,1696,245,23,7,2,2.857142857142857,0.8163265306122449,1.2244897959183674,0.8163265306122449,1.6326530612244898,3,2,38,5,0,0,0,1,0,,,,0,0.0,,42.0,5.0,,7.0,2.0,0.333,0,0,0,0
mcr,mcr_v1,48,xanthogranulomatous osteomyelitis,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1268,190,17,0,4,0.0,2.1052631578947367,0.0,0.5263157894736842,1.5789473684210527,0,1,33,2,0,0,0,1,0,,,,0,0.0,,45.0,5.0,1.0,2.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,49,StumpAppendicitis,,s3_why_ignored_gold,s2_hit_s3_drop,aphhm_prune,1221,178,16,4,4,2.247191011235955,2.247191011235955,0.0,1.1235955056179776,2.808988764044944,0,2,17,1,0,0,0,1,0,,,,0,0.0,,44.0,5.0,1.0,0.0,0.0,0.0,1,1,1,0
mcr,mcr_v1,50,Gastrointestinal clear cell sarcoma,all_miss_but_recalled,s4_hit_judge_miss,s4_hit_judge_miss,aphhm_tree_miss,1877,260,23,1,0,0.38461538461538464,0.0,0.0,0.0,1.9230769230769231,0,0,35,4,0,0,0,1,0,,,,0,0.0,,48.0,5.0,13.0,7.0,2.0,0.75,0,0,0,0
mcr,mcr_v1,52,Livedoid vasculopathy,,ok,ok,aphhm_ok,1362,186,17,1,0,0.5376344086021506,0.0,0.5376344086021505,0.5376344086021505,2.6881720430107525,1,1,21,2,0,0,0,1,0,,,,0,0.0,,52.0,5.0,18.0,1.0,0.0,1.0,0,1,1,1
mcr,mcr_v1,53,hemangioma,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_prune,875,126,19,1,0,0.7936507936507936,0.0,0.0,0.7936507936507936,1.5873015873015872,0,1,10,1,0,0,0,1,0,,,,0,0.0,,42.0,5.0,14.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,54,Trigeminal neuralgia,,ok,ok,aphhm_ok,1315,195,20,2,0,1.0256410256410255,0.0,0.0,0.5128205128205128,2.5641025641025643,0,1,20,2,0,0,0,1,0,,,,0,0.0,,47.0,5.0,1.0,14.0,2.0,1.0,0,1,1,1
mcr,mcr_v1,55,Post-transplant lymphoproliferative disorder,,s2_miss,s2_miss,aphhm_tree_miss,1403,188,20,2,0,1.0638297872340425,0.0,0.0,1.0638297872340425,3.1914893617021276,0,2,44,4,0,0,0,1,0,,,,0,0.0,,49.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,56,Spindle cell squamous cell carcinoma,,s2_miss,s2_miss,aphhm_prune,1810,250,22,2,2,0.8,0.8,0.4,0.4,0.8,1,1,36,5,0,0,0,1,0,,,,0,0.0,,44.0,5.0,,3.0,2.0,0.6,0,0,0,1
mcr,mcr_v1,58,Mixed sex cord-stromal tumor,,s2_miss,s2_miss,aphhm_tree_miss,1084,164,20,2,1,1.2195121951219512,0.6097560975609756,0.0,0.6097560975609756,2.4390243902439024,0,1,28,5,0,0,0,1,0,,,,0,0.0,,46.0,5.0,,13.0,2.0,0.143,0,0,0,0
mcr,mcr_v1,60,Polymyalgia rheumatica,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_prune,2521,377,30,11,9,2.9177718832891246,2.3872679045092835,0.0,1.5915119363395225,1.5915119363395225,0,6,22,2,0,0,0,1,0,,,,0,0.0,,55.0,5.0,17.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,61,Choriocarcinoma,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_tree_miss,1851,244,23,7,6,2.8688524590163933,2.459016393442623,0.0,2.8688524590163933,1.2295081967213115,0,7,15,1,0,0,0,1,0,,,,0,0.0,,44.0,5.0,13.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,62,Lipoblastoma,base_win_rank,s2_gold_low_rank,s2_hit_s3_drop,aphhm_ok,1204,178,18,3,0,1.6853932584269662,0.0,0.0,1.1235955056179776,1.6853932584269662,0,2,12,1,0,0,0,1,0,,,,0,0.0,,39.0,5.0,32.0,0.0,0.0,0.0,0,0,0,1
mcr,mcr_v1,63,Fibroepithelial polyp,,ok,ok,aphhm_ok,1483,204,19,3,2,1.4705882352941175,0.9803921568627451,0.49019607843137253,1.4705882352941178,1.9607843137254901,1,3,21,2,0,0,0,1,0,,,,0,0.0,,48.0,5.0,6.0,0.0,0.0,0.667,0,1,1,1
mcr,mcr_v1,64,small cell lung carcinoma,,s2_miss,s2_miss,aphhm_tree_miss,1540,217,18,2,0,0.9216589861751152,0.0,0.0,0.9216589861751152,3.225806451612903,0,2,25,4,0,0,0,1,0,,,,0,0.0,,50.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,65,myelolipoma,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_tree_miss,1253,170,25,4,0,2.3529411764705883,0.0,0.0,1.7647058823529411,0.5882352941176471,0,3,11,1,0,0,0,1,0,,,,0,0.0,,47.0,5.0,9.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,66,CIC-rearranged sarcoma,,s2_miss,s2_miss,aphhm_tree_miss,1585,225,19,3,5,1.3333333333333335,2.2222222222222223,0.4444444444444444,1.3333333333333333,1.3333333333333333,1,3,22,3,0,0,0,1,0,,,,0,0.0,,47.0,5.0,,4.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,67,congenital unilateral hypoplasia of depressor anguli oris,,s2_miss,s2_miss,aphhm_ok,1159,167,20,0,2,0.0,1.1976047904191618,0.0,0.5988023952095808,0.5988023952095808,0,1,57,7,0,0,0,1,0,,,,0,0.0,,46.0,5.0,,10.0,2.0,0.0,1,1,0,0
mcr,mcr_v1,68,macrodystrophia lipomatosa,,s2_miss,s2_miss,aphhm_tree_miss,1396,207,19,3,4,1.4492753623188406,1.932367149758454,0.0,0.966183574879227,2.4154589371980677,0,2,26,2,0,0,0,1,0,,,,0,0.0,,50.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,69,Gastric lipoma,base_win_rank,rationale_overfit,s3_hit_s4_miss,aphhm_tree_miss,1200,176,19,5,3,2.840909090909091,1.7045454545454544,1.1363636363636365,0.5681818181818182,2.272727272727273,2,1,14,2,0,0,0,1,0,,,,0,0.0,,33.0,5.0,5.0,15.0,1.0,0.0,0,0,0,1
mcr,mcr_v1,72,abdominal tuberculosis,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_prune,1905,270,22,11,2,4.074074074074074,0.7407407407407408,0.0,3.3333333333333335,2.2222222222222223,0,9,22,2,0,0,0,1,0,,,,0,0.0,,52.0,5.0,14.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,73,metastatic prostate carcinoma,,s2_miss,s2_miss,aphhm_tree_miss,2409,342,21,5,2,1.461988304093567,0.5847953216374269,0.29239766081871343,1.1695906432748537,2.3391812865497075,1,4,29,3,0,0,0,1,0,,,,0,0.0,,47.0,5.0,,2.0,1.0,0.143,0,0,0,1
mcr,mcr_v1,74,Catecholaminergic polymorphic ventricular tachycardia,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1966,268,25,1,2,0.3731343283582089,0.7462686567164178,0.0,0.0,0.746268656716418,0,0,53,4,0,0,0,1,0,,,,0,0.0,,48.0,5.0,5.0,4.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,75,BasosquamousCarcinoma,,s2_miss,s2_miss,aphhm_tree_miss,1447,211,23,6,0,2.843601895734597,0.0,0.47393364928909953,1.8957345971563981,2.3696682464454977,1,4,21,1,0,0,0,1,0,,,,0,0.0,,48.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,76,drug-induced liver injury,,near_synonym_prefer,s3_hit_s4_miss,aphhm_ok,1702,235,30,1,4,0.425531914893617,1.702127659574468,0.0,0.0,1.702127659574468,0,0,25,4,0,0,0,1,0,,,,0,0.0,,47.0,5.0,1.0,6.0,1.0,0.6,1,1,1,1
mcr,mcr_v1,77,Accessory extraocular muscle,,s2_miss,s2_miss,aphhm_tree_miss,1134,171,17,2,0,1.1695906432748537,0.0,0.0,1.1695906432748537,1.1695906432748537,0,2,28,3,0,0,0,1,0,,,,0,0.0,,45.0,5.0,,2.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,78,schwannoma,base_win_rank,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1490,218,20,1,0,0.45871559633027525,0.0,0.0,0.45871559633027525,1.834862385321101,0,1,10,1,0,0,0,1,0,,,,0,0.0,,44.0,5.0,2.0,0.0,0.0,0.0,0,0,1,1
mcr,mcr_v1,80,Leiomyosarcoma,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_prune,1275,187,20,1,6,0.53475935828877,3.2085561497326207,0.5347593582887701,0.0,1.6042780748663101,1,0,14,1,0,0,0,1,0,,,,0,0.0,,49.0,5.0,17.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,81,Macrophage myofasciitis,,s2_miss,s2_miss,aphhm_tree_miss,2686,385,41,10,1,2.5974025974025974,0.2597402597402597,0.0,2.0779220779220777,1.5584415584415585,0,8,23,2,0,0,0,1,0,,,,0,0.0,,51.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,82,Euglycemic diabetic ketoacidosis,base_win_rank,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1968,300,27,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,2.3333333333333335,0,0,32,3,0,0,0,1,0,,,,0,0.0,,48.0,5.0,1.0,2.0,0.0,0.0,0,0,0,1
mcr,mcr_v1,84,Lymphoepithelioma-like carcinoma of the breast,,s2_miss,s2_miss,aphhm_tree_miss,1428,205,19,3,0,1.4634146341463417,0.0,0.4878048780487805,0.975609756097561,1.951219512195122,1,2,46,6,0,0,0,1,0,,,,0,0.0,,48.0,5.0,,36.0,5.0,0.5,0,0,0,0
mcr,mcr_v1,85,Small intestinal perforation,,s2_miss,s2_miss,aphhm_tree_miss,1525,220,20,4,2,1.8181818181818181,0.9090909090909091,0.0,0.9090909090909091,1.3636363636363635,0,2,28,3,0,0,0,1,0,,,,0,0.0,,49.0,5.0,,10.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,86,Restless arms syndrome,,s2_miss,s2_miss,aphhm_tree_miss,1250,181,20,1,0,0.5524861878453038,0.0,0.0,0.0,3.314917127071823,0,0,22,3,0,0,0,1,0,,,,0,0.0,,52.0,5.0,,10.0,2.0,0.0,0,0,0,0
mcr,mcr_v1,87,undifferentiated embryonal sarcoma of the liver,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_tree_miss,2073,308,25,9,4,2.922077922077922,1.2987012987012987,0.0,3.2467532467532467,0.3246753246753247,0,10,47,6,0,0,0,1,0,,,,0,0.0,,50.0,5.0,11.0,8.0,2.0,0.286,0,0,0,0
mcr,mcr_v1,90,squamous cell carcinoma,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_judge_miss,1442,218,17,2,3,0.9174311926605505,1.3761467889908259,0.0,2.293577981651376,4.128440366972477,0,5,23,3,0,0,0,1,0,,,,0,0.0,,46.0,5.0,1.0,3.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,91,Angiosarcoma,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_tree_miss,1580,215,19,4,2,1.8604651162790697,0.9302325581395349,0.0,2.7906976744186047,1.8604651162790697,0,6,12,1,0,0,0,1,0,,,,0,0.0,,51.0,5.0,18.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,93,Serum sickness,,s2_miss,s2_miss,aphhm_tree_miss,1583,210,27,2,6,0.9523809523809524,2.857142857142857,0.0,0.0,2.857142857142857,0,0,14,2,0,0,0,1,0,,,,0,0.0,,50.0,5.0,,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,94,Schwannoma,all_miss_but_recalled,s3_why_ignored_gold,s2_hit_s3_drop,aphhm_prune,1283,195,18,2,2,1.0256410256410255,1.0256410256410255,0.0,1.0256410256410255,2.051282051282051,0,2,10,1,0,0,0,1,0,,,,0,0.0,,47.0,5.0,5.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,95,Tuberculosis,all_miss_but_recalled,s4_hit_judge_miss,s4_hit_judge_miss,aphhm_prune,1887,261,23,5,3,1.9157088122605364,1.1494252873563218,0.0,1.1494252873563218,1.9157088122605364,0,3,12,1,0,0,0,1,0,,,,0,0.0,,55.0,5.0,1.0,0.0,0.0,0.5,0,0,0,0
mcr,mcr_v1,96,ParostealOsteosarcoma,all_miss_but_recalled,s2_gold_low_rank,s2_hit_s3_drop,aphhm_prune,1608,254,22,4,4,1.574803149606299,1.574803149606299,0.0,1.5748031496062993,2.3622047244094486,0,4,21,1,0,0,0,1,0,,,,0,0.0,,48.0,5.0,21.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,97,giant juvenile fibroadenoma,all_miss_but_recalled,near_synonym_prefer,s3_hit_s4_miss,aphhm_prune,1367,201,21,2,0,0.9950248756218906,0.0,0.9950248756218906,0.9950248756218906,2.487562189054726,2,2,27,3,0,0,0,1,0,,,,0,0.0,,52.0,5.0,1.0,3.0,1.0,0.667,0,0,0,0
mcr,mcr_v1,99,Histoplasmosis,all_miss_but_recalled,rationale_overfit,s3_hit_s4_miss,aphhm_prune,1628,220,22,0,1,0.0,0.45454545454545453,1.3636363636363635,0.0,2.727272727272727,3,0,14,1,0,0,0,1,0,,,,0,0.0,,47.0,5.0,1.0,0.0,0.0,0.0,0,0,0,0
mcr,mcr_v1,100,intraosseous metaplastic meningioma,,s2_miss,s2_miss,aphhm_tree_miss,1704,256,16,4,6,1.5625,2.34375,0.0,1.171875,1.953125,0,3,35,3,0,0,0,1,0,,,,0,0.0,,47.0,5.0,,9.0,1.0,0.0,0,0,0,0
mcr,mcr_v1,104,Langerhans cell histiocytosis,,ok,ok,aphhm_ok,1888,269,22,1,0,0.37174721189591076,0.0,0.0,0.37174721189591076,2.6022304832713754,0,1,29,3,0,0,0,1,0,,,,0,0.0,,51.0,5.0,1.0,1.0,0.0,1.0,0,1,1,1
