case_id	cohort	compat_branch	compat_opt1	compat_opt2	compat_rr	typed_opt1	typed_opt2	typed_rr	typed_cov	n_leaves	n_extra	resumed
206	remain76	merge_only	1	1	1.0	0	1	0.5	1	20	18	1
207	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	16	15	1
211	remain76	merge_only	1	1	1.0	0	1	0.5	1	19	18	1
214	remain76	calib_only	1	1	1.0	1	1	1.0	1	16	12	1
216	remain76	merge_only	1	1	1.0	1	1	1.0	1	15	14	1
219	remain76	merge_only	1	1	1.0	1	1	1.0	1	19	18	1
220	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	16	15	1
225	remain76	merge_only	1	1	1.0	0	0	0.3333333333333333	1	14	13	1
226	remain76	merge_only	0	0	0.0	0	0	0.3333333333333333	1	16	14	1
227	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	18	1
228	remain76	merge_only	1	1	1.0	1	1	1.0	1	16	14	1
229	remain76	merge_only	0	0	0.0	1	1	1.0	1	20	18	1
231	remain76	merge_only	0	0	0.0	0	0	0.0	0	16	14	1
233	remain76	merge_only	1	1	1.0	1	1	1.0	1	16	15	1
237	remain76	merge_only	1	1	1.0	1	1	1.0	1	20	18	1
241	remain76	merge_only	0	0	0.0	0	0	0.0	0	16	13	1
242	remain76	merge_only	0	0	0.0	0	1	0.5	1	20	18	1
243	remain76	merge_only	1	1	1.0	1	1	1.0	1	15	13	1
246	remain76	merge_only	1	1	1.0	0	0	0.25	1	16	14	1
249	remain76	calib_only	1	1	1.0	1	1	1.0	1	19	14	1
