case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,pool_pre,pool_post
120,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B3.4,B1.3,B2.3,B4.3,B5.3","B3.4,B1.3,B2.3,B4.3,B5.3"
122,remain76,pair,0,1,0.5,2,3,0,1,0.5,0,1,,"B3.1,B4.1,B2.1,B1.1","B4.1,B3.1,B2.1,B1.1"
124,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B1.2,B3.2,B2.1,B4.1","B1.2,B3.2,B2.1,B4.1"
125,remain76,pair,0,0,0.0,1,,0,0,0.0,0,1,,"B4.1,B2.1,B3.4,B1.1,B5.1","B2.1,B4.1,B3.4,B1.1,B5.1"
128,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B4.3,B3.3,B1.2,B2.2","B3.3,B4.3,B1.2,B2.2"
129,remain76,pair,0,0,0.0,3,,0,0,0.0,0,1,,"B5.1,B1.1,B4.1,B2.3,B3.1","B1.1,B5.1,B4.1,B2.3,B3.1"
132,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.1,B4.3,B3.1,B2.1,B5.1","B4.3,B1.1,B3.1,B2.1,B5.1"
134,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.1,B5.1,B3.1,B2.3,B1.1","B4.1,B5.1,B3.1,B2.3,B1.1"
137,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B4.2,B3.2,B2.1,B1.2","B3.2,B4.2,B2.1,B1.2"
139,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.3,B4.3,B2.3,B3.2","B4.3,B1.3,B2.3,B3.2"
140,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B3.1,B2.3,B1.1,B4.2","B3.1,B2.3,B1.1,B4.2"
147,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B5.1,B4.1,B2.1,B1.1,B3.1","B4.1,B5.1,B2.1,B1.1,B3.1"
149,remain76,pair,1,1,1.0,1,3,1,1,1.0,0,0,,"B3.1,B1.1,B4.1,B5.1,B2.1","B3.1,B1.1,B4.1,B5.1,B2.1"
150,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.3,B1.1,B2.1,B3.1","B4.3,B1.1,B2.1,B3.1"
151,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B3.2,B1.1,B4.1,B2.3","B3.2,B1.1,B4.1,B2.3"
156,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.3,B3.3,B4.2,B1.3,B5.3","B2.3,B3.3,B4.2,B1.3,B5.3"
158,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B2.2,B1.2,B5.2,B3.2,B4.1","B1.2,B2.2,B5.2,B3.2,B4.1"
161,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B4.1,B5.1,B3.4,B2.3,B1.3","B5.1,B4.1,B3.4,B2.3,B1.3"
163,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B4.4,B1.3,B5.3,B3.3,B2.1","B4.4,B1.3,B5.3,B3.3,B2.1"
164,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.2,B1.1,B3.1,B2.1,B5.1","B4.2,B1.1,B3.1,B2.1,B5.1"
165,remain76,pair,0,1,0.5,2,4,0,1,0.5,0,1,,"B2.1,B1.1,B3.2,B4.2","B1.1,B2.1,B3.2,B4.2"
167,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.1,B4.1,B3.2,B2.1","B4.1,B1.1,B3.2,B2.1"
173,remain76,pair,0,1,0.5,2,3,0,1,0.5,0,0,,"B2.1,B1.2,B3.1,B4.1,B5.1","B2.1,B1.2,B3.1,B4.1,B5.1"
174,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.2,B1.2,B4.2,B2.2,B5.2","B1.2,B3.2,B4.2,B2.2,B5.2"
177,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B1.4,B3.4,B2.1,B4.1,B5.1","B1.4,B3.4,B2.1,B4.1,B5.1"
181,remain76,pair,1,1,1.0,1,3,1,1,1.0,0,0,,"B5.1,B2.3,B1.3,B3.4,B4.1","B5.1,B2.3,B1.3,B3.4,B4.1"
182,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.3,B4.3,B2.3,B3.3","B4.3,B1.3,B2.3,B3.3"
183,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B2.11,B1.1,B4.1,B3.5","B1.1,B2.11,B4.1,B3.5"
186,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B4.1,B1.3,B2.2,B3.2,B5.5","B4.1,B1.3,B2.2,B3.2,B5.5"
187,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B3.1,B4.2,B1.2,B2.2","B4.2,B3.1,B1.2,B2.2"
188,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B3.1,B1.1,B5.1,B2.4,B4.2","B1.1,B3.1,B5.1,B2.4,B4.2"
190,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.2,B2.2,B1.3,B4.4,B5.4","B2.2,B3.2,B1.3,B4.4,B5.4"
194,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B4.2,B2.2,B3.2,B1.2","B4.2,B2.2,B3.2,B1.2"
198,remain76,pair,0,0,0.0,2,,0,0,0.0,0,1,,"B1.1,B3.1,B5.1,B2.1,B4.1","B3.1,B1.1,B5.1,B2.1,B4.1"
202,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.1,B2.1,B1.4,B4.2","B2.1,B3.1,B1.4,B4.2"
205,remain76,pair,0,1,0.5,2,4,0,1,0.5,0,0,,"B3.2,B2.3,B4.2,B1.4","B3.2,B2.3,B4.2,B1.4"
206,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.2,B2.1,B4.3,B5.2,B3.1","B2.1,B1.2,B4.3,B5.2,B3.1"
207,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B2.1,B1.1,B3.1,B4.1","B1.1,B2.1,B3.1,B4.1"
211,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.3,B1.1,B5.1,B4.1,B3.2","B2.3,B1.1,B5.1,B4.1,B3.2"
214,remain76,pair,0,1,0.5,2,2,0,1,0.5,0,0,,"B4.1,B3.4,B1.4,B2.2","B4.1,B3.4,B1.4,B2.2"
216,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B3.2,B1.1,B4.1,B2.4","B1.1,B3.2,B4.1,B2.4"
219,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.1,B4.1,B2.1,B3.1,B5.1","B4.1,B1.1,B2.1,B3.1,B5.1"
220,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B3.1,B1.1,B2.1,B4.2","B3.1,B1.1,B2.1,B4.2"
225,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.2,B1.1,B3.1,B4.1","B2.2,B1.1,B3.1,B4.1"
226,remain76,pair,0,0,0.0,2,,0,0,0.0,0,0,,"B3.2,B1.1,B2.4,B4.2","B3.2,B1.1,B2.4,B4.2"
227,remain76,pair,1,1,1.0,1,4,1,1,1.0,0,1,,"B3.1,B4.2,B1.2,B2.2,B5.2","B4.2,B3.1,B1.2,B2.2,B5.2"
228,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.1,B1.1,B4.1,B3.1","B2.1,B1.1,B4.1,B3.1"
229,remain76,pair,0,0,0.0,1,,0,0,0.0,0,1,,"B2.1,B1.1,B5.3,B3.6,B4.3","B1.1,B2.1,B5.3,B3.6,B4.3"
231,remain76,pair,0,0,0.0,3,,0,0,0.0,0,0,,"B1.2,B2.1,B4.2,B5.1,B3.1","B1.2,B2.1,B4.2,B5.1,B3.1"
233,remain76,pair,0,1,0.5,2,4,0,1,0.5,0,1,,"B2.1,B3.1,B4.1,B1.2,B5.1","B3.1,B2.1,B4.1,B1.2,B5.1"
237,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B5.1,B4.1,B1.1,B3.1,B2.1","B4.1,B5.1,B1.1,B3.1,B2.1"
241,remain76,pair,0,0,0.0,3,,0,0,0.0,0,0,,"B1.1,B4.2,B3.2,B2.11","B1.1,B4.2,B3.2,B2.11"
242,remain76,pair,0,0,0.0,2,,0,0,0.0,0,0,,"B2.4,B3.1,B1.1,B5.1,B4.1","B2.4,B3.1,B1.1,B5.1,B4.1"
243,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,1,,"B1.2,B4.2,B2.3,B3.4","B4.2,B1.2,B2.3,B3.4"
246,remain76,pair,0,1,0.5,2,3,0,1,0.5,0,1,,"B4.4,B1.2,B3.3,B2.1","B1.2,B4.4,B3.3,B2.1"
249,remain76,pair,1,1,1.0,1,1,1,1,1.0,0,0,,"B2.2,B1.3,B3.1,B4.1,B5.1","B2.2,B1.3,B3.1,B4.1,B5.1"
