case_id	cohort	arm	compat_branch	gate_triggered	parent_source	protocol	family_coverage	tree_parent_present	family_top1	family_top2	mapper_opt1	mapper_opt2	mapper_rr	bind_repair_applied	n_extra_leaves
22	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	0	0	0	0	0	0.0	0	0
22	pilot24	R_compat_R2	merge_only	True	none	v1_auto_parent	0	0	0	0	0	0	0.0	0	19
22	pilot24	R1_metric			none	v2_leaf_parent	0	0	0	0	0	0	0.0	0	0
27	pilot24	R0_joint			none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
27	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
27	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	0	0	0.333333	1	13
27	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	0	0.0	0	0
28	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
28	pilot24	R_compat	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
28	pilot24	R_compat_R2	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	1	17
28	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
29	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	0	1	0.5	0	0
29	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
29	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	19
29	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	1	0.5	0	0
33	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
33	pilot24	R_compat	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
33	pilot24	R_compat_R2	calib_only	False	mapper_leaf_parent	v1_auto_parent	1	1	0	0	0	1	0.5	0	15
33	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
36	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	0	0
36	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
36	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	19
36	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
39	pilot24	R0_joint			none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
39	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	1	0	0	0	0	0.0	0	0
39	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	0	1	0.5	1	15
39	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	0	0.0	0	0
40	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	0	1	0.5	0	0
40	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
40	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	19
40	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	1	0.5	0	0
45	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
45	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
45	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	19
45	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
57	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
57	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
57	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	19
57	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
59	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	0	1	0	1	0.5	0	0
59	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
59	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	14
59	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	0	1	0.5	0	0
60	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
60	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	0	0
60	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	1	1	1	1.0	1	15
60	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
62	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
62	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	0	0
62	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	0	0	1	1	1.0	1	17
62	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
63	pilot24	R0_joint			mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
63	pilot24	R_compat	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	0	0
63	pilot24	R_compat_R2	merge_only	True	mapper_leaf_parent	v1_auto_parent	1	1	1	1	1	1	1.0	1	18
63	pilot24	R1_metric			leaf_synonym	v2_leaf_parent	1	1	1	1	1	1	1.0	0	0
67	pilot24	R0_joint			none	v1_auto_parent	0	0	0	0	0	0	0.0	0	0
67	pilot24	R_compat	merge_only	True	none	v1_auto_parent	0	0	0	0	0	0	0.0	0	0
67	pilot24	R_compat_R2	merge_only	True	none	v1_auto_parent	0	0	0	0	0	0	0.0	0	19
67	pilot24	R1_metric			none	v2_leaf_parent	0	0	0	0	0	0	0.0	0	0
